#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
P31749	P67809	1	BDNF	76	Phosphorylation	AKT1	YBX1	P31749	P67809	0
P23560	P16870	1	BDNF	76	physical	BDNF	CPE	P23560	P16870	0
P23560	P08138	1	BDNF	76	physical	BDNF	NGFR	P23560	P08138	0
P23560	Q99523	1	BDNF	76	physical	BDNF	SORT1	P23560	Q99523	0
P19022	P35222	1	BDNF	76	physical	CDH2	CTNNB1	P19022	P35222	0
P19022	Q16620	1	BDNF	76	physical	CDH2	NTRK2	P19022	Q16620	0
Q00535	Q16620	1	BDNF	76	Phosphorylation	CDK5	NTRK2	Q00535	Q16620	0
Q00535	Q16620	1	BDNF	76	physical	CDK5	NTRK2	Q00535	Q16620	0
CDKR1	Q16620	1	BDNF	76	physical	CDKR1	NTRK2	CDKR1	Q16620	0
P16870	P23560	1	BDNF	76	physical	CPE	BDNF	P16870	P23560	0
P16220	Q6UUV9	1	BDNF	76	physical	CREB1	CRTC1	P16220	Q6UUV9	0
Q6UUV9	P16220	1	BDNF	76	physical	CRTC1	CREB1	Q6UUV9	P16220	0
P35222	P19022	1	BDNF	76	physical	CTNNB1	CDH2	P35222	P19022	0
P35222	Q16288	1	BDNF	76	physical	CTNNB1	NTRK3	P35222	Q16288	0
Q8IZD9	P06241	1	BDNF	76	physical	DOCK3	FYN	Q8IZD9	P06241	0
Q8WU20	Q06124	1	BDNF	76	physical	FRS2	PTPN11	Q8WU20	Q06124	0
O43559	P62993	1	BDNF	76	physical	FRS3	GRB2	O43559	P62993	0
P06241	Q8IZD9	1	BDNF	76	physical	FYN	DOCK3	P06241	Q8IZD9	0
P28472	P67775	1	BDNF	76	physical	GABRB3	PPP2CA	P28472	P67775	0
P62993	O43559	1	BDNF	76	physical	GRB2	FRS3	P62993	O43559	0
P62993	Q06124	1	BDNF	76	physical	GRB2	PTPN11	P62993	Q06124	0
P62993	P98077	1	BDNF	76	physical	GRB2	SHC2	P62993	P98077	0
P62993	Q6S5L8	1	BDNF	76	physical	GRB2	SHC4	P62993	Q6S5L8	0
P42262	P46459	1	BDNF	76	physical	GRIA2	NSF	P42262	P46459	0
P42263	Q9Y3R0	1	BDNF	76	physical	GRIA3	GRIP1	P42263	Q9Y3R0	0
Q9Y3R0	P42263	1	BDNF	76	physical	GRIP1	GRIA3	Q9Y3R0	P42263	0
P35568	P27986	1	BDNF	76	physical	IRS1	PIK3R1	P35568	P27986	0
Q9Y4H2	P27986	1	BDNF	76	physical	IRS2	PIK3R1	Q9Y4H2	P27986	0
Q9Y4H2	O00459	1	BDNF	76	physical	IRS2	PIK3R2	Q9Y4H2	O00459	0
P27361	P17600	1	BDNF	76	Phosphorylation	MAPK3	SYN1	P27361	P17600	0
