#node1	node2
P08069	P28482
P14618	P27540
P07197	P41219
Q8N257	Q9Y5B9
P08709	P10646
P63208	Q9UKC9
O14625	P32248
Q8TAX0	Q9UET6
P19387	P62487
P53779	Q9P2W3
P10145	P49682
P06241	P10301
P16144	P22105
Q03164	Q9UHB7
O00422	P31153
Q15796	Q9Y6N5
Q86U70	Q9BWG4
P49005	Q8WZ19
P19838	P23396
P24385	Q00653
Q12986	Q8IX12
Q99459	Q9UL68
Q16512	Q4KWH8
P09619	P12034
P98095	Q00610
Q92985	Q9Y5Q3
P23467	P35222
P46459	Q9BWH2
O00203	P59780
P02776	P32246
P01709	P0CG04
P25963	Q14790
P62140	Q9Y572
P41594	Q13557
P18077	P18621
Q16828	Q8IYF3
P08754	P49682
P20963	Q9H6Q3
P19838	Q66LE6
O60674	P05014
P25786	Q9UNM6
P42766	P47914
P30050	P62888
406906	P50993
P56750	P78369
O75521	P49407
Q12933	Q15326
P61964	Q16531
Q14181	Q9Y6H6
Q13315	Q9UJY5
P08631	P61978
P0CG48	Q8TF42
Q08211	Q12986
Q9BY11	Q9NQC1
O15371	Q99684
P25445	P50591
P48454	Q12968
P00751	P27918
P08574	P99999
P48023	Q96JB8
P60660	Q14164
O00237	P62837
P40337	P42771
P14678	Q9Y241
P04141	Q99650
Q08211	Q13242
P04626	Q8WYP3
P18124	Q99558
O14905	Q9NPG1
O95467	P41587
P05015	Q8N6P7
Q13114	Q9Y4K3
P30050	P36578
Q9UBN6	Q9Y4L1
Q13263	Q9P0U3
P22612	P63027
Q01780	Q9HAU5
Q05516	Q16828
P45985	P46108
P98175	Q92624
P20823	Q14520
P46776	P62829
Q05655	Q92997
O95202	P23508
P62993	Q06830
Q6ZU52	Q99750
P30153	Q5VSL9
P36954	P62487
Q13291	Q99704
O95707	P78345
Q5JWF2	Q9HBW0
Q13158	Q15648
Q06187	Q13114
P10914	P12004
Q15475	Q9UI36
P10827	P28702
P01889	P30046
P01106	Q8IWX5
P63167	Q00005
O00505	Q96NC0
P04843	Q9NRR5
O60262	P40145
P11229	P63211
O60828	Q5UIP0
P15407	P27695
P17081	Q9H0H5
P02775	P51685
P16333	Q9ULD4
Q14397	Q9NR80
P11177	Q9P2S5
Q5VVX9	Q9BSM1
P17544	Q04206
O60262	P05771
Q01094	Q15021
Q99816	Q9H857
P19474	Q13616
P36897	Q15669
Q96PY6	Q9GZX5
O60266	P05771
P09619	P35568
P20333	Q99683
P15408	P20809
P61088	Q12986
P11387	P23246
P38432	Q8TAP6
Q9P0U4	Q9UBL3
P30050	P63173
P49674	P56645
O15534	P78543
O43147	P00533
O15123	Q12778
P0C1Z6	Q9H981
Q8IY92	Q92889
P02462	P18827
Q13936	Q14738
P01700	P01857
407026	Q01453
Q12840	Q8TDR0
O15350	Q01094
Q16539	Q8N5C8
P01891	Q93084
O43353	Q7Z434
Q8IZI9	Q969J5
Q13614	Q9C0I1
P48051	P62879
O14776	O75554
O60739	P63279
P48023	Q9BY11
P98161	Q13563
O96019	Q6P4R8
O75420	P08069
P06400	Q14209
P10916	Q32MK0
IL11RB	P20809
P15391	Q92569
P09493	P63104
O00762	P14635
P04899	Q14832
O75676	P05114
P08151	P17612
P63000	Q9BZ29
Q13485	Q96PN8
P04183	Q14209
P01112	P11362
P05013	Q5VWK5
P21854	Q8WV28
P58107	Q9Y4K3
O00255	P35244
P04278	P13798
P31785	Q9NPH9
Q8N8V2	Q92734
P19544	P63279
P62979	Q04771
P78559	Q8TDR0
P04637	P28482
O75925	P10071
O43918	Q13263
O95602	Q08945
O60674	P52630
P01116	Q8N9B8
P63215	Q92806
O43524	P30153
P62805	Q16695
O14508	P38484
26765	Q99966
P22090	P62273
Q01668	Q16558
Q13164	Q15349
P01569	Q9UHF4
Q01844	Q13535
O15287	P07992
Q9Y4A5	Q9Y6J9
Q13485	Q8TAK6
P18827	Q9UQP3
P61927	P62987
P21281	P25705
P16885	Q15139
Q00169	Q8NB16
Q14257	Q86UA6
P01100	Q07889
Q09028	Q8NHZ7
B5ME19	P47813
Q15287	Q9H7Z3
P06454	P18754
Q8NFH5	Q9BW27
O60936	P67870
P22681	P42702
P54289	Q13555
P32121	Q96GQ7
O15446	Q9Y5B9
P49023	Q14155
P18089	Q9Y210
O00526	P10914
Q04759	Q4KWH8
O43251	Q9P2R6
Q02750	Q9P286
P42338	P63000
O00629	P19838
P41182	Q9Y2A4
O75528	Q8N2W9
Q13233	Q9UL15
P27986	Q9NQZ6
O76071	Q13085
O00206	P63000
Q13126	Q13952
P20333	Q14257
Q8WV28	Q9Y5K6
Q8N448	Q9H832
P07355	P56537
P08134	Q52LW3
O00574	P16619
Q92622	Q9P2Y5
P54274	Q96BK5
O14543	Q9Y4H2
O00548	Q04721
P08887	P22681
Q9BPY3	Q9P283
O95391	Q13315
P23921	Q9Y478
P60709	P61586
P48551	Q9UBD9
Q09028	Q8N5A5
Q16665	Q92793
Q01113	Q969D9
O00418	P06493
P27986	Q14008
P46527	P51948
P84022	Q13761
P42574	Q13813
P17861	P18850
P29590	Q9Y6X2
O14986	Q9BTU6
P06899	Q9BY41
P01106	Q96C92
P60763	Q8N5V2
P01100	Q04206
P09471	P51681
P15884	Q13761
Q13501	Q16236
P20333	P53007
O43353	Q9Y6K9
P31943	Q9Y572
P56750	Q8N7P3
P49674	Q9BZL6
Q15811	Q9NRI5
P04899	Q9NQ66
P01566	P01589
P36873	Q01668
Q08209	Q9UD71
P62937	Q16849
P42345	Q9UGJ0
P29074	P46100
P15735	P27482
P24941	P62249
O15519	Q96JQ0
P63173	Q92901
P13693	Q16643
O75528	Q9UPT9
O60840	P30559
Q9UNF1	Q9Y5J5
P49407	Q6DKI1
O15360	Q9NW38
P24468	Q9BQ87
O76071	Q16082
P43360	Q9Y3A5
P07359	Q8WYR1
51639	O75940
P27635	P62910
P06241	Q9ULH1
P57735	Q9Y2B9
P07359	P08311
P13569	P20338
O75400	P10586
P01236	Q99650
P62244	P62847
P10276	Q2M1K9
Q03164	Q9Y5Z7
O95295	Q16891
Q13573	Q9NV70
P30968	Q02410
P01225	P23945
P85298	Q92730
P14598	P63000
P11215	P51572
Q9NR96	Q9NSB4
P49459	Q6ZT12
Q99570	Q9NX18
P10809	Q13573
P05771	Q9H0R8
Q9GZT8	Q9NTM9
P01566	Q8IU57
P18848	Q9UQM7
P36402	Q15561
O95096	P08151
Q9BSW7	Q9BY43
Q9Y230	Q9Y572
P10244	Q969S3
P25490	P62942
P46092	P78423
O14920	P08238
P28482	Q92731
Q04771	Q9H082
Q15047	Q9NRN5
Q14134	Q96CN9
P01106	Q8IXU6
P55795	Q9BWF3
Q7RTN6	Q9UGI9
26765	O60885
O14920	Q92851
P10914	Q14919
O00238	Q15797
P26038	Q9Y4K3
O95551	Q12933
P29972	Q15654
Q7Z5H3	Q8IXI1
O00463	P57078
O00329	P09619
O00220	P02458
O43768	Q8WXI2
P52565	P60763
P84996	Q01726
P03928	P24539
Q14197	Q96EY1
P13569	Q9Y6M7
P05997	P23229
Q5JY77	Q96KB5
P53778	Q05923
P14780	Q99075
O43823	P01106
P18077	P61927
O75381	P40855
P04626	P49767
P49841	Q9P0R6
P78545	Q9NZC4
O15504	Q99567
P30085	Q9UKE5
P57737	P62877
Q13064	Q13404
P30480	Q8TAF3
P23508	P55072
P78357	Q12860
P51677	P52333
P00533	P10809
P18621	Q02543
P04626	P19174
Q13485	Q13950
O75964	P56385
Q9NXR8	Q9UBU8
Q05397	Q8IZC6
P57052	Q9BQY4
P25788	Q9P2R6
P01106	P57081
P49736	Q92794
P06213	P36507
P08238	Q13315
Q02790	Q13315
Q05513	Q96NT0
O43353	P17066
P26441	Q05084
P04233	P25774
P81877	Q9UBH0
O15263	P51684
O75400	P42858
Q8NB91	Q9NPD8
P11308	Q92769
Q01726	Q96G30
Q13009	Q13153
O15264	Q9Y2T4
O15131	P46527
P01111	Q14449
P11142	P11387
O14920	O75807
P08069	P31946
Q5T4F7	Q9NPG1
P49840	P49841
P49770	Q9NR50
O75807	Q99933
P61978	Q8WYA6
Q04759	Q07157
P30480	Q15643
P62081	P62244
P17612	P54646
P03372	Q8WTS6
Q92797	Q99459
O75385	Q9UGI9
Q03164	Q6P1J9
P62888	P62899
O43741	Q9UBK2
P11940	Q99700
O94927	P41220
P23508	P83731
P01106	Q00653
Q15906	Q9H2F5
Q9H2G2	Q9UQ26
P11142	Q12933
P53420	Q9HCN6
Q6SZW1	Q86UT6
P20333	P53618
O14964	Q00610
Q149N8	Q9NS91
O75771	Q96JH8
P00747	Q8TEW0
Q9HCS7	Q9ULR0
P02776	P51679
P11217	P27482
Q00005	Q15323
Q13573	Q96NB3
Q01082	Q99759
Q9NRX3	Q9Y383
P07333	Q9NSA1
P03923	Q9Y6M9
P63104	Q96N67
