#node1	node2
Q9NP66	Q9Y580
O43157	P08581
P45984	P53778
Q15233	Q9Y6D9
P78364	Q14781
Q15038	Q9HAU4
Q9NX02	Q9Y6K9
O75150	P63146
P49756	Q86U06
P01871	Q9UIG0
P18031	P49760
P20132	P43629
P04632	P36575
P05026	P48736
P51532	Q9UKL0
P12980	Q9UKT5
P47870	Q9NQX3
2310	Q96EB6
P62136	Q96QC0
P43250	P46094
P49840	Q9Y243
Q08043	Q9Y2D8
P00736	P02746
O14746	P42345
Q13546	Q86VP1
P56537	Q86SQ4
Q96RK0	Q9HC77
O60506	P16104
P01106	Q9UGJ1
P14784	Q8WYR1
P18146	Q969V6
O95999	Q9Y6K9
P61081	Q8TCW9
Q8NFH5	Q9UKX7
P06703	P62993
P18848	Q15349
P67775	Q9BSF8
P62136	Q96GD4
P16581	Q14242
407024	Q04206
O00329	P43403
P35626	Q8NGW6
Q15287	Q9P2I0
O95471	P48436
P18146	P54762
Q06830	Q16186
P01889	P43487
P00533	Q99963
O00459	P31785
O95997	Q12834
P17612	Q13936
O75369	P13612
O14746	P05455
P01730	P20036
P25788	Q5VTD9
O94916	P26447
P16220	Q14692
P29992	P32238
O75916	P04899
O75771	Q06609
Q5VTR2	Q7Z6Z7
P62987	P83731
Q969T4	Q9H6Y7
O75817	P63162
P30084	P40337
O95171	P31947
P02786	Q16665
P10242	P35225
P04271	P08133
Q9H492	Q9NT62
P62318	Q9H840
P20138	P43403
Q9UJ41	Q9Y3C5
P49917	P78527
P51149	Q9UI14
P29459	Q00978
P46934	Q07912
P04141	P27361
P52756	Q01081
P00797	Q92824
A1A4S6	Q96L33
P17542	Q12873
P06401	P55345
O14641	P49841
P24723	Q5SW24
P01106	P33991
P12830	Q7Z6J6
O14581	P38405
O95819	P09651
P19338	Q13573
P29350	P43403
P49703	Q92597
P31483	Q01085
Q7L4P6	Q9NSA3
Q13233	Q13627
Q15788	Q9BYB0
Q92535	Q9UKY1
O76080	Q9Y6K9
O95400	Q9Y5V3
O00182	P02649
O60674	Q14627
Q12933	Q9H2K8
P46459	Q9Y383
Q14164	Q8TCG1
P27361	Q9Y5K3
P60510	Q6IN85
P40225	Q8IU57
574457	Q99626
P01112	Q7LDG7
Q16659	Q9HBU1
Q06455	Q9Y618
P01111	P05771
Q8WYP3	Q9UFF9
Q07889	Q13009
O95500	Q07157
P49903	Q96E40
P02647	P69905
O15287	Q8IY81
O43463	P38936
P40429	Q07020
P17181	Q8WXH5
P49736	Q14164
P56524	Q16665
O15198	Q969K4
O60341	Q13432
P53350	Q5TA45
P63261	Q9BUA6
Q05048	Q9P2I0
P19838	Q9H257
P12004	P12956
Q15428	Q9Y2W2
P02776	P32248
P35558	P49715
P49716	P55061
P42261	Q9UQM7
Q8IV63	Q9NR96
406947	P21781
Q06609	Q96EY1
O60359	Q969Q6
Q92890	Q9UJX6
P11940	Q15365
O95551	P12757
Q03164	Q6ZVZ8
O14788	Q86WB0
P16035	P51511
P07900	P10415
P41586	P50151
Q8WXH5	Q9HC73
P30153	P54289
P35626	Q8NGL6
Q14197	Q9UJZ1
O15169	P41236
P05771	Q9NQA5
P35070	Q15303
P00533	Q9UQM7
P48730	P56645
Q16514	Q86TJ2
P01566	Q14626
P35080	Q03405
P41091	Q14152
P10415	Q13323
P46781	P61247
Q16254	Q99741
P14678	P38432
P42679	Q16288
Q9HCJ0	Q9UKV8
P02458	P18564
P42345	Q6R327
P43405	Q15349
P10398	Q07889
P49427	Q9UBQ5
P05166	Q14197
P62158	Q04864
P06493	P10275
O00212	Q7Z6B7
O94885	P16333
O75486	Q86TJ2
Q03014	Q14973
P18146	Q14943
Q6VMQ6	Q9NQ87
P08133	Q07157
Q06609	Q7Z5Q5
P61923	Q9Y678
P38405	Q8NGA0
Q16644	Q7L5N1
P46734	Q02779
O00750	P04626
P08912	P29992
P56524	P58876
Q12873	Q8N6T7
P46531	Q9Y6K9
Q14626	Q9NPH9
O14654	Q04206
P55010	Q99613
P24941	Q92831
P22670	Q13485
Q05519	Q15287
Q9BWF3	Q9NW64
Q00005	Q96E39
P49716	P78504
406942	P11161
O60383	P51693
P01106	P20749
Q08554	Q9Y446
O14561	O95139
P02775	P46094
O75928	Q13838
P22694	P25963
P01106	P60763
O15496	P28482
P63165	Q9H2Y7
P50616	Q96DU9
Q13315	Q96T23
Q14240	Q9UBQ5
Q8TCW9	Q9ULZ3
P52198	Q8NF50
Q68CP9	Q8TAQ2
P04899	P51679
P09651	Q99558
P17612	Q99941
P28482	Q9Y603
Q15834	Q9BT78
O14640	P63000
O14625	P32302
407055	P42345
P55072	Q13387
O14827	P50151
P84077	Q9NRD5
P30153	P57058
P02538	Q15834
O75832	Q16401
P34982	P38405
Q13797	Q9HBI0
P20591	Q13507
O14775	P51817
P20774	P55157
Q13573	Q14204
P62993	Q96GC6
P11362	Q9GZP0
Q92930	Q96QF0
Q5VTD9	Q86UL3
O60437	P12757
O75626	Q04725
Q8N5D0	Q9ULK4
O75937	Q07955
P07766	Q13424
O15198	Q9NSV4
P42338	P46109
O14980	Q9UPY3
O60232	P04181
P05067	Q99714
P48454	Q9UJX3
O95361	Q15047
O94805	P38398
P31946	Q96F86
P45983	Q14934
P11388	Q13535
Q9NS69	Q9Y5J5
O60861	P42768
P46777	P62945
P08138	P42338
P46531	Q8N9I9
P53708	Q9Y4G6
P49841	Q9Y3F4
O14978	Q9NZD8
Q13042	Q9UJX3
P19474	P63104
P17948	Q9HCT0
P11021	P48039
P15336	P24522
P02686	Q9BUB5
O14493	P56746
P00441	P04179
P27694	P49450
407008	O15111
P56282	Q9UKR5
Q16539	Q16644
P28074	P49720
P10646	P35030
406947	Q92833
P05455	P10144
Q04206	Q15029
O95484	Q96B33
P20936	Q8IZ69
O75116	Q8TBX8
O14920	P05771
Q99750	Q9BR84
Q01844	Q96QG7
P60709	Q7L2H7
P41743	P60763
O00222	P50150
Q16778	Q9Y5B9
P11021	P12956
P21580	Q9UHD2
O15455	O43318
Q9NRD5	Q9NZJ4
Q04864	Q13451
P02730	Q14191
P25116	P35030
P14635	Q96PU8
P00533	P16333
Q99750	Q9HB75
Q96F46	Q96PD4
406935	Q13164
P41182	Q9ULK4
P03905	Q9P0J0
P62304	Q9H840
O14543	Q9UBF6
P41221	Q9H1J7
Q8IY92	Q96S59
P08238	Q9Y6X8
P25116	Q5JWF2
Q9NWA0	Q9UBN7
P35606	Q13573
P23508	Q9UBT2
O60603	P51617
P62745	P78559
P08069	Q9HCE7
P38398	Q92560
P17980	P48556
P08246	P22557
O43639	Q9NZQ3
Q9H171	Q9UL18
O15525	Q16621
O75533	Q9Y675
O75626	Q14938
O75531	Q96JB5
Q01668	Q9Y2T4
Q9NPI5	Q9NRC1
P62993	Q14118
P33991	Q9UBD5
P17252	P18848
P68431	Q9Y232
Q12933	Q92905
Q15149	Q9H0H5
Q99459	Q9UNM6
O95398	P62834
P14314	P18146
Q15052	Q9HBI1
P04637	Q9NPP4
P54136	Q15287
Q13535	Q14008
P35225	Q99062
Q13237	Q70SY1
O75486	Q8NEM7
O14544	P29597
P15531	Q9Y3F4
P19388	Q6PD62
P43403	P53778
P46934	P61077
P01106	Q6VY07
Q15013	Q5T3J3
P01019	P30556
P30154	P54289
P49662	Q9Y5M8
P01889	Q08211
P04628	P78504
P35222	Q92729
Q00005	Q07021
P19447	Q15545
P07910	Q9NR30
P04899	P08588
P43026	Q13253
P22694	P41181
Q29RF7	Q9Y2Q3
P51398	Q13158
Q08050	Q99626
P48736	P61224
P06213	Q92569
P01375	Q04206
P61604	Q5T3J3
O60285	P31749
P51617	Q03135
P15153	P51805
P15509	P27986
P63010	Q04771
P11177	Q9HAW0
406884	Q92945
Q9NWS9	Q9NX65
P67870	Q9UKI9
O95977	P16220
P16885	Q8IXK0
Q13530	Q9HAV4
P04049	P63104
Q08AG7	Q96CW5
P20908	Q9HCN6
Q04771	Q13145
P25786	Q3ZCQ8
O43353	Q9Y4K3
O95897	Q9HCK4
P49841	Q9H2U1
P05106	P22105
Q6P996	Q9Y5J5
O94913	Q13573
P60709	P84022
Q01082	Q9Y572
Q8IXI1	Q8N392
P11169	Q14789
P04406	Q9NXU5
O75529	P61244
O95831	Q15773
Q92956	Q969V3
A8TX70	P31431
P11215	Q92569
P62330	Q9Y3P9
O95467	Q86XP0
A6NIX2	Q9H4B6
P62750	Q13177
5969	P46379
Q9BQE3	Q9UGJ1
Q05516	Q96Q04
P00533	P52797
P15923	P16220
P60900	Q86XK2
P31751	Q6ZVD8
P58418	Q13402
P46776	P62913
O14493	Q16625
Q9UI14	Q9UNI6
P59768	Q5JWF2
O76064	P0C0S5
P14373	Q9C0C9
P01562	Q92793
P00519	P15498
P04626	Q6PKX4
P08700	P40238
O15131	Q96EK6
O00716	P24864
P30793	P53779
O43182	P63000
Q96BY9	Q9H4K1
Q9NQ66	Q9P2W3
Q00987	Q8WWW0
Q96P20	Q9HC29
P63027	Q13277
O14777	Q9Y3C0
O15399	Q01668
P30414	Q13315
P01023	P20073
P62913	Q9Y3U8
P28562	Q9NVI1
Q8N6Y0	Q9BT78
P63104	Q3ZCQ8
Q08211	Q9BWF3
P48444	Q9NTJ5
P42684	Q9H204
P08514	P35609
O95257	Q9NQ29
P48058	Q12840
P62380	Q15286
Q01844	Q96CW9
P19174	P78314
P20823	P35680
P84022	Q9H6Z4
Q04771	Q9UER7
O76096	Q96JN8
O15541	Q12906
P24844	Q15746
O95644	Q13554
O00206	P01100
P53708	Q01955
P26951	Q9UBD9
P05787	Q13191
Q14289	Q8N668
P60953	Q9NZN5
Q14765	Q9Y6X2
Q09013	Q16637
P20339	Q13671
A2IXV5	P43405
P02787	Q30201
Q8IUD2	Q9UGN5
P03905	Q9Y6M9
P05019	P27361
Q96Q83	Q9Y230
P23634	P29474
P00519	Q9UMY4
P04181	P62330
Q16778	Q969S8
P41221	Q01973
P40337	P46781
P12956	P49368
P61313	P62424
P29459	P78552
P09326	Q9BZW8
P51809	Q96NW4
P35225	Q15717
Q16537	Q86YF9
P23229	P26012
P16109	Q14242
Q9NRF9	Q9NRG0
Q9NV70	Q9UPN3
Q13094	Q92783
P08514	Q17RW2
O14807	Q8TDF6
Q13315	Q9Y2R4
Q9HBM0	Q9P202
P05000	P42701
O75541	Q15834
P17812	Q14164
P17858	Q9BQ66
P0C0S8	Q99879
P12931	Q13873
P20073	Q8NFF5
P05106	Q9Y4G6
P98182	Q96KQ7
Q9BS40	Q9Y2W1
O15350	P25445
O60674	P04626
O00459	P23443
O15085	P61587
O95467	Q9H1C0
P00533	P35221
P23396	P62244
O43318	Q9UDY8
O60341	Q9H1I8
O43150	P19174
Q8IYD9	Q9UGN5
Q86VX9	Q96AX1
P51817	Q12879
P25205	P53350
Q96D31	Q9P246
O75379	Q13277
O15350	O95155
P46779	Q9UL18
Q6MZQ0	Q9BVC4
P32927	Q06124
O15551	P18146
O43914	Q9NZC2
P06213	Q12913
P16333	Q9P1A6
P63279	Q14CS0
P54284	Q9Y5P8
407010	O94925
O75525	Q8TBB1
P15056	P62834
P00519	Q14008
O43390	P61978
O60721	P62993
O60840	P30153
Q96EV8	Q9UL45
Q04724	Q16637
O43318	Q13555
Q15819	Q9Y3A3
P45974	Q92995
Q15853	Q9NZT1
P35250	P35251
O94829	Q15699
P63151	Q9BXT2
P04350	Q96NA2
P28072	Q14164
Q15291	Q5TH69
Q13443	Q9UKS6
O75390	P02511
O75398	Q13526
Q13616	Q99466
P48506	Q16236
P60520	Q86V97
O96014	P41221
Q04771	Q15759
O14775	Q5JWF2
Q5VTD9	Q92769
O75940	Q96JB5
P27361	Q9NQ66
P07910	Q14103
P01106	Q96RU3
P02792	P43490
P01732	P06239
P60709	P60953
P10275	P63279
Q15714	Q9H936
P17612	Q9HBA0
O76070	P15090
P18124	P30050
Q92985	Q9Y6K9
O60610	P63261
P04839	P14316
O60318	O94985
Q13315	Q9HAW4
P31947	P56945
P78369	Q9UDY2
O96013	Q99459
P49238	Q9Y258
P22301	Q969J5
P11021	Q13573
P19793	P42229
406950	P35226
P10600	P36896
Q13547	Q96ST3
P19174	Q15139
P62829	Q12933
P01106	Q9NV06
P17948	Q12913
O00212	P15882
Q9HC73	Q9ULV8
P38432	Q96RS0
P00519	Q15464
P62258	Q9Y572
O75293	P04637
P34932	Q12933
O75843	P56377
Q15599	Q8IUQ4
O95155	P55072
O00555	Q9HAV0
A2IXV5	O75015
P62714	Q5VSL9
P17706	P35968
Q15654	Q99469
O00626	P27487
Q6Y7W6	Q9NTZ6
Q9BXW9	Q9HB96
P36578	P61927
P43246	Q9P2S5
P04279	Q9NRR5
Q8IY92	Q9Y678
P01106	Q14847
P78527	Q96SD1
P05452	P24522
O15379	P67870
P35222	Q96QZ7
P98171	Q7L0Q8
Q93034	Q9H672
P51003	Q13247
P49815	P63104
P35626	Q9H2C5
A7XYQ1	Q13363
P06241	P29074
Q13616	Q9H469
P13569	Q14974
Q99459	Q9NXV6
P31947	Q9UQ35
406955	P46527
O95503	Q9HC52
P42338	Q13480
Q9Y5V3	Q9Y678
O75159	Q13261
Q86U86	Q8NFD5
406987	P09629
O95644	P43235
Q03135	Q14254
P13805	Q969Q1
P23508	Q9Y3D3
Q14197	Q9BYD1
Q99717	Q9BT81
O95084	P52797
Q14197	Q8N983
P38405	Q8NH19
Q13535	Q9NW38
Q09028	Q9Y5X4
O43353	P57678
O60503	P05129
P61764	Q16623
P21815	P53708
O60603	Q86XR7
P38405	Q8NGL6
P03950	P13489
P00533	P52798
P26012	Q9HBI0
O00471	P20700
Q13509	Q14204
P04637	Q92993
P14618	Q9Y6X8
P45984	P62834
P18146	P21926
P01116	P08754
P30304	Q07002
P62993	Q9H2X0
Q13315	Q9BQE6
P18146	Q01851
P18146	P52823
O00231	P62195
P10912	P29350
P11021	Q00653
P14373	P26358
O14610	P40145
O15524	P52630
P20073	P51668
P12956	P45983
P16220	P17612
P31946	Q9BZJ0
406913	P31269
P23443	Q9BY77
Q8IX03	Q9UKE5
O95990	Q8TCG1
P06239	P35222
P42336	Q13077
P01574	Q01344
O43169	Q9Y4K3
P12980	Q9H7R5
O14543	P14784
P56524	Q99877
P0C5Y9	P62875
P19838	P45984
P07332	P29084
O15123	P22455
P68431	Q9BVI0
P48645	Q13424
P07359	P16109
Q96D15	Q9UMX1
P27361	P28562
Q8NFZ5	Q9Y6K9
P04049	P27361
P16333	P21917
O15444	P61073
P12755	Q13485
P04085	P29317
P10912	P26441
Q13315	Q15345
Q13233	Q9H1R3
P10809	P21281
P41182	Q99677
O95396	O96007
Q03164	Q99496
Q9BWF3	Q9H5V9
P62195	Q15008
P01889	P61106
P08620	Q07890
Q06265	Q13838
P17844	Q92841
Q07666	Q13588
P02679	P08514
406891	P01111
P63027	Q15833
P06241	Q9HCM9
O43708	P55157
O14950	P62136
Q99459	Q9BWT7
O94817	Q15459
O00574	Q16663
P53680	Q9NZN4
A8K6C2	Q01344
Q8TDB6	Q96B02
O00161	P63027
P55001	P98160
P09603	P35916
442890	Q9UIH9
O14576	P68371
O00253	Q9UGJ0
P12883	Q9NRI5
P22612	Q8TCU5
Q14145	Q96IP4
P30450	Q9NYU2
P31689	Q99759
P01375	P18146
P04439	Q13241
P06213	Q13322
Q12986	Q15287
P32121	Q9HBX9
P78545	Q9Y266
P42566	Q9UMX0
P54105	P62316
P10275	Q05086
P62136	Q9H175
Q99758	Q9UQV4
Q9HBH0	Q9P2F6
Q16891	Q9NX18
O15160	Q9Y2Q3
P55345	Q9UM73
O75592	P61077
O14827	P22612
Q8WZ19	Q9H6L4
P01889	P28070
P35268	P62906
Q9H8Y8	Q9UHY8
P46108	P54253
O15442	Q9NRI5
P01106	Q04206
P56645	P63208
Q14432	Q9Y6D6
O76083	Q96FC7
P35680	Q8TCC7
P38405	Q8NGY1
P26951	Q13007
P18146	Q8WXH6
Q5VYV7	Q9Y4P1
O14764	Q9UMX0
P04637	Q15573
P00374	Q9UJX2
P08572	P18084
Q14627	Q9NPF7
P36406	Q9UJY4
P62993	Q6S5L8
Q6PEY2	Q92974
Q00005	Q92736
P13805	Q9H6R7
Q86WN2	Q99665
P04179	P98177
O95376	Q16851
O00257	P35398
P22695	P30480
O95249	Q13190
O75400	Q9Y388
P04745	Q4L180
P26641	Q6N063
O15162	Q16659
P37231	Q15648
P62195	Q92753
Q9UQC2	Q9Y6Q6
O95257	Q8WWL7
P07355	Q9Y6R4
Q13315	Q5VVJ2
P20226	Q15788
P16220	Q969V6
Q00005	Q8IX01
O15551	P56747
O15551	Q8N7P3
O15235	Q14194
P53779	P61952
P48443	Q92793
P41235	Q86WA6
406881	P01111
Q96PU5	Q9H469
P46531	Q06330
O75419	P49736
Q15714	Q96P70
Q13151	Q92620
Q9H0D6	Q9HAU5
O95155	P10144
Q96J02	Q9H3D4
P10276	Q00056
P21675	P61244
P41743	Q9BYG4
P04141	P10912
Q14517	Q8N8S7
P29992	P39877
P01871	P11021
P51571	Q9HC24
O43747	Q96KM6
P05412	Q9NR30
P30511	Q8NHL6
Q8IZ08	Q9Y5V3
Q7L4I2	Q9NRR5
O14775	P40145
Q13835	Q5MNZ9
P00338	P63104
P02647	Q92484
O43719	Q96KM6
Q9HBE5	Q9P0W0
P0CG48	Q96S55
P02452	Q9UKX5
O95167	Q9P0J0
P01570	P38484
Q96L34	Q9Y4B5
P31946	P48729
P43686	Q99459
P10242	Q9Y4K3
Q16082	Q9Y5V3
P28566	P63211
P51955	Q14203
O75460	Q86TM6
O00487	Q9BRP4
O75081	Q99081
P05129	P22612
P02545	P18054
Q13363	Q13465
O00187	P06681
P30049	P56381
P51817	Q13370
P06241	P08575
A0JLT2	Q9Y3C7
P11387	P18858
O15069	Q9UBN7
O15530	Q16513
P06241	P31273
P20333	Q13748
Q14832	Q9UBI6
P49023	Q01844
P78560	Q9HB75
P30480	P62714
Q14653	Q9BYM8
O14610	P11229
Q9UGI8	Q9UI08
O75964	P03928
P12956	Q86WJ1
P05114	P05204
O75084	Q13145
P41212	Q8WUI4
P09012	P26368
P12830	P62136
Q15717	Q96EB6
P13569	P25490
P49407	Q99418
P54253	Q9Y2K5
O95400	Q6P2Q9
P24928	Q96H20
P49792	Q99567
Q99459	Q9Y266
P29350	Q9Y6Q6
Q00987	Q7LG56
O95376	P51681
Q8WYA6	Q9P013
O43684	O60566
Q02045	Q86YV6
P78527	Q13315
P13569	Q9NZN1
P01106	Q9HCN8
P50395	Q969Q5
Q13424	Q9Y2T3
Q13976	Q9BZL4
Q06190	Q9UBN1
P20823	Q9Y5W7
Q8IUD2	Q9NR96
Q15750	Q9H9G7
P78504	Q9H3D4
Q4G163	Q9Y297
P45985	Q5S007
O15085	Q92730
P62070	Q92565
P31314	Q92793
P26368	P67809
Q13153	Q15052
P01242	P26992
Q8TAD8	Q9UBW7
Q8NBZ0	Q9Y230
P15170	Q14164
P61254	P83731
P81408	Q13424
O95007	P35626
Q9BSL1	Q9UKX2
O15047	O60814
P05771	P12314
O95402	P30876
P10415	P17612
O95622	P63096
P05129	P15311
P55884	Q9UBQ5
P05015	Q9HBE5
P0C0S8	P56524
Q99962	Q9P2Y4
O00327	P0CG48
Q6PCD5	Q969T4
P25054	P49023
Q05048	Q9H0E2
P84090	Q13432
P18084	P50552
Q5VU43	Q99459
P13569	Q9NYL9
P01569	Q01344
P01242	Q8IU57
P28799	P49639
Q12857	Q92793
406893	Q15910
P02649	P98164
P40225	P48551
P28066	Q9Y5K5
O75582	P84090
Q8TEM1	Q9NRG9
P61981	Q15393
O00401	P60709
Q86W26	Q9ULZ3
P18146	Q9NYF8
P37173	P46937
Q13485	Q8TEW0
O60674	P17787
P20823	Q9Y2T1
P01568	P24394
P61964	Q13620
P62306	Q9UK45
P36578	Q92901
P49841	Q9Y297
P42224	P52630
P61956	Q02078
P13535	P63261
P14635	P62805
P18507	P54257
Q15038	Q9H0X6
P63104	Q92934
P56645	Q8TAK6
Q13547	Q96A08
O14512	Q8IZP0
P02686	P09237
P51617	Q9Y2T4
Q13310	Q96EP5
O94941	P62256
P54253	Q9Y4E1
P51617	Q8N5C8
P45983	P52564
P31751	P78527
Q13191	Q9UKW4
P11717	Q15075
P04179	Q7L5D6
P98175	Q13123
P01116	P45984
P08865	P62249
P19388	P61218
P13569	P46934
P56880	P57739
Q12834	Q9UJX6
O60674	P19235
P43403	Q12959
A6NKT7	P46060
P09661	P49662
O43439	Q9Y618
O95747	Q99459
P23416	P46379
O75376	Q14995
P12081	P23528
O75896	Q6P2I7
P01909	Q5T3J3
Q96A08	Q9Y5B9
P83916	Q99877
Q03518	Q14194
O60732	P49406
P06241	Q01362
Q01101	Q13562
Q13118	Q15717
P12830	Q9UNH5
P61978	Q08881
O60739	Q9NR31
Q86XP3	Q9UMS4
Q13546	Q8TEL6
Q8HWS3	Q8TAP4
P19438	P54253
P16234	Q07889
Q5T9A4	Q9UL18
Q9NPG1	Q9NQ66
O60331	P63000
P46937	P78352
O75164	P62805
P0C869	P17252
P46782	Q9UKV8
P11177	Q14164
P43686	Q9UL46
P49715	Q05195
P56556	Q9NX14
P29353	P36542
P06493	P38936
P11171	P99999
Q8IWZ8	Q9BUJ2
P50914	Q02878
Q15287	Q6VN20
P25025	P25098
P22392	P62807
P24390	Q9HC98
Q9NZT2	Q9Y2Q3
P36578	P62258
P16333	Q05193
P67775	Q5FBB7
P02778	Q6V1X1
O15085	Q07890
P16104	Q92831
P29374	Q9HCU9
P56645	P63279
P61964	Q00403
P38398	Q8NEM0
P30305	Q15323
Q00005	Q99832
P60709	P62081
P60484	Q5TCQ9
Q8NAF0	Q9NRH1
Q9NRR5	Q9Y3C5
O00422	Q86V81
Q16594	Q9Y6J9
O43426	Q99961
P13569	Q13009
Q9H981	Q9Y265
Q04637	Q9UL03
A8MTJ3	P35913
Q7L5D6	Q96AC6
P07437	Q9NY65
P36402	Q92793
P36873	Q96A00
Q96B97	Q99961
P54920	Q14164
P62993	Q16658
Q05397	Q08722
Q13228	Q15645
O60674	P32881
O15131	Q53H96
O43521	P27361
P23229	P53420
P04439	Q8N109
Q14558	Q9Y2V3
P49459	Q14194
P04278	Q14541
Q4V326	Q96IK5
P29350	Q14626
P07942	Q5T6C5
P54253	Q92609
Q13936	Q9UK08
P01106	P16989
Q96RT1	Q9BTT6
O43747	P61106
Q16531	Q99759
P25788	P43354
O60861	Q96F07
P36873	Q9NY47
P16234	Q9Y371
P04156	Q13449
P08069	P52797
P68032	Q16658
P14868	Q92597
P05067	Q96BI3
P35354	Q9NP80
P29323	P49790
P01243	P55786
P24043	Q13683
P02751	Q13485
P61088	Q12933
O15379	Q8N257
A6NHT5	P46379
P14316	Q03001
O75478	O75528
Q13976	Q9Y6F6
O60220	Q92783
O15169	P49815
P06239	Q13761
P14672	Q9UGJ0
P27348	P49286
O43320	P06213
P62487	Q15560
693123	Q00534
P01891	P30101
P42858	P78352
P98175	Q01081
O75369	P17301
O00743	O14965
P04004	P49418
Q00653	Q8IU54
P07437	Q96NA2
P01569	Q99650
P61981	Q13043
P49286	P63211
P48169	Q9NQX3
P35900	Q13057
P55899	P61769
A6NI73	P12314
P04899	P32246
P42677	Q15628
P11177	P61224
O43524	P63104
P52789	Q16665
P31689	Q9Y4K3
P43405	P78314
Q12872	Q13535
O60716	P08581
P46781	P62841
P60484	Q03135
Q15714	Q8NFQ8
P51148	Q15075
P29466	Q9NWB7
P10588	P24468
P56524	Q04917
O95067	P41002
P10398	Q9Y243
P26373	Q99459
Q96KQ7	Q9H0I2
P35354	P58012
O75618	P84022
O75886	Q9Y3C5
P05141	Q12933
O60674	P42336
Q13315	Q8TCS8
406938	P42224
P05556	P17612
P61981	Q9NQG6
Q96CN9	Q9Y2I6
P25788	Q00987
O14640	P48730
P12956	P84022
P52597	Q92945
O14495	P08648
P41182	Q9H9B1
O76064	Q9BXI2
Q96GM5	Q9UJX2
Q13177	Q9UBI6
O00303	Q969P5
O43306	P16520
P27635	P62993
P38405	Q6IF00
O15198	Q9UMX0
Q01844	Q92793
P10767	P35968
P02768	P10720
O60383	P62310
P08311	Q9UIV8
O14610	Q9UBS5
O60508	Q08211
P07948	P32927
P20073	Q8IZ69
407018	Q96DT7
P13611	P80075
P21246	Q9HC16
P10276	P43354
Q99879	Q9UBL3
P22001	Q16620
P48552	P63165
O95866	P29350
O15455	Q99836
P22087	Q16611
P40425	Q9UQB8
Q9H9Y6	Q9UIG0
P60520	Q5TCY1
Q9HAV4	Q9UBN6
P0CG47	Q9HCE7
P21453	P31749
P01106	P43243
O00716	P09884
P00736	P0C0L5
P34931	Q16659
P02768	Q9UKG9
P08648	P29965
P84095	Q96JJ3
O60353	Q9H1J7
P06213	P12034
P47710	Q13315
P62140	Q16821
Q15554	Q96MF7
P42858	P43357
P23508	Q9Y295
P08069	P55075
Q13085	Q9UGI9
Q9UHF4	Q9ULV8
P50990	Q00005
O43464	Q13489
P35520	Q8IV36
P08123	P51511
P51685	Q9H2A7
O75815	P21860
P15104	P30480
P19105	Q9BZL4
P25787	P28074
Q9NRX4	Q9Y4K3
O60266	P09471
O95751	Q9UGP5
P13236	P32302
P02652	P13569
P01106	P59768
P61981	Q07954
P04350	Q71U36
Q13573	Q6P2Q9
P30480	P48147
Q13620	Q9H967
P01258	P23634
Q12933	Q13200
P61927	P62750
P29317	Q92915
Q01970	Q02156
P42263	P62136
P07333	P14210
Q04206	Q99558
P07101	P63104
P35251	P67870
Q04771	Q9NYN1
O00459	Q8IWV1
Q92585	Q99466
P13569	Q9ULV0
Q9UPQ4	Q9Y2X8
P08183	P23511
P63104	Q13191
P54253	Q86Y13
O94832	Q9BRX2
Q13873	Q7Z4P5
O14625	P41597
O60602	Q8IUC6
P10275	Q9Y252
O14610	P53778
P09601	Q14103
O14610	P45984
Q13573	Q14974
P11473	P48443
P05000	Q6UXL0
Q13698	Q9Y5P8
O15534	P62877
O14543	O43318
P04183	P35611
406907	P49715
P04899	P50150
Q14565	Q9BUH8
P08700	P10912
O14544	P52333
O43390	Q08211
Q8IYH5	Q9NS73
P61244	Q9NUQ3
P19793	Q9NRR5
P58876	Q8WUI4
P35626	Q13606
O14543	P42229
P12931	P53355
Q13642	Q5VU43
P05412	P60568
P47871	P63092
Q04206	Q07108
P35080	P60709
P07478	Q8TEW0
Q13163	Q9Y5S2
P01106	P62877
P09525	P16104
P53420	Q13797
P51668	Q9NS56
Q12933	Q9Y4K3
Q16637	Q99459
O75604	P19012
P08648	P26012
P01344	Q9UNN5
P49662	Q9H936
O15145	Q07889
O60763	Q06547
P03372	Q8TAQ2
P12004	Q15233
O43541	P01579
P21802	Q9NRA1
Q13485	Q96PU4
O14544	Q99665
P17948	Q9NRA1
O15162	P27037
O75909	Q9BQ66
P21127	Q15287
Q15038	Q9Y3C7
O60506	Q9Y2V3
P01106	P18669
P08047	P10599
P63279	Q9Y4K3
P54253	Q2TAL8
P61586	Q9P286
O14544	Q08334
Q12778	Q99873
O43676	O95169
P38398	P53803
P46531	P49810
Q16543	Q8IYT8
O60503	P50151
P24539	Q99816
Q8IY92	Q96D46
P48551	Q13651
P31749	Q9UQF2
P10451	Q13683
406947	Q99836
P20333	Q13077
P30291	P31946
P05129	Q8TAA9
O14744	P54105
O95630	Q9BY43
O95295	P04278
P10600	P35442
Q12873	Q86YP4
P04049	Q9NRD5
P56703	Q13467
P06400	Q6STE5
P29372	Q01105
P32121	Q8NGY3
P61981	Q53ET0
O15151	P31947
P35998	Q9UNM6
O14964	Q9UBB9
P30153	Q6NZY4
O95831	Q9Y3Q8
O15264	P05387
Q8IYI8	Q9BQ66
P25490	P61073
P01236	P15260
P35225	Q99665
P04626	Q07889
P01308	P08069
Q15139	Q16236
P35579	Q8NEV4
Q8N6Y0	Q9NTK1
P15153	P98171
P39019	P61247
