#node1	node2
P36941	Q13349
P33993	Q13415
5512	Q96SB3
P15509	Q9NPH9
P16220	Q8N4X5
Q8IYD1	Q9H1J1
P14598	Q96RG2
O75365	Q7Z4Q2
Q01094	Q13889
O60879	Q8NHR9
Q15554	Q96AP0
P21964	P23508
P69892	Q99717
Q01081	Q92620
Q14683	Q8NDV3
P07602	Q9ULX9
P21246	Q9Y6H5
P07996	Q15717
O43676	P03901
P26010	Q16787
P16220	Q96NJ5
P50151	Q00975
Q969Q1	Q9NP98
P62993	Q92949
P10321	Q8N743
Q14643	Q9Y3M8
O75044	P61587
P30050	P83731
P16104	Q9UKV0
Q09028	Q96ST3
Q16539	Q9UK08
P49711	Q13485
P20309	Q5JY77
P34982	P38405
P60763	Q52LW3
P68036	Q96EQ8
P43686	Q92753
P26992	Q92624
P68431	Q9Y294
P19174	P55157
P28066	P60900
P61160	Q92747
P61586	Q04759
Q15653	Q8NI77
O43493	Q7Z3C6
P46781	P62081
P51784	Q99496
Q96FF9	Q9UQE7
P10721	P35568
O14764	O60296
P28074	Q9UET6
O75167	O95433
407049	Q8WY64
Q13427	Q15287
P28562	Q16539
O75928	P48552
P23497	Q8TAD8
O43303	Q8IW35
P27986	Q9UKW4
P63279	Q9H307
O95168	O96000
O15397	P62258
P62312	Q9UK45
P02545	Q13535
P09038	P29317
O75525	P26368
O75528	P19793
P19174	Q8WX92
P29466	Q14116
P26373	P62891
P48436	Q92993
P56199	Q92752
P01571	P42702
O14775	O60503
P16220	Q96L08
O00206	P05412
P35555	Q15582
P12757	Q8IZ52
O43463	P24864
P24941	Q05516
P00533	Q2TAY7
P10599	P63104
P18846	P51817
Q15084	Q92956
O43592	Q99759
Q02363	Q92858
P22607	Q12789
P48736	Q07890
P09651	Q9BUJ2
P05388	Q99459
P18146	Q9ULZ2
P04278	P68104
O60934	O94762
P22090	P62277
P51572	Q14790
Q6SZW1	Q8IUQ4
P56945	P68366
O95793	P46779
O14744	P19387
Q14164	Q15459
P51114	Q14194
O60603	Q9BXN2
P61077	Q9NZQ3
P67775	Q16589
O15151	P10415
P02545	P63104
P17612	P46019
Q15714	Q9Y241
P16871	Q04206
O00459	Q9HBH0
O75475	P08319
P01889	Q96AH8
Q13435	Q13535
Q13049	Q13404
P01241	Q96DZ1
P62910	Q92901
P06241	P42166
O14744	Q9BQA1
P05386	P42766
P49768	Q15011
P07900	P15172
Q15910	Q16644
P49674	Q9H6R7
P30519	Q6NUN9
P30153	Q13362
P16035	P61289
Q13465	Q13547
P17301	P22612
P50151	Q14832
P27695	Q01105
O00341	Q13424
O15169	P49674
Q9H293	Q9NRM6
P19438	P38646
P15884	P56545
P07437	Q9BQE3
O14775	P35462
P68371	Q71U36
P07948	P40189
O15143	Q9UPY6
P32121	Q8NGX0
P01137	P09529
P62834	Q13547
P11021	P49286
P53672	P53674
P32121	Q8NGS3
P52597	Q13243
P84095	Q15797
P06703	Q9HB71
O95405	Q5T124
Q15005	Q92956
P38405	Q8NGA6
P10412	P83916
P06737	P46020
