#node1	node2
O15085	P00519
P17706	P42224
P01909	P04233
P25116	P48736
P31350	Q9UM11
O60244	Q93074
Q92574	Q9BXF6
O14727	O43504
P03372	P10599
Q92823	Q9UPN3
P55212	Q13490
O15169	P39687
P05019	P35968
P02647	P10909
P06493	P78344
P14784	Q9NYY1
O60841	Q99459
P02538	P19012
O60921	O75943
O75369	Q9HAU4
P53539	Q96EB6
Q96JN8	Q9UJU6
P43354	Q92793
P04637	P23297
P00533	P01133
P98095	Q12830
P07858	P20073
P61201	Q9UK53
A8MTJ3	P16499
P60484	Q86UL8
P41279	Q9Y6K9
P33076	Q15306
O43353	P07900
P62714	Q9UF02
P35544	P39019
P34932	Q12933
P41220	P60228
P00533	Q07890
P62136	Q13976
P54253	P63279
P32969	P46778
P62993	Q05193
P55060	P63104
Q01094	Q13490
P05412	Q10586
P09471	P0C869
O95994	Q02817
P01106	P60228
Q13547	Q16576
P63173	Q02878
O75909	Q8HWS3
P12980	P48378
Q02224	Q96BD8
P10912	Q14686
O14519	P42772
P01571	Q00653
P10275	P30304
P35372	P49407
P51784	Q15831
Q12905	Q13315
O94925	P43360
O14764	Q9NQX3
P01106	Q9UH65
P18124	P46778
P49720	Q9Y4K3
P10515	Q15119
P84243	Q14781
P06400	P17676
P30273	P42336
P01106	Q92922
P32121	Q8NH94
Q09019	Q8IY92
P63279	Q9NR12
O43524	Q96EB6
O15371	P23508
Q05516	Q9UJX4
P01116	P08069
Q93077	Q96DB2
P18206	P50552
Q02080	Q12968
P35228	Q00978
O60658	Q04864
P61586	Q7Z6B7
Q05086	Q6PJ69
O43913	P33993
O75376	P10275
406954	P84022
O43318	Q8IYH5
P62837	Q9UKB1
O14908	P17252
P02751	P31431
P23497	P46100
Q12974	Q6P4Q7
P42336	Q9UKG1
Q15910	Q9NYL2
P25205	P78396
P62987	P62993
Q92633	Q9P2W3
Q04941	Q9Y478
P49682	P51671
P02768	Q9Y383
O75886	Q969R5
O60508	Q07955
O75578	P35443
O60237	P14649
Q13485	Q99717
P11912	P15391
O95777	P62314
O43819	P01106
Q01094	Q8NEM0
P42575	Q9HB75
Q562R1	Q8NHR9
P09874	P49959
P51668	Q86Y01
O60641	Q9UHD2
O00626	P41597
P42345	Q9Y478
O00220	Q96P48
P30559	P63096
Q00839	Q05519
P62873	Q99677
P22694	P63215
P27361	Q07352
Q96KM6	Q9BUZ4
Q07889	Q8N1I0
P20702	P53567
Q00005	Q13085
P48544	P63096
O15105	Q9UJU2
P32243	P54253
P12830	P20248
P18848	Q9BUB5
P15927	P51681
Q16659	Q96DB2
P01106	Q8NCB2
P06731	P52272
P17081	P98171
P63165	Q9NYW8
P04216	P06239
P01106	Q9UNL2
P00519	P06733
P62158	Q16566
P05091	Q9UKR5
O00182	Q8TDQ0
Q13561	Q99459
P14151	P62993
P62258	Q9GZM8
P62877	Q9Y297
P12107	P26010
P27986	P40197
P16520	Q92806
P41250	Q9Y4K3
O14893	P84103
O15534	Q13315
P49841	Q13794
A6NHL2	Q13885
Q7L1V2	Q9H270
P11137	Q9P0L2
O60262	P35609
P13807	P17612
Q8N122	Q9UGI9
Q9GZS1	Q9UH99
Q8IX12	Q969Q1
Q8N5R6	Q9Y620
O43674	O96000
P27694	Q15560
O15198	Q9UJ70
P62993	Q9BZF9
P01116	Q07890
P46778	P61353
Q9BVJ7	Q9NYL9
Q69YU3	Q9Y5U9
Q9UNM6	Q9Y6K9
Q99962	Q9ULV8
Q13347	Q92956
Q02763	Q9Y264
P31946	P63104
P38405	Q8NGK1
P49792	P61956
P62070	Q92565
Q13422	Q9HCP0
P17948	Q9ULV8
P10147	P51679
P27986	P42681
P08581	Q9ULV8
O43663	O95239
Q8TDY2	Q9BXW4
O14497	Q9UJX2
Q13467	Q93097
P12931	P50570
P61586	Q13393
P08962	Q03135
P62993	Q9H0H5
Q14160	Q8IY92
P04271	P08133
P19838	P43243
Q12967	Q92963
Q00722	Q02763
P28482	P30480
Q9HAV4	Q9Y5J5
P35968	P49765
O15400	P46459
P45983	Q9P2W3
O75508	O95500
P15056	Q15382
Q8TDB6	Q96B02
P63104	Q3ZCQ8
P23634	Q13976
Q15306	Q99836
Q99963	Q9C0J8
P07900	Q13573
Q13698	Q66LE6
P16220	Q13884
P34897	P62993
Q96B02	Q9Y4L5
P46940	P63000
P38405	Q8NH61
Q86Y01	Q9Y2X8
Q9H9A5	Q9NZN8
P04637	Q9BY41
Q13751	Q16787
P62136	Q8TEY5
P0C0S5	Q969S8
P41212	Q99459
P30154	P53041
P04278	P41222
P55209	Q9H1Y0
P49959	Q99459
O95865	Q9NYL2
Q06710	Q92911
Q12834	Q96JK9
P0C0S5	Q9Y265
P01106	P49591
Q00597	Q13813
P14317	Q12965
P62805	Q8TAQ2
P63104	Q07866
P29992	P30556
P42338	Q9Y243
O60936	Q9NVF9
Q15102	Q9GZT6
P13569	P13987
P12004	P18669
P28482	P62136
Q9H0R8	Q9UPU7
O15230	P07942
P18146	P51817
Q8WVB3	Q9BPX7
P01100	P17252
O15162	P04899
P17813	Q04771
Q9NPH3	Q9NWZ3
P04350	Q96AH8
O43924	P36405
O75494	Q13595
O75150	Q09161
P29992	P48736
O75807	P18848
Q13526	Q9GZR7
P16050	P42226
O14757	Q01094
P25205	P42224
P17600	P46108
P17655	Q6UXS9
O60232	O75865
P35659	P62805
O15131	Q9Y5K6
P16070	P25940
P10244	Q92769
Q9UBR4	Q9UG01
P17858	P30480
574411	Q9UKV8
P60484	Q7L5N1
P61326	Q96BK5
Q13308	Q9UJU2
Q99873	Q9Y6Q9
Q12955	Q14573
Q99469	Q9NZQ3
Q15303	Q9H201
P36578	P62987
P62258	Q7Z353
P31260	Q92769
P51946	Q13889
Q96BD5	Q9P0W2
O43236	Q9UKE5
Q00610	Q676U5
O43187	P49768
P45983	Q12778
P25705	P62258
P22607	Q15389
Q9GZR7	Q9Y2X7
O60262	P49286
P84022	Q8NG27
P11229	Q9P2W3
P68431	Q92993
407008	Q06413
Q13509	Q9BQE3
O14788	P61968
Q13163	Q9Y5S2
O95139	P03905
Q15118	Q8WTW4
P30480	Q9P258
P46783	P62241
P21580	Q13158
P22681	P52333
Q14626	Q9HBE4
P19174	P35968
P49286	P63215
Q9P258	Q9UET6
P00519	Q15642
P0CG48	P61981
100008589	P52434
Q8IWL2	Q9Y6Y9
Q14289	Q7L0Q8
P33991	P53350
O14965	P25054
P22694	Q14524
O43639	Q9NQU5
