#node1	node2
P56545	Q9H171
P05023	P27986
P27986	P61224
P30273	Q06187
P09429	Q07021
P45983	Q15759
P03372	P10275
P01111	P04899
407009	Q96CW1
P20309	P63092
P07602	P55072
P54284	Q04206
P01023	Q16637
Q14686	Q9BT22
P26717	P30443
Q15052	Q6UXF1
P18146	Q92630
O00193	Q9Y6H5
P30305	P62258
P38159	Q12986
P28566	P43686
P42574	Q9BY44
Q401N2	Q9GZM7
P46736	Q96RL1
P45973	P84243
P17081	Q9P107
494336	Q02750
Q07699	Q13557
Q13114	Q96DC9
Q13535	Q9Y6Q9
P19388	Q9NVU0
