#node1	node2
O75365	Q15042
P52701	P55036
P02751	P02768
Q13315	Q9UBU7
O96020	Q9UM13
Q13485	Q8TAD8
P30154	Q01668
P18507	Q9NQX3
O95166	P07437
B1A4H9	P31785
P56703	Q9H237
P53778	Q9Y4K3
O43251	Q15038
Q8N1I0	Q96L33
P35228	Q99836
Q9Y2G2	Q9Y6K9
Q14332	Q93098
Q07889	Q6WCQ1
P04156	Q13449
P06899	Q16514
P40692	Q96NE9
P35626	Q8NGS4
O60563	P28799
O14508	O60674
O00308	Q01844
P16499	P19087
P18074	Q06609
P63279	Q8IVD9
Q92673	Q9UJY5
Q13153	Q7L0Q8
O00459	P40189
P53992	Q99459
P06400	P15336
P35637	Q08211
O15264	P28562
Q99836	Q9NYJ8
P82979	Q13838
P10721	Q99963
P04626	P23470
Q08334	Q8IU57
Q9UKE5	Q9Y3D3
P06239	P42336
O14610	P51828
O00329	P11362
O60260	Q13155
P62837	Q9BZY9
P06858	P29074
O43312	P01106
P62993	Q16586
P78509	Q13501
P05013	P15509
P62879	Q13698
P54253	Q14671
Q15047	Q8TAD8
P35713	Q06413
Q15084	Q92956
O60282	P42261
O75564	Q9BRQ0
Q14197	Q9NWU5
O60721	P62993
406886	P05231
P27348	Q9P2D8
O15020	P25054
P16473	Q5JWF2
O43493	P06241
O60814	Q99878
P14923	P49768
Q13554	Q14573
P45984	Q16539
Q9UBR4	Q9UG01
P04049	P09619
P27348	P84103
P26641	Q96SN8
O95166	Q9UQL6
P51681	Q93045
P16333	Q96NS5
P33778	Q99878
Q9UHI6	Q9UKV8
P05496	P56385
O75928	Q12772
O00541	P32121
Q8WYR1	Q9UBK5
Q15654	Q99469
P10912	Q9Y2R2
P02511	P43320
P35626	Q8NH40
Q15717	Q9UGJ0
Q15147	Q9UP38
Q13547	Q6FI13
P61769	Q15853
O60684	Q14872
O75817	Q16637
P04899	P35372
Q96RR4	Q9UGJ0
P35222	P60484
P01106	Q03164
P10914	P35228
P04179	P62330
P27824	Q99758
P10275	Q14686
P62873	Q9NQ66
P37108	Q9UNZ2
O43566	P09471
Q9UIA9	Q9Y2Q3
O75369	P08648
P14780	P80162
O00329	Q9UK08
P52757	P61587
P21675	P56975
O75486	Q86TJ2
P32121	P62330
P28290	P61981
P14415	P32418
P16619	P51677
P35226	Q8IY57
Q9H469	Q9HAU4
P32246	P80075
P36897	Q9H3Q1
P01764	P01857
O43290	O75554
P54289	Q969Q6
Q14103	Q15427
Q05086	Q56P03
O15372	P30480
P02778	P51679
P15336	P62136
O96019	Q8NBZ0
Q96L34	Q9NPB6
P28070	Q9Y5K5
Q02413	Q8WUW1
P50570	Q96B97
O00255	Q13315
Q5TB80	Q9BS40
P21731	Q14344
Q13315	Q9BXW9
P42701	Q9UHD0
P29350	Q02556
Q401N2	Q92973
P06899	Q96KK5
Q53QZ3	Q96L33
P35354	Q02818
P05106	Q03135
P57721	Q9UKA9
P05997	P16144
P59998	Q92747
P22694	Q9H1R3
O15265	Q86TJ2
P22694	P23634
P10635	P41235
P01242	P78552
Q02363	Q99081
P78332	Q13315
P05121	P84022
Q66LE6	Q9NY47
P05771	Q02930
P16220	Q96C55
P15173	Q02535
P21802	P52798
P52756	Q13242
Q13315	Q9UER7
Q99459	Q9UMR2
O14508	Q8IU57
P01241	P24394
P51817	Q9UNY4
Q53TQ3	Q9Y230
Q13177	Q7Z6J0
P48736	Q9Y243
Q13233	Q9UPT6
P62241	Q92597
P18124	Q13233
O15496	P27361
O00141	Q9NTK5
P56537	Q13257
O15085	P60953
P10070	Q92630
P59046	Q99558
Q13618	Q9GZQ8
P00403	P62316
P19174	Q13111
Q15172	Q9BVP2
P16333	Q9BWW9
P0CG48	Q15034
P30154	Q02641
O75791	P02768
P07333	Q92569
P01563	Q92985
O95551	P15036
P05129	P27361
P15927	P60510
Q02224	Q14683
P04899	P27986
O43318	Q9Y4D1
P35626	Q8NGS3
P05129	P62714
P10144	Q9H853
P17612	Q92736
P04156	Q5VU43
O43809	P60896
406906	O43399
O43306	P05771
P38405	Q8NHC5
P35222	Q9UKB5
P08559	P10515
P45973	Q9UIS9
P23508	P55072
P17252	Q68CJ9
P00519	P42345
P29353	Q02763
P22694	Q13698
O95751	P05783
O94906	P10275
P30613	P35557
P60953	Q92558
Q14141	Q15019
P00519	P21860
P27448	Q92527
P61353	Q15843
P10721	Q13588
P00403	P62736
Q14627	Q16619
P08047	P49961
Q9Y2Q3	Q9Y5Q9
Q16777	Q96DB2
P07288	P16401
P32927	Q16619
O00222	P09471
Q93045	Q96AW1
P01589	P05000
Q6PKG0	Q96GD4
P06400	P62136
P18206	P35637
Q09028	Q9UK53
P01563	P14784
A6NK59	Q03164
P05106	P12931
P35575	Q9Y478
P46779	Q13485
P32248	Q15835
P0CG48	Q9ULH1
P13612	Q9HBI1
P19438	Q96BY2
P51946	Q03181
P62316	Q04695
O15264	P11021
Q15382	Q92574
P06756	P56945
O60381	Q15797
O43586	Q9Y3U8
P13688	P49023
O15265	Q12962
O00255	P08670
P01100	P03372
P28482	Q9UK32
P16220	P43629
P21802	P35568
P59998	Q92558
Q14765	Q16539
O14654	P46108
O14490	P16333
A8MYU2	P22612
P04792	P62333
O96014	Q9UP38
Q8N7W2	Q92530
P18846	P78368
P11021	Q9UKG9
P78527	Q8IW19
P58012	Q13285
Q13315	Q96J87
Q9H6D7	Q9NVX0
P55957	Q04724
P57059	Q9P0L0
P10412	Q99558
Q6QNY1	Q96EV8
O75446	Q9HCU9
P43364	Q9BQ70
P34969	P62873
P52735	Q16620
Q05655	Q9H492
P34969	P61952
P61254	Q9Y3U8
P09972	P27540
Q13619	Q9H211
Q09472	Q92993
O14640	Q8IW93
P17480	Q92993
O00238	Q6KF10
O76041	Q9HAU4
Q8IZD9	Q9H4E5
P15692	P35916
Q00839	Q13242
P28288	Q9BRX2
Q13573	Q8WUA4
Q9NZT1	Q9UQK1
P12931	P18564
P08246	Q99684
P02741	P41159
O75084	P78352
P06730	P63165
Q5TCQ9	Q8TEU7
O15399	P22694
Q15084	Q9Y478
P22612	P63211
P00533	P62736
O43353	P63173
P15882	Q9HBH0
P11717	Q15075
P45983	Q12968
P78357	Q9H2G2
O00501	O95049
Q12972	Q15435
Q06124	Q07889
P01106	Q00839
P42224	Q05655
P11912	P29350
O60506	P30480
P10070	Q9H9S0
P15622	P36406
P31947	Q9UDY2
Q96PN6	Q9UBI6
P78356	Q06187
O95813	Q9Y6F9
O95837	P30556
A5YKK6	P21675
Q96B70	Q99459
O95816	Q15773
O15527	P62306
P12004	Q9H160
P10398	P53779
P43403	P46108
P08631	Q99704
Q9GZQ8	Q9NT62
P06241	P06865
P01579	P10914
P16619	P58012
Q13535	Q9BWW4
O96019	P60709
O43889	Q13237
P54577	P56537
Q15746	Q9NZT1
406884	P01116
Q12778	Q92793
P02745	P05155
O00716	P06400
P08238	Q9Y3M8
P02458	P09486
O15111	Q13546
P07359	P31946
P23025	Q9UPV0
Q53G59	Q9H204
O75367	Q9UQL6
P06733	P0DI81
O00159	Q99759
P24941	Q12778
P10721	Q9Y264
P56545	Q92769
P29728	Q9HC29
P01111	P19174
P23458	P42229
Q8IUE6	Q9UBN7
P08253	Q01955
Q9BUQ8	Q9Y333
P17181	P32881
P19875	P25025
P12004	P27695
P61026	Q9UHY7
O75925	Q13426
Q15047	Q9BWC9
Q08AM6	Q9H3M7
Q01844	Q99728
O15496	Q9HD67
Q01094	Q92831
Q9BRQ0	Q9H0E3
O15357	Q9BX66
P52888	Q14164
P17948	P42338
P20333	P62829
Q6UXL0	Q9UBD9
P52298	Q04637
P61247	Q00653
P02808	Q8TAX7
P08151	P30279
O76064	P06899
O95886	P06241
O94941	P51668
O43566	P20701
P29590	Q00987
P56746	Q96AP7
P11362	P21583
P04406	P06493
P25963	Q9P2K8
P26992	P46108
O95782	Q9BQG1
O15131	Q9NYR8
P16871	Q9UL46
P04049	P48736
O43491	Q07157
P05106	P60709
P15170	P54253
P56537	Q96EZ8
P05015	Q969J5
O14777	Q9BZD4
P60568	Q12968
P62993	Q96RT1
P46109	Q99704
P17252	Q9Y2U5
P54727	Q16186
P31749	P42574
P56945	Q14185
Q13315	Q9UBB6
P21333	P63104
P24468	Q15465
O15205	Q13257
P36578	P42766
O60925	P13378
P05231	P13725
Q02535	Q14469
Q02363	Q9NQB0
P68104	Q9UN74
O95486	Q15645
O00459	P01116
Q01844	Q8WUY3
O95433	Q9UK85
Q99877	Q9P287
P08700	Q9HBE5
P15153	P42336
P16333	P51116
Q14CM0	Q9NRP7
P01137	P18146
P62714	Q99471
P01911	P28067
O60641	Q9Y6K9
Q13242	Q15366
O43164	P61077
P17844	Q9UNE7
P47736	P63104
O60229	P38432
O60262	Q13936
P13671	P16333
P17252	P30153
P61088	Q9H992
P56537	Q8TEY7
P24941	Q53HC9
Q12929	Q96ED9
O75626	Q9H334
Q13490	Q9Y385
Q8NFM7	Q96F46
O43920	O75306
Q86XK3	Q96EV8
P17844	Q68CZ2
O95467	P29275
O43488	P30480
P08238	Q13573
Q01484	Q9UKE5
Q07666	Q08211
P07948	Q01362
P48788	Q92753
P47872	Q5JWF2
Q16891	Q9H5J8
P18085	Q13573
P78537	Q6QNY1
P62873	Q92633
P60763	Q9BYG4
P10071	P49841
Q06330	Q14469
Q13191	Q9H8Y8
O00526	P10914
Q8NEB9	Q99570
P46109	Q8WU20
P43307	Q9HAW0
Q15185	Q9NRG4
P38405	Q8NGX6
O95622	P63215
Q9HAY6	Q9P2G9
O43318	Q00610
406923	P11831
P04275	Q05397
Q7L2E3	Q9Y5X4
O43809	Q13595
P51685	Q99616
P61586	Q9Y281
P00533	Q05397
O75663	P60510
O14782	Q99459
P18146	Q8IZD2
O00755	Q9NPG1
Q13573	Q16514
Q01668	Q9UBI6
P05113	P42702
P63215	Q99677
O14641	P31749
O43908	P17693
O00233	Q06323
P05387	P18077
O75376	P50402
Q96CV9	Q9H1Y0
O15169	Q9UQK1
P15311	Q9Y478
P22061	P30480
P08572	Q13683
P12268	Q9NRR5
P24941	Q16667
P09874	Q96GD4
P51784	Q9H492
Q9UGJ1	Q9UKJ5
P60880	Q9Y3C0
P49736	Q99741
B1A4H9	P26992
O75251	P56556
O95352	Q9H0R8
O15198	Q9BRR9
Q92769	Q99878
P16234	Q9Y6I3
O15111	O43524
O75956	Q13595
P50570	P54252
O00212	Q9P107
P21917	P63218
Q68CJ9	Q92793
O43318	P62805
O43427	P67870
P16220	P35354
P49336	Q9Y2X0
P98175	Q15637
O43889	P17612
P62750	P62906
Q13492	Q13573
P01589	Q9ULV8
P32121	Q6IFH4
P61956	Q96HD1
P24522	P51531
P17676	P51681
O96024	P63167
P38646	Q01201
406956	P35625
O00501	O95500
P07910	Q05519
P30260	Q9UM13
P36575	Q93091
P04141	P31785
P21583	Q02763
P24941	Q13153
Q9UBK2	Q9Y478
P11836	P17947
Q05586	Q9P0X4
407046	P56817
P16104	Q9UBU8
O95848	Q9Y6X8
P04792	P16871
Q96PY6	Q9UBT7
O43318	Q8IYH5
Q13137	Q9H9D4
O95222	P38405
Q04721	Q92997
P67775	Q13136
P63279	Q9UKL3
Q13404	Q96P09
Q00688	Q00987
P55072	Q14164
P18859	Q16659
P05362	Q9Y4G6
406913	P15692
P15153	P98170
P10082	P27487
P32121	Q8NG77
P51817	Q96BA8
O15467	P46092
O60934	Q9BXW9
P15018	P16471
O43318	Q9HC29
Q13535	Q9BUG6
P14174	Q7L5N1
P42574	Q13077
P0C0S8	P58876
Q9BQE3	Q9BUF5
P04179	P13535
O43597	P07942
P01127	P10721
Q96RL1	Q9BTM1
P00519	P49023
P04049	Q04917
P09012	Q15287
P54259	P98160
Q8NFD5	Q92925
Q53H80	Q8TBB1
P50213	Q9Y6K9
P18846	Q53ET0
P05386	P46777
Q16875	Q9Y478
P11473	P51531
P31749	Q12824
P51636	Q9UGM3
Q13535	Q8N7H5
P51692	Q00978
P46108	P55287
P51692	Q9UGK3
P20042	Q9Y4G2
O95983	Q96T58
O95433	Q14185
P62913	Q9UKV8
O43556	Q96LD1
O14576	P47736
P31946	Q96B36
P62753	Q9UL18
P56134	Q96HD1
P01106	Q15365
P07900	P62158
O75461	Q01094
P01034	P02768
P23497	Q02556
P28482	Q8N5H7
406957	Q99466
P63261	Q9UI47
P22681	Q8IU57
Q00688	Q13547
Q12923	Q13158
P31749	Q9NUC0
P12931	P42336
O75396	P35609
P28799	P80370
P24941	Q8NHZ8
P55157	Q9BZM3
P27037	Q96RT1
Q13485	Q9NRA8
P04637	P62987
O60341	Q99459
P11171	P99999
Q13535	Q92793
P46379	Q15155
P68431	Q96T68
O60603	P07585
P56748	P56856
O00716	P10244
P12004	P62937
P62875	Q96QV6
Q9HCK5	Q9UKV8
P07942	P26010
Q92585	Q92793
P52564	P62834
9757	P61964
P15153	Q9P107
P30154	Q9UPR3
407025	Q01453
Q9ULK4	Q9Y4A5
P16333	P49770
Q8NBZ0	Q9C086
P47898	P61952
O15379	Q9UIS9
P09912	P10914
P18077	P62424
P21860	P43405
Q9P035	Q9Y2A0
P04839	Q92793
P51692	Q06124
P21964	Q15645
O43889	P05771
Q96EZ8	Q9NZM3
P17612	P27815
P28749	Q9BY76
Q14571	Q9UBN4
Q8IU54	Q99665
P52198	Q9Y3M8
P17568	Q9UI09
P52566	P63000
P01242	Q01344
Q8IYM9	Q93009
P49841	Q9Y483
O14544	P31785
Q13315	Q13428
P16220	Q9P2G3
P15692	Q16665
O60880	P21860
P10144	P14222
Q9UJX4	Q9UJX6
P22612	Q7Z3S7
P36507	Q9UHA4
P01137	P55103
Q07890	Q9NZL6
P61586	Q9Y3L3
P58107	Q15714
P12956	P14625
P31946	Q96JH8
Q9NQC3	Q9Y478
P45985	P46109
Q96RK0	Q9P1U0
O14641	Q13618
Q15366	Q8IX12
P30153	Q13362
Q13418	Q7Z4I7
Q14197	Q9Y3D3
O60503	Q9UQM7
P25940	Q9HCN6
P30050	P62993
P51681	Q9Y258
O95400	Q13247
P20333	P35580
P26373	P46777
P04899	P48051
P59768	Q8NFM4
P55157	Q8WX92
P42830	P51685
Q13315	Q96T37
Q13428	Q8IY92
P31150	P60953
P08575	P09382
O14514	Q5TCQ9
Q02952	Q08499
P15104	Q14164
Q13427	Q15365
P25025	Q9Y258
P41220	Q13976
O95467	P01106
Q13283	Q14444
P07437	Q13409
P20823	Q9UHC9
P51587	Q14565
P12931	P29350
P51617	Q16539
P42338	P43405
O75800	Q8ND25
Q8WYR1	Q9Y243
P62837	Q5M7Z0
Q13261	Q9UBD9
Q9NRX4	Q9Y4K3
P39023	P84098
P16885	Q9H204
P13569	P14859
P53675	Q96CW1
P35626	Q8NGS9
P08887	Q86WN2
O43765	Q9H2B2
Q92900	Q9BQY4
Q16514	Q9Y6J9
P60866	Q99547
P19012	Q96GM5
P35222	Q8TEW0
Q93009	Q9GZU2
P23396	P62081
Q12873	Q9UKY1
O60383	P04183
P25788	P28070
P61604	Q5T3J3
P05556	P05997
Q13233	Q8NHW5
Q16665	Q58FF8
Q14161	Q92974
P01106	Q15306
P02766	Q9BT40
P50591	Q13618
O15524	Q8N6P7
Q96IF1	Q9H4B6
P04637	Q92993
P02768	Q8NDX5
Q15910	Q16644
Q13315	Q9Y4P3
P68104	Q16829
P31751	P55211
O43765	O95967
Q15714	Q9HAV4
Q99459	Q9UJX2
O43399	P55327
Q8WU17	Q92905
P12931	Q05655
P05771	P14679
P15336	Q99941
P25092	P41235
P30480	Q15813
O00327	Q16665
P15153	Q9NYB9
P32121	P46094
O95810	Q969G5
O95747	P36897
O00255	Q9NS64
O60880	P04637
P52298	P62826
O60721	P18146
Q13315	Q5VVJ2
P24043	Q496J9
O95343	Q9UIL1
P63104	Q07889
P42338	Q9UBK5
P60953	Q9UKW4
O60503	P17612
Q8IUC6	Q9UHD2
P15260	P50591
P50150	Q9UBS5
P52597	P52756
O75914	Q9H4E5
P02652	P02768
P53567	Q16534
Q6FI13	Q8WUI4
P04049	P10415
406902	Q15853
Q13191	Q15303
P52306	P61586
P46108	P46109
Q9P2K6	Q9UHV2
Q13573	Q9BZZ5
O75593	P27986
P18089	Q03113
O60763	Q13114
O76074	Q14643
P04406	P38936
Q6R327	Q9BVC4
O15145	Q14247
P06213	Q15147
P32121	Q9H343
P04637	P32745
P10275	P50750
P12980	Q8IYD9
Q9UJ98	Q9UQE7
P11831	P63279
P40937	Q16254
P06730	P29590
Q15459	Q9BXW4
P20749	Q92993
P56693	Q5T442
O95208	Q15303
O14939	P62993
O75496	P38936
P04183	P38606
Q8IW50	Q8IX03
O60739	P00492
P25208	P30307
P78395	Q13617
P05129	Q9Y624
O60603	Q05513
O95793	P62136
Q13616	Q86WB0
P30460	P30504
O15360	O94805
P27482	Q14123
P68402	Q13424
P68400	Q09028
P13725	P38484
P30304	P51610
Q9UBM7	Q9UKE5
P10415	P17612
P68431	Q9Y4A5
P46776	P83881
P06748	Q92769
Q13315	Q9UBW8
O94761	Q8IWV7
Q9NSB8	Q9NSC5
P31749	P49841
Q86WV6	Q96KA5
P16220	Q9Y2W7
Q13415	Q9UBD5
P49459	Q14194
Q13573	Q8WYA6
P28566	P50150
P15336	Q8TEY5
P48739	P61968
P01100	Q13164
O75925	Q12772
Q8NEA6	Q9UMX1
Q15283	Q9UBI6
Q14562	Q15796
O15144	Q8WUW1
P42677	P62273
O15479	P62249
P16871	Q9ULV8
P29466	Q5EG05
P62993	Q9P1A6
O14602	Q99613
O75461	P25205
Q00597	Q8NB91
P53803	Q9H9Y6
O95251	Q5UIP0
O75027	P01106
O43294	Q05397
Q15029	Q8NBJ4
P62993	Q92945
Q13137	Q9Y4E5
407011	O94925
P04629	Q99963
P06756	P46108
P25786	P40306
P40189	Q8WYR1
P04406	P62258
O00744	Q9ULV1
P01889	P29692
P62993	Q9UMN6
P04350	P68366
P19086	Q9UP65
O60674	Q9HBE5
442918	O95980
P31689	Q9NPF4
O43639	Q14185
P07949	P19174
P58876	Q9UBN7
P20226	Q00613
406957	P84022
O94805	Q8NFD5
O14965	P49450
Q96L91	Q9H2F5
O14497	P24522
P07333	Q9H334
P25205	P78396
P00441	Q9BUN8
O15294	P23284
P10600	P37023
O60266	P50150
Q75N90	Q92569
P11362	Q9NQ66
P56748	P57739
O14641	Q96B18
O14893	Q15287
P19532	Q96KN7
Q00613	Q05639
Q8N720	Q9BQ66
O60229	Q9GZM8
P63104	Q02878
P01112	Q8TD86
P31749	Q53ET0
O75899	P61952
P82930	Q14197
O60359	P67775
O75489	P01106
P05015	Q9UGN5
O95837	Q9NPC1
P61244	Q9ULJ6
P78527	Q92878
P53567	Q9Y2D1
P04156	P10809
Q8NAV1	Q96SB4
P83731	Q9UL18
P18621	Q02878
P12980	Q6UXH1
Q00403	Q14653
Q9NX02	Q9UNN5
Q7L190	Q9BX70
Q8N474	Q9UP38
P35222	Q15717
P45983	Q15750
P09619	P12931
P25787	P40306
O15379	P42224
Q96S59	Q9H4A3
P16144	P35443
P01137	Q03167
P43405	Q6PI73
P29353	Q99459
O60739	P12004
Q86TM6	Q9Y385
P54725	Q09472
P62891	P62910
Q93098	Q9H461
Q6EEV6	Q99666
P30154	Q9NWZ3
P60709	Q13546
O75190	P01241
P0CG48	P18206
O95989	Q6ZN04
P42771	Q9UM73
P23508	P51452
P52272	P55795
P35579	Q99459
Q8NDV7	Q9HCK5
P13612	P46108
Q00005	Q7Z2W4
O75578	P20908
P38405	Q08462
P51148	Q13671
O43597	Q9Y219
Q9H2M9	Q9Y2Q3
Q6P1K2	Q9Y2X7
Q02763	Q92529
P42229	Q92905
O00459	P00533
Q00653	Q9UKG9
P00533	Q02750
P52294	Q9UJU2
O14640	Q14332
Q9NZN5	Q9ULL4
P55884	Q9Y262
Q9BRC7	Q9UI26
P61604	Q04724
P46940	Q00005
P17927	P35354
P00750	P05121
P04843	Q5VYV7
P54253	Q8NEM7
P01106	P62314
P32302	P48061
O75385	Q16625
P28072	P60900
P08670	P16220
P49662	Q9UQE7
P13688	P29353
Q05655	Q16236
P06400	P41236
P25054	P49790
P10809	P63104
Q8NFZ5	Q9UKG9
Q06413	Q92905
O95169	Q86Y39
O60739	P54819
P02686	Q86UE8
Q6P1J9	Q8NHQ1
P01241	Q01344
O95750	P16234
Q07869	Q86TX2
O14662	Q05209
P35626	Q8NGP3
Q15759	Q99956
P09619	P18031
P28072	Q00987
P31689	Q8IXH7
P48023	Q13588
P35913	P62873
Q93045	Q96D09
P00966	P10398
P29353	Q9BVJ7
P05771	P63215
P20809	P58012
P08648	P78509
P13612	Q9NVD7
P22392	P52434
P19105	Q15746
P08700	P48357
P15884	Q13363
P31749	Q8NEB9
Q96BH1	Q9Y2X8
O75716	Q96RG2
P98095	Q9HD26
P27361	Q16827
Q02543	Q07912
P08243	P18847
693122	O95931
P24468	P41235
O75478	Q01658
O60496	P07949
P52272	Q9BWF3
P28482	P63096
Q13315	Q92922
P62745	Q96BY6
P12034	P29317
P33981	Q9NYJ8
Q6QNY1	Q9H7E9
P30450	Q14954
O75159	Q01344
P05129	Q06710
P56747	Q16625
P00533	P56945
Q13427	Q8TBK6
P61224	Q9P212
P23229	Q16787
O14662	P21675
Q01082	Q13813
P51617	Q16543
P18146	Q07812
P04198	P25205
Q14919	Q9Y3D8
O43464	Q16611
P84095	Q13177
P15529	P40763
P01876	P0CG04
P26641	Q92597
Q01860	Q9H9S0
O43318	P31689
P04626	P40189
P48357	Q13007
Q01668	Q969Q6
P09619	Q9GZV9
O43390	P35637
O43915	P08069
P51946	Q07869
P16871	P27986
Q8N3U4	Q9NTI5
P00533	P41240
O96017	Q14676
P00492	Q9Y4K3
407019	P37231
P18124	P46776
P42331	Q07890
O60603	P54652
P09601	Q14103
P49716	Q13370
Q8WUM0	Q8WYP5
P09429	P52701
P61978	Q99697
P22362	P32246
P19387	Q9GZS3
P52198	Q07889
P78317	Q9UHF7
Q13444	Q15645
O14802	P62875
P06241	P42166
O00471	Q969S3
P05787	Q16695
Q6WCQ1	Q9H0H5
P20701	Q14289
P26012	Q9Y4G6
O60383	P42773
P21283	P62330
P25054	P30304
P20809	Q14627
P56750	Q8N7P3
Q96JG8	Q9BZY9
A6NIT4	Q8IU57
P11177	Q15714
O60879	Q8NHR9
Q02505	Q07654
P51955	Q13042
O43524	Q15831
O60296	P18507
P00519	Q9UBS5
P28482	Q9NRA0
P63096	Q92847
P01579	Q14626
Q15078	Q9H2G2
P20333	P38646
P04899	Q8TDS4
O95831	Q15628
P51684	Q16627
Q5RL73	Q9H0Q3
P05771	Q15080
P12931	Q96B97
P06748	Q10570
O00329	P08754
Q7LG56	Q92878
P12004	P40937
O75528	Q9H0E3
P01563	P19235
P22612	Q99941
Q96KS0	Q9Y3A3
P09619	P52797
O75486	O94864
P00519	P16333
P35637	Q9UBW7
P10415	P45983
Q13216	Q9UBW8
O75970	Q9NSI5
P38405	Q8IXE1
P78337	Q93062
Q05397	Q14185
P26641	Q53FA7
P35626	Q8NGI0
P06899	Q12962
Q14674	Q8WVM7
O00459	P29597
P33991	Q6IE81
P25445	P45985
O14641	Q9ULW2
Q16584	Q9Y243
P46092	Q8NHW4
O00548	Q99466
Q92574	Q969U6
P62424	Q13573
Q6P1J9	Q8IX03
P78369	Q07157
P10071	Q86VH2
Q12972	Q15428
P16885	P35968
P68431	Q9NVP2
P60763	Q9Y2A7
O96014	Q13467
O60674	P15260
Q13635	Q99835
P55884	Q13347
O00231	O43242
P61981	Q8NDZ2
Q08209	Q96LZ3
P27694	Q96FI4
Q96KM6	Q9BUZ4
O75626	Q8WWV3
P20936	Q8IZ69
P16220	Q6SA08
O43143	Q13595
P04637	P07900
Q13501	Q16543
O95379	Q9NPJ6
P23458	P38484
P25788	Q9BQ83
Q13618	Q15843
P09471	Q92997
P57678	Q9HAW0
P21802	Q9H4P4
P04049	P62258
O95813	Q9UJU2
O14786	O95025
O75369	P49768
O95400	P31943
Q06124	Q15149
P00519	P50607
P02458	Q14050
P04626	Q13387
P01106	Q96BZ4
P19174	Q13087
P15927	P68104
P78527	Q99459
P62820	Q9HA65
O00198	Q07817
P15880	P38936
P11473	P11712
P18074	P51946
O75925	P84022
O60496	Q9UBS4
O96014	Q9Y5W5
O15553	Q9NX02
O43237	Q13573
P54840	Q16821
P0CG47	P49281
P42574	P56945
Q13315	Q8N2W9
P14416	P63096
P31785	P60568
P07333	Q9NP95
406909	Q9BYH8
P04899	P59768
Q02543	Q07020
P10606	Q8IXH7
O60503	Q9UK08
O95343	P26367
P16871	Q14289
O43524	P55273
P61077	Q9BZY9
Q96DI7	Q9BUQ8
Q9H8W4	Q9NS73
Q92901	Q9UNX3
Q13813	Q9Y237
O15117	P00519
O60437	O76027
Q9P2J5	Q9Y6K9
P04745	Q96BK5
P16104	Q13619
P12956	Q96AP0
O94973	Q15311
P10275	P12235
O75530	Q8IZ13
P25100	P50148
P0CG48	Q9UJY5
Q14008	Q99459
Q13263	Q13522
P25101	P43250
Q13352	Q96P50
Q13568	Q92793
Q7RTS7	Q9UM73
P62979	Q86VN1
O43306	P17612
P46108	Q13797
P36897	Q9Y3F4
P27708	Q9NYJ8
P17252	Q02156
P02771	Q15911
P68371	Q13748
P12931	Q05193
Q13573	Q9UHD8
P54284	Q13554
Q14524	Q9UQM7
P01106	Q16549
P08631	P35326
P51813	Q03135
P16885	Q86XP0
O94875	P55055
P18124	Q15843
P14866	Q15366
O75251	O96000
P05107	P05362
O95257	Q504T8
P10721	Q96J02
P17861	P51817
Q01118	Q13554
P23396	P32969
Q6SZW1	Q9Y4L1
O15265	Q92830
P04080	P13569
P28335	Q13698
P53567	Q9NR55
Q9UIA9	Q9UMR2
Q15291	Q5QNW6
Q9UNA1	Q9Y6X6
P49841	Q9BTE0
O00505	Q96HA1
P35080	Q99719
P04637	Q9UM63
O15260	Q9HAW0
Q14247	Q9BPX5
P09038	P29317
P51991	Q12986
P28066	Q14696
P01568	P08887
P01106	Q6P2Q9
P01889	P11940
P16671	P49747
P26641	P29074
P07202	Q9UHF4
P0CJ77	P25090
P01106	Q9NQB0
P54252	Q9BSU1
O14640	P48730
O14641	Q2TBC4
P01215	P21246
P22694	Q05397
O14964	Q8N5R6
P51817	P54646
Q86SE5	Q9NVV9
P07942	P18564
P48436	Q13285
O43707	P68133
P12814	P26010
A8K6C2	Q6UXL0
P28370	Q09028
P49918	Q09472
O95433	Q9UBS5
P61254	P62899
P30414	Q15287
O15151	P27348
P13639	Q13131
Q6UX06	Q9P0J0
P60953	Q13177
P41220	Q9P244
O95863	P37173
P10636	P51817
O60840	P63211
Q9BY27	Q9NWS9
P10827	P29590
P49746	Q08722
P17096	Q9Y5N6
O95832	P57739
Q12860	Q92823
P08172	Q8WYR1
P16220	Q53ET0
O75190	P05783
P50991	Q99836
P36776	Q99759
Q01094	Q9Y2T1
P06241	P06734
P98177	Q92793
Q06455	Q9Y2D9
P22612	Q9Y272
Q08828	Q9P2W3
O60739	P22234
Q8TDR0	Q9UNH7
P42261	Q13554
Q04864	Q13451
Q9H013	Q9H501
Q05516	Q16828
Q99459	Q9H0S4
P42336	P48736
P01106	P15291
Q14192	Q9Y4K3
O60262	P43657
O15162	Q9HB63
P04155	Q9NRR5
O60711	Q16659
O00329	Q92569
P50914	P83731
P29317	Q92915
P25963	Q9BQI3
P02458	P08514
P85298	Q92730
P43146	P63173
Q96JB2	Q9H9E3
P41743	P62834
P40306	Q02556
O43187	Q6SZW1
Q01844	Q13601
O43889	Q13554
O95251	P49910
P32121	Q9H344
Q99879	Q9BY41
P10276	Q96IF1
O75928	Q9UHY7
Q00169	Q3SXM5
P02794	Q9BY11
P45984	Q9UK08
P48039	P63096
O43237	Q9BUF5
P61978	Q05519
P56282	Q92993
P09327	P62714
P45983	Q9UBI6
