#node1	node2
P60866	Q9Y6K9
O43513	Q9BZE3
P08138	Q99819
Q16610	Q9P2R6
P84022	Q05066
P55040	Q9NR12
P52272	Q05519
O14920	Q8IUC6
P62736	Q8WZ42
P38919	P63104
P20248	Q08999
O14529	Q13547
P63104	Q9BQA1
Q96LR5	Q99496
P15498	P19174
Q03468	Q16665
Q13616	Q86VP6
P14923	Q13490
Q13177	Q14247
O60493	P30480
Q13114	Q14164
Q14683	Q8N3U4
O75581	Q13145
Q15714	Q9Y678
P17844	P60709
Q14194	Q96SN8
406954	P46527
O75376	P25942
P62140	Q12879
P10276	Q15648
Q07955	Q86X95
O60684	P52758
P21796	P81605
Q0VDD7	Q9BT78
Q16548	Q9BXH1
P13797	Q99700
Q15714	Q9NYY8
26765	P55209
P14373	P43364
O00483	Q9P0J0
P30480	Q9NR30
P21266	Q9H1Y0
P18564	P35442
P49406	Q9HAU4
P30876	P49841
P14625	P16104
P19532	Q8WUM4
P11171	Q15907
O75478	Q01658
P13807	Q9UGJ0
P10275	Q05066
P56181	Q92561
Q6PEY2	Q9NRH3
P01730	Q13432
P52907	Q9Y4K3
P12956	P60568
O15273	P54253
O60282	O95295
P60520	Q14145
O14901	Q96ST3
P16104	P68133
P08709	Q9Y6K9
P04843	Q9NYS7
O95425	P62993
P49916	Q13315
P58876	Q9BY41
Q15428	Q96I25
P40938	Q14696
P08047	Q16665
P04264	Q86UA6
O00625	Q14938
Q13315	Q14207
P61421	Q96E22
O75489	O95139
Q03001	Q9NV70
P15248	Q14626
Q04917	Q96PU5
P17858	Q14164
P04156	Q9P013
Q14789	Q9HCU9
P22694	Q70SY1
O43674	P03923
P62140	Q01668
P02775	Q13794
P26441	Q01344
A6NHL2	Q96AH8
P63096	Q9Y272
Q14344	Q92888
P04049	Q9NQU5
P09038	Q14512
O43502	Q8IZS8
P84095	Q9H7D0
P17252	P40145
Q15797	Q9ULH7
Q15149	Q15714
O14512	Q99650
O00220	Q13501
Q6STE5	Q9P2D1
Q92831	Q9NS73
O75886	Q969R5
P17980	P62333
P00533	Q13153
P35916	Q9GZV9
Q5QNW6	Q6FI13
O14807	Q9UJF2
O95405	Q14192
P12956	P61758
P62714	Q5FBB7
P25054	P53350
P53667	P57058
P53779	Q12778
Q14005	Q9BZL4
5512	P62136
P21817	P62942
O00238	Q9NW38
O75030	P01100
P01889	Q15008
P10828	P62324
P01116	Q8WWW0
442890	Q9UL51
P14207	Q01850
P02768	Q9H974
P17480	Q9H9Y6
Q13535	Q5TCZ1
P08581	Q96J02
Q5TH69	Q96RG2
28938	P52292
O75400	P10586
P49019	P63096
O75093	Q9HCK4
O75376	Q13547
O43491	P63104
A6NM45	P56750
P07437	Q9NRI5
P00533	P35222
P31151	Q99759
P14598	Q9BUZ4
O43292	Q9NZ81
P38159	Q8IYB3
Q07812	Q16539
O95067	P30291
406905	P23560
P02765	Q14289
P20248	Q8WXE1
P54257	Q9BQD7
P56945	Q13813
P33992	Q00005
Q8N5R6	Q9BQY4
P52735	Q9Y6E0
P12931	Q4V348
P50151	Q5JWF2
Q13522	Q66LE6
P23458	Q8NEB9
P52655	P62380
P10145	P51677
P51991	P52597
P49841	Q15796
P10636	Q13526
P32121	Q8NG80
P30085	Q15714
O14939	Q9UET6
O43561	P62993
P04637	Q9BY41
P15884	Q01892
Q13315	Q14151
O43251	Q9NWB1
Q00987	Q15717
P16234	Q9NP95
O75815	P35637
P06748	Q07955
P27361	P63000
P15391	Q07889
Q9Y333	Q9Y4Y9
P0CG48	Q9Y572
P04844	P62330
Q9UM47	Q9Y6R0
P42338	P63000
P51452	P53778
Q08211	Q16629
Q9UBB4	Q9Y2Q3
O43374	Q07889
Q9HBH0	Q9NZN5
Q53GL0	Q9HCE7
P09874	Q02539
P62807	Q9C005
P00558	P27540
Q07157	Q13813
406950	O15111
Q13443	Q99962
P19338	Q6R327
P68431	Q15596
Q99640	Q9UK32
O43427	P56537
Q15013	Q5T3J3
P16144	P35609
Q99459	Q9Y265
P17706	P51692
P32121	Q6IEU7
Q9BRT8	Q9P003
P15172	Q09472
P25025	Q16663
P18146	Q71UI9
P01563	P78552
P06733	P0DI81
P38398	Q6STE5
O15131	P43155
Q9BV86	Q9Y2L1
O15467	P46094
P56134	P56556
P01570	Q13261
P19438	P55957
P62273	P62753
P01106	Q9BZL6
O14709	Q9NRI5
P02794	Q9H0E2
O43294	Q9NRR5
P51787	P51817
O60739	Q9Y262
Q15723	Q99459
Q9H1R3	Q9P286
O95257	Q9Y4G2
P15509	Q16619
P06241	P11137
P30457	Q9Y4L1
O15287	P51587
P16220	Q53TS8
P22612	Q9H0K1
P45984	Q99956
P29474	Q96NX5
P16104	Q14676
P07332	P10721
Q14515	Q9NRI5
P06899	Q96QV6
Q12972	Q8WYA6
P22003	Q13873
Q13151	Q13247
P26368	Q96PU8
Q13315	Q13769
P36507	Q9UHA4
O75716	P40337
Q13188	Q8IX03
O00141	P29966
P25490	P46531
P40763	Q13315
P49916	Q8IW19
Q14566	Q14683
P05129	Q96BA8
Q16537	Q9UPR3
P32927	Q92569
O75486	P68431
O43524	Q9HBY8
P05062	Q8IWZ6
O14818	P16035
O00418	P54619
P06756	P24821
P21333	P25054
O15116	P28062
Q8IWX8	Q8WUA2
O76039	P62993
O43707	P16144
P08887	P40763
P19174	P48736
P06753	P84022
O75529	Q16531
Q8NBV4	Q9P2R6
P32121	Q9NZP2
P10828	Q92769
P62829	P63173
P49750	Q8TDY2
P35557	Q92934
P31150	Q9UI14
P26010	P50552
P78545	Q9Y266
Q01844	Q15011
P62745	Q9H0H5
A6NCV1	P32121
Q15369	Q8TEY7
Q08945	Q92832
P35626	Q8N146
P14136	Q6ZU52
Q13535	Q9Y6Q9
P23528	P61586
O43353	Q494V2
A6NL08	P38405
P17542	P17947
O95059	P43246
P23786	P61421
Q5VSL9	Q9Y3A3
Q71U36	Q9BUF5
723778	Q9UNL4
P50148	Q9UNK4
Q05655	Q13393
Q9BST9	Q9HCE7
P15153	P19838
P01303	P08908
P28799	Q96AQ9
Q99683	Q99828
P35568	P84022
P08754	P51686
P46734	P53779
O76071	Q9H5X1
Q6VN20	Q9C0A0
P35580	P61981
P82663	Q14197
P13569	P16422
P16885	P22607
O95049	Q8N7P3
Q16566	Q68CJ9
P05386	P62899
P48556	Q16401
Q14197	Q9NRX2
P43405	Q13177
P29459	Q8IU57
Q05516	Q8NHQ1
Q13315	Q8N5P1
P48556	P55036
Q9GZT5	Q9Y5W5
Q71U36	Q99836
P12931	P42229
P08138	Q00994
P62750	Q9UNX3
P55327	P63104
Q15306	Q96QK1
Q13330	Q16576
P67870	Q5SQH8
P20073	Q8IV08
Q01668	Q12879
A5YKK6	P02768
P02787	Q8IY92
Q15323	Q9Y2H1
O75914	P15153
Q96EB6	Q9Y618
O14986	Q13464
P08047	Q05655
O00329	Q06187
P08579	Q8IWZ8
O95149	Q9BV68
O94829	Q9BUZ4
P14373	Q9UHD2
P30304	Q9NYV4
Q15428	Q15717
P62158	Q01064
P50281	Q13308
P41279	P46734
P35637	Q99459
P14866	Q8N1I0
P18146	Q03014
P62312	Q16637
P04637	Q14695
Q15746	Q8TD86
P26842	Q12933
O00574	P02778
P08708	P46783
Q13685	Q8IXH7
P24864	P28749
Q07869	Q86TX2
P35568	P35968
P17858	P27540
Q16655	Q96J02
Q8NEK8	Q9BQY4
Q16891	Q6ZVL6
P61978	Q86X55
O60477	Q9Y2Q3
P16870	P27694
O75581	Q14696
P01106	Q9BZQ8
P12814	Q9UPT5
P17252	Q70SY1
P55072	Q8NHG7
P62158	Q12933
P13236	P32302
P14373	Q9BUH8
Q96AW1	Q9Y483
P00742	P01008
P61088	Q96EQ8
P10828	Q13503
P35580	Q01449
O15379	Q15466
P40337	P56134
P15927	Q9BSB4
P62249	Q04206
O14964	O60784
Q09161	Q9UBU9
P36402	P46937
P31689	Q9Y333
O14512	P01589
Q13409	Q9BUF5
P19438	Q00403
P29992	Q86XP0
P61978	Q8WYA6
P25205	Q9UBU7
P37173	P61812
Q14562	Q9ULR0
P43243	Q9Y2Q3
O00716	Q96T88
P21731	P30679
O94907	P26367
Q9BVA1	Q9H7E9
5512	O15169
P08648	Q16363
P18146	Q5T5Y3
Q9BU76	Q9NVV9
P45983	P60763
Q14739	Q9ULX6
P37023	P84022
O15360	Q9NW38
O15455	Q8IUC6
P54257	Q9BPX7
P18887	Q9NUW8
Q14289	Q9UKW4
P01116	Q16204
P04150	Q13263
P01308	P35968
P60900	Q99436
Q32MK0	Q9NZT1
O43707	P63267
P11802	Q96T76
P10144	Q14790
P60673	P63261
Q96RT8	Q9NY65
P31751	Q53GL0
P26368	Q86U42
O76081	P46108
O75582	Q96B36
P24385	Q16254
P14618	P22694
Q92900	Q9Y5S9
O60739	Q15365
P62424	P62899
P08637	Q16539
O15479	Q9H0J4
Q99466	Q9Y6R0
P15336	P45983
O94921	P36897
O14654	P53779
O76100	P35626
P09651	Q01081
406991	O43609
Q12996	Q99459
O75170	P54253
Q13315	Q8TAQ5
Q13573	Q8IWX8
P67775	Q02750
O43597	Q13191
O43182	Q9H4E5
P35606	Q13418
P56537	Q13257
O14641	Q01974
O00222	P63096
Q08999	Q13574
P05230	P22607
P52294	P63104
P33552	Q13432
P04899	P28221
O14904	Q92765
O95750	P08069
P35326	Q14247
A0JLT2	Q71F56
P43490	Q01628
P35626	Q8NGN2
Q13315	Q9Y487
O75689	P39687
P01889	P24534
Q13368	Q99250
407055	P22607
P11233	Q12967
P23945	P36575
P38405	Q96R27
P54646	Q13085
P36873	Q12972
O60266	Q9P2W3
P13637	P17612
P51571	Q9UKV8
Q9UJM3	Q9UM73
P56134	P56182
P01106	P25788
O15550	Q8NEZ4
P16619	P51681
P03372	P49815
O75340	Q96A23
Q8WXA9	Q92841
P05387	P18621
P01106	Q9NZF1
P05231	P19838
Q01780	Q15477
Q13571	Q9HAU4
P63165	Q96QC0
P19784	P24941
P15153	Q13485
P05556	Q6UVK1
P0CG47	Q9BXL7
Q13444	Q9UI95
O43184	P35609
Q96C10	Q9UKV8
P07948	P21854
O00161	P51116
O60658	P19838
Q6IE81	Q92599
Q8TER5	Q99417
P09919	P49715
P11940	Q9BPZ3
P08069	Q13191
P15882	Q96L33
P49023	P51956
P12956	P46531
O60925	P10589
P08151	P48729
O43889	Q92793
O43149	P29074
O95989	Q9UGJ1
P52701	Q13573
P08559	P56537
P46779	P49207
P04406	P37840
P30050	Q9UL18
Q14061	Q9BW62
O43815	P62714
O75554	Q16630
P51148	Q15075
P01111	Q16204
P38405	Q8NGS0
O60238	P08047
P45984	P53539
P05412	P35354
Q13573	Q9Y6D9
P61586	Q9UNA1
P30291	Q9HCE7
O60563	Q4G0J3
Q14197	Q8N5N7
P62913	Q9UL18
P43146	Q8N5X7
O15357	Q8IV36
O75508	O95832
P01569	P19235
O00571	Q13077
Q13315	Q8NFD5
O60733	P05771
P56192	Q9HAW0
Q07021	Q14197
P08238	Q04206
P48995	Q13255
Q13751	Q16787
O75533	P49841
P21246	Q9UGL9
P68104	Q16594
Q13535	Q6ZW49
Q6FI81	Q9NPF4
O95467	O95622
P19793	Q13352
P35225	P48357
Q7Z4H7	Q9UGN5
O15198	O60476
P25054	Q15047
P30559	Q9UBN1
Q96EZ8	Q99624
P41220	Q08345
P33993	Q13416
Q14457	Q99570
P15170	P62495
P32121	Q8NGH7
574493	P15692
Q13422	Q9UKS7
P15822	Q16539
P15622	Q96ED9
Q07666	Q8N3X1
O95750	P09619
Q14814	Q16539
O75525	Q9Y580
Q9H1A4	Q9UJX6
P11940	Q9UPQ9
P62877	Q9H4M3
O76064	P62837
P22392	P54819
Q92765	Q9UBV4
P00519	Q9NQ76
Q16186	Q16401
P17301	P50552
P04406	Q14469
P24043	P26006
Q9BY42	Q9P2S5
P20339	Q9UKG1
P05106	Q13797
P27635	P40429
Q96A47	Q9UBR4
Q8N5Z5	Q9UGJ1
P24278	Q99750
P56704	Q9UP38
O15162	Q15038
P18146	Q86VK4
P15559	Q9UK53
P78369	Q96AP7
P28908	Q13114
P01100	P20823
P30154	Q14738
P01236	P15509
P17275	Q16539
Q92730	Q9P286
O60684	P49448
P05067	P11142
P63165	Q9Y6K9
P04628	Q6FHJ7
P00533	Q9UQM7
O14508	P15260
P29597	Q99650
P63104	Q6WCQ1
O96017	P30304
Q13017	Q9HBH0
Q99459	Q99871
O95180	Q12879
Q13522	Q9Y2T4
P04637	P53778
P13861	P68400
P23511	Q9H4I2
O14920	Q92851
P55001	P62805
P84103	Q15365
O14625	Q00653
O60343	Q9Y243
O14933	Q8N5U6
Q7Z699	Q9UBS4
P11021	Q99759
P15336	P45984
P22612	Q02750
O95644	Q15759
O14713	P98164
P33993	Q9Y2Q3
O43318	P12757
Q14765	Q9NSE2
P27361	P53355
P16520	P63211
P11473	P62195
P05067	Q96BI3
O60739	O75347
P62258	Q9Y2K2
O14908	Q03167
406886	P01112
P62745	Q96N67
P11279	Q92542
Q13155	Q8IZ69
P0CG47	Q07889
Q7Z434	Q92985
P05556	P24043
Q13573	Q15796
Q8TDH9	Q96EV8
Q9H7U1	Q9NV70
O96000	Q9Y6M9
P46108	Q8WYR1
P28482	Q15121
P22607	P52797
P43403	P61073
P36954	Q15560
P54136	Q00653
P02768	Q9UPM8
P51617	P63165
Q00005	Q08289
Q7L5N1	Q9GZN7
P15559	Q16236
O43353	P08670
P24864	Q13042
Q06546	Q14145
P01106	Q92947
P0C0S5	P0C1H6
P01116	P62158
P22694	P53779
P01106	Q8TED0
P43686	Q13573
P35626	Q8NH53
O43281	O95433
P33992	P53350
P63027	Q16623
P21266	Q9Y4K3
P54259	Q9HC77
P27708	P63104
Q5TCY1	Q92621
Q06609	Q9UI08
Q16637	Q96N67
O15145	Q96G74
P04179	P30480
P02768	P06493
O60832	P01106
Q08AD1	Q71UI9
Q99878	Q9UQL6
O95251	Q9H8G2
P08514	P35442
O14775	P63096
406906	P56856
O75909	Q9NP66
O60232	P51946
P08648	Q9Y490
P00533	Q99961
P68400	Q92997
P23258	P42858
O15197	P52799
O95467	Q9P2W3
Q15942	Q9H4A3
P04156	Q07812
O43913	Q9UJX2
P35462	P63211
P16278	Q9NSA3
Q13547	Q86X95
P08651	Q01130
O14649	P31946
Q00005	Q92736
Q9BVJ6	Q9H8T0
O15031	O60925
P07996	P10600
P62424	P83731
O14773	P21281
P27482	Q96LZ3
Q15147	Q9H461
P55157	Q96GP6
P36873	Q01449
Q92558	Q9Y2A7
Q15714	Q96P70
P00736	P06681
P54253	Q8NEA9
P16220	Q53ET0
P45983	Q9Y4H2
P10071	Q05516
P21741	Q9NRR5
P57103	Q13237
P62993	Q92614
P38432	Q8TBB1
Q13402	Q495M9
P06241	Q96NS5
O60674	P49238
P21246	P67775
P54619	Q86TI0
Q8IU57	Q9P0W0
Q9H2G2	Q9NYQ7
P61313	Q7L5N1
P08581	Q9Y264
Q9NP77	Q9P2I0
P14317	P60709
O60563	P49336
P19438	Q92636
P10070	Q9H9S0
P52434	Q8WVC0
Q8IXM3	Q8IY92
P01308	P51812
P41743	Q13163
Q14197	Q5JTZ9
P23919	P25054
O00716	O75530
P60709	Q13683
P11234	Q9NZL6
P26012	Q16363
P53708	Q9Y4G6
O00220	P19438
P08476	Q8NER5
P48556	Q15796
P16333	Q9UM47
P29474	P63096
P98187	Q9UJU6
P08922	P18031
O14980	O15392
P36897	Q9HAU4
O14775	P62879
P05231	Q08334
P09619	Q07889
P14625	Q16659
P07910	P35637
P19784	P25963
P50453	Q04724
P49841	Q15717
O14544	P36897
Q13555	Q14432
P32243	Q9Y261
Q96PN6	Q9UK08
Q9P2M7	Q9UKX3
O14530	Q99689
Q6QNY1	Q9H7E9
P37108	P40337
O95997	Q9UJX4
P11234	Q07889
Q99459	Q9H223
Q99558	Q9Y275
P12318	P12931
Q05513	Q9Y624
P38936	Q8WTW4
Q8N257	Q8WUI4
A6NHL2	Q8NCM8
O95433	Q9Y2H0
O15533	P10321
P62191	Q9UBN6
Q15714	Q99623
P11166	P54619
P29590	Q5VVX9
O00585	P32246
P62837	Q86YT6
P17181	P35225
O60683	P63279
P35626	P62873
P12883	P63104
Q06481	Q92870
P61758	Q99759
P38936	Q7Z5J4
P49368	Q9NWA0
P04637	Q99973
P62714	Q14738
P38159	Q92620
Q96A08	Q9BTM1
P78344	Q14240
P13640	P58062
P52198	Q7Z5H3
P15882	P36897
P01116	P05129
P24863	Q13535
P36897	P61812
406889	P52926
P04216	Q9NRY4
P20749	P49840
P27986	Q9Y6X6
P05549	P12830
P42680	Q99952
P52735	Q9H0H5
P31749	Q05513
P30480	Q9HAV7
O15063	P01106
P28562	Q15717
P16220	P35453
P17535	Q9HBE5
P42681	Q92569
O75150	Q13535
O00483	P51970
P05412	P40763
O15524	P42701
O75947	P56385
P49716	P63165
P08833	Q12778
Q8IWT1	Q9UQM7
P84022	Q8NG27
P01106	Q9Y6J0
P06241	P41240
P21980	Q13885
693122	Q96E39
P46020	Q16821
Q9Y3A3	Q9Y5L4
Q9NRR5	Q9Y3C5
O15496	P28482
O75475	P63165
Q4G148	Q86XK2
P33076	P42224
P28288	Q9UBJ2
O15520	P16234
P53567	Q16649
P05106	P56539
O43623	P48436
P07948	P42262
P41235	Q16594
P63010	Q9UKW4
Q12789	Q9Y5Q9
P58546	Q9UBN6
P55211	Q9Y239
O75800	Q96P09
P19387	Q8N201
P63279	Q06945
O95622	P16520
O95484	Q96B33
O43676	P03905
P48736	Q9NSB8
O43175	Q8TDR0
P50281	P59665
P42574	P55212
P18564	Q9Y6N6
P17066	Q04864
P01023	P62993
P10124	Q6UXH1
P32298	P51686
P38405	Q8NGS3
P52630	Q8N2W9
P01236	P10912
P07355	P20823
P11166	Q13131
Q14790	Q9Y4K3
O43684	Q13573
Q15287	Q16637
P0CG48	Q9Y253
P52435	Q6PD62
Q8IWZ8	Q9BUJ2
P23458	Q06187
P61981	Q7KZI7
Q92731	Q9NVC6
O14764	O95166
P54259	Q9BQY4
P30260	Q9NYG5
P60520	Q8WXU2
P07333	P52797
P31785	Q86WN2
P01112	Q9NS23
P19525	Q02447
P19387	Q5T3J3
Q13936	Q86W47
Q01469	Q9Y4K3
P11215	P42338
Q14683	Q15366
Q03431	Q5JWF2
O14775	Q9UBY5
P17302	Q03135
Q15459	Q9BXW4
P13631	P51948
P62081	P62847
Q15172	Q9UBN1
O75694	P12270
Q15303	Q99075
P04637	P31947
P16333	P60763
Q13315	Q9UFC0
P22612	Q07343
P35372	P50150
O14610	P51828
P23497	Q9UKL3
P29350	P51692
P40337	Q9ULC4
Q02750	Q13177
P56537	P63279
P84022	Q8WWM7
P11766	Q13424
P07384	P18031
P62837	Q969Q1
P01106	P06733
P19086	Q9UP65
P62879	Q14416
O43524	Q92731
Q16512	Q9ULK5
P18146	Q13126
P20823	P35222
P14678	Q6P2Q9
P15056	P27348
P14209	Q9UMX0
P62714	Q96Q15
P00533	Q2TAY7
Q8TDY2	Q9UJU6
Q13485	Q99966
P29083	P29084
P01569	Q9HC73
O95067	Q9UJX2
Q99848	Q9UL18
P43034	Q9GZM8
P12270	Q9Y4K3
P08575	P17931
Q14161	Q9Y4F1
P61224	Q04724
P16220	Q2KJY2
P62753	P62847
P03905	Q16795
Q9NX58	Q9UKE5
P16989	Q13573
Q15797	Q8NAM6
P47914	P61513
Q9H7E9	Q9NS23
O15355	Q9Y6K5
P22392	P33176
P31751	Q9UKG1
Q01844	Q15637
Q06546	Q16881
P62899	P63173
O15379	P78347
P14555	Q14194
P43246	Q9UIF7
P32456	Q9Y333
Q03188	Q9UER7
O76080	P0CG48
P01243	P08134
Q9NWA0	Q9UBN7
O60925	Q06323
P36897	P48059
Q99996	Q9NRI5
P05067	Q03135
O60674	P42224
P63211	Q9Y272
O00716	O94805
P59998	Q9Y6W5
O75396	Q13315
P08069	P52798
P49792	Q99607
P02786	P63104
Q9UHI6	Q9Y478
P49023	P60709
Q01831	Q9HAW4
P12830	Q9BPX5
Q8NI35	Q9NPB6
P05496	P24539
Q92993	Q9Y4A5
P18084	P56199
O00487	Q14164
O95400	P22626
O00626	Q01201
P27361	Q04206
P05787	P46940
P22362	P49682
P38398	Q13287
P30048	Q86UT6
O95467	Q13255
P20908	P53708
P13535	P60709
Q7L2H7	Q9UKE5
O14645	P42858
P63096	P63218
P52756	Q13243
P10914	P51532
P10912	Q13952
P35626	Q96R67
P56645	Q13516
P02776	P49682
O00231	Q13200
Q15459	Q15637
P35968	Q9HCE7
O96019	Q8NFD5
P78552	Q9UBD9
O43390	O75937
P08173	Q5JY77
O95169	P03905
P17040	P57086
P05412	Q04206
P01100	P40763
P27635	P61927
P04637	P55774
O00305	P63151
P01106	Q13126
P08173	P59768
P04179	Q9UKE5
P11487	P21802
O00716	Q15910
O95989	P56182
P16520	P63092
P01100	P19388
P05015	Q99650
P31314	P67775
Q13315	Q8WUA4
P07437	P17844
Q2TBC4	Q9ULK5
O43674	O95168
P25963	P49642
Q15672	Q7Z569
O94788	Q9Y2X8
P17948	Q01970
P24941	Q9UIV1
P07942	Q13683
Q13459	Q9Y3A3
O60641	P12980
P18846	Q7Z6J0
P18847	Q53ET0
Q7Z3B4	Q9BVL2
Q13127	Q9UKB1
O75116	Q99459
Q96FJ2	Q9P2Z0
O00291	P42858
P31946	P33176
O75665	Q5JY77
406922	Q9UL51
Q86U06	Q9P2H0
P16104	P62875
P21918	Q5JWF2
P22694	Q8TEY5
P20936	Q99704
P58004	Q06830
P27986	Q9Y6Q6
407006	Q9NX09
P10827	Q15648
P18146	P36402
P29350	Q01344
P25391	P26012
P01270	P46379
P08631	Q96T51
O95371	P32121
Q9BQ83	Q9Y3F4
P46379	Q14186
P51610	Q9ULM3
P07359	P48736
P35626	Q8NH00
P01112	P12931
O43663	P23025
P08648	Q13418
O96017	P18887
P08581	P31371
Q13261	Q8IZI9
Q5VVX9	Q96AX9
Q15262	Q9Y2Q3
O95715	P61073
407026	P27986
P25963	Q14790
P24928	Q9BTT4
Q13017	Q8IXI1
P50591	Q9UBN6
P14784	Q13261
P18847	Q6UUV9
P15311	Q01970
P51668	Q96BQ3
P01106	Q9C0E2
P61254	P61927
Q58FF6	Q9Y243
O43318	P62158
P51991	Q01094
O14654	P45983
P12931	Q13177
P22612	Q70SY1
Q96ES7	Q9NS73
P01106	P24928
P40855	Q15796
P00533	P01135
P46379	Q15388
P10720	P51677
Q12772	Q9Y6R1
Q969G3	Q9P2D1
P35749	P63104
Q13148	Q92956
P21741	P42224
O95671	P48775
P27986	Q96L33
P62316	Q04695
P15927	Q13156
P01571	Q14626
O75038	Q05513
P08758	P38484
P12643	Q9H2X0
P30153	Q16537
P50148	Q9H461
Q9P2Y5	Q9Y4P1
P24864	Q8NHZ8
P25440	Q92993
P06730	Q14103
P28288	P40855
O15335	P56199
P12956	Q9NTG7
P07333	P42566
P68104	Q92832
Q13263	Q13794
O75461	P38398
Q01469	Q8IY92
P46531	Q5VTD9
P60520	Q9UH92
P28482	Q12913
P05455	Q99558
O14512	Q13261
P07550	Q15835
P20264	P51636
O95433	Q13625
51639	Q96BK5
Q13137	Q9H9D4
P52757	P84095
P04054	P27361
P04626	Q9NRA1
P53803	P62487
P04156	P08865
P08922	P29350
O43921	Q15375
P27544	Q16659
A6NIT4	Q99062
O75928	P63244
P22415	P78527
P01563	Q13651
P11473	Q13393
Q13535	Q9UNS1
P53803	Q9H1D9
P61244	P68400
P01730	Q14005
P18124	P62424
Q13950	Q9HCE7
P10914	Q14919
P55040	Q02641
P54253	Q93062
Q96PU5	Q9H469
P01106	Q9H3U1
O95997	Q12834
P54619	Q8N5S9
P60763	Q53QZ3
P40855	Q92968
Q15459	Q9NRG4
Q04721	Q06413
P21860	Q92569
O95352	Q09472
P10827	P60709
P38398	P40763
P05154	P07288
P07900	Q9Y243
Q99459	Q9C0C2
P15260	Q8WXH5
P61981	Q9Y2J2
O60343	Q9ULA0
P01709	P01857
P05412	Q8WYK2
O95400	Q9Y2W2
Q05086	Q86YV5
O00329	P31751
O14939	P05771
P33240	Q10570
P51679	Q92600
P06702	Q13418
Q96MA1	Q9NZQ3
P10275	P49841
Q15109	Q99836
P61224	Q92565
P30050	Q02543
P06213	P21781
P46934	Q07912
O95837	Q15147
P33176	Q9BQS8
P52272	Q8IX12
P26012	P51636
Q16795	Q9Y375
P10275	Q16666
Q9H4E5	Q9P286
O60603	P07437
O15399	P51817
P51965	Q9H6Y7
P62891	Q02543
Q16594	Q8WVD3
Q9UM73	Q9UQ80
P40337	P58876
P18564	P21333
P26006	P29400
P62891	P83881
407007	P03372
O60674	P06241
Q02556	Q13098
406937	O00273
P06756	Q01970
P26232	P68133
P36897	P57059
P00519	Q15027
O14543	P06213
P24385	Q01094
O75376	P06454
P13631	Q9Y6Q9
O43464	Q15287
O43292	P05187
Q13387	Q9Y4W6
Q14469	Q9NW38
P35498	Q13547
P37231	P51946
P00519	Q96NS5
P35609	Q05586
P25788	Q13177
P42685	P60484
O75461	Q09028
P26010	Q63HR2
P35609	Q96EB1
O95405	Q8NBJ7
O43809	Q01201
P02549	Q8IZP0
P42766	P62888
P20226	P35998
P78417	Q9Y4K3
Q15645	Q9H0W9
P17948	Q9Y264
O75369	P53708
P01270	P27695
P29372	Q9HB71
O95433	Q9UN73
P56545	Q9P287
P04637	Q9Y265
Q15648	Q92830
O75150	Q9BU64
O43236	Q99719
P05388	P62888
P51817	Q12791
Q8TBE9	Q9H8Y8
P06493	P49841
Q8ND90	Q9NPB6
Q15916	Q9Y618
Q9BWF3	Q9Y580
Q14257	Q9H0R8
O14965	Q16821
O75915	P51681
P50406	P63092
Q9BQ50	Q9NX70
P51159	P51681
P02679	Q6PD62
P02671	P05783
P00519	P29323
P18621	Q9Y3U8
Q96PU8	Q99504
P00749	P98164
P30480	P52907
P06681	P0C0L5
Q10586	Q10587
P27635	P84098
Q08050	Q99626
Q92806	Q9P2W3
P42285	Q66LE6
P16471	Q9NPH9
P19235	P22301
P17301	P49747
P29460	Q14627
Q00978	Q8WXG1
P60953	Q8IZD9
Q96F44	Q96RN5
Q04637	Q96DI7
Q14152	Q14164
P38936	Q13547
P38405	Q8NH16
Q01105	Q15078
P16234	P49767
Q6VMQ6	Q9Y222
Q13315	Q9NVU0
P33991	Q8WYB5
Q13315	Q14C86
Q9P0M6	Q9UKV0
Q99623	Q9NZU0
Q9H2G2	Q9UBN7
P42768	Q16827
Q96A08	Q96RL1
P23508	Q8IYT4
Q9HCK5	Q9UKV8
Q9H0A0	Q9NX58
P09914	P60228
Q06732	Q9UKY1
Q08999	Q6MZP7
P02461	P23229
Q92806	Q9UK08
P00533	Q14974
P23142	Q13485
P04839	P10914
P46527	Q9Y478
O75347	P40337
P26447	P35070
Q15019	Q9H9E3
P15248	P31785
P08621	P78362
Q05397	Q17RW2
P05161	Q92793
P08865	P62280
P35372	P62879
P25942	P52333
Q16760	Q96ID5
Q96EK5	Q9BS34
P07947	Q13444
P42574	Q16539
P33778	Q16777
P62330	Q92945
O60825	Q16254
P05023	Q8WYR1
P51668	Q15714
P17096	Q13315
P32248	Q9UBD3
P14209	P62256
P38936	Q9H324
P03372	P28482
P00519	Q14008
P33316	Q6ZVK8
O75367	Q8WUI4
O60262	O95467
Q9UEF7	Q9UN42
O00198	Q92843
A6NMS3	P35626
O00148	Q99459
P06899	Q15291
P68400	Q01105
P18847	P22607
P0CG48	Q9H4L4
P63244	Q9NRC1
P06239	Q9UQQ2
P17612	Q9UBN1
Q96QV1	Q9Y4K3
406892	Q8N122
P02746	P0C0L5
P38159	P52597
Q15080	Q9Y5S8
P04141	Q04864
Q13123	Q96N46
Q13485	Q13643
P13686	P45984
P25445	P38484
P08581	P09603
O75376	P20393
Q99459	Q9BXW9
