#node1	node2
P56192	Q9Y4K3
O94921	P27348
O14807	Q9Y4G8
Q13797	Q16787
Q92934	Q9HD36
B1A4H9	P78552
O95256	P63000
P61587	Q07890
P0C1Z6	P62805
P05014	Q99650
P52735	P61224
P02545	P17252
P01137	P17813
P01138	P22455
Q13315	Q6P2Q9
P32969	Q99558
Q99743	Q9BUZ4
P45984	P52564
O43318	P54619
P35575	P41235
P35626	Q8NH94
P08708	P62249
Q15388	Q9NS69
Q96GE4	Q9UNS1
P54198	Q9Y294
P32121	P51684
O00746	P15531
P56945	Q9H0Q3
P63165	Q9NS39
P08138	Q9UKN5
P25101	Q03113
O75400	Q13315
O14879	Q14164
P25705	Q8N5M1
P98177	Q99873
O14641	Q7Z7J5
P02766	P98160
P08047	Q01094
P46019	P62140
O15524	P09619
O75821	O75822
P11171	P62942
Q99547	Q9NY61
P38936	Q13263
Q8TDR0	Q9NYB9
P02768	P19827
Q13363	Q9NQB0
P25786	Q14CS0
Q92997	Q9HC62
O14641	P05129
Q15047	Q96RU7
Q5JWF2	Q68DD2
P08648	P23229
Q14847	Q15645
P12004	Q8WZ19
P15153	Q53QZ3
O60266	P50151
Q12962	Q16514
A0JLT2	Q9NTJ3
P01589	Q86WN2
P39656	Q9Y2Q3
172	P03372
P84022	Q05516
O60739	P50395
P41134	P55036
Q86YM7	Q9BW04
O75197	Q9UBV4
Q9NVC6	Q9Y4A5
P52757	P60953
P06239	P60953
P01111	Q5VWQ8
P46937	Q15797
P98175	Q02575
P36508	Q15797
Q5JR59	Q9NPA5
P15927	Q13885
Q01844	Q9H094
P08107	P20333
O43320	P08069
P04439	P43626
P63165	Q8N1G0
O00254	P35030
O15524	Q92830
Q13490	Q9Y4K3
P41182	Q9NRY4
P60520	P69891
Q6FHJ7	Q9GZT5
P20674	Q96BK5
P0CG48	P54727
P41235	Q99967
P09471	Q92569
P62837	Q96BQ3
Q15750	Q15759
P11171	P12004
Q07864	Q9NRF9
Q99459	Q9NPF5
P17612	P27361
Q96L91	Q9Y230
Q08289	Q16537
Q8IYI8	Q9BQ66
P03891	P56556
P51116	Q9NQC3
O96013	P84095
P09651	P38919
P46952	Q99259
P04049	Q13233
P26678	P51817
Q15759	Q16644
P46783	Q9NX58
P28749	P84022
A6NIT4	Q01344
P22301	Q99650
O60238	Q6NUQ1
P00533	P06576
P19174	Q9H9L3
Q16531	Q9H0E3
P06239	Q6PIZ9
Q96QV1	Q9Y478
P17676	P18428
P27361	P63096
P49755	Q9NZ42
O14978	Q9NZD8
Q01668	Q13555
O00238	P36897
P11532	Q13884
P45983	P62258
P06213	Q9BX66
Q04637	Q15029
Q13573	Q9UBF2
P01563	P26992
P27635	P62891
P19174	P52735
P02768	P13646
P00533	Q12913
P19022	P29350
407043	P00533
P20337	P62158
B1A4H9	P48551
O60447	P53350
P38405	Q8NGB6
P01889	Q16630
P04628	P78504
O14654	P48736
P08172	P63215
O95433	Q8TEW0
Q8IZH2	Q92925
P45985	Q9Y2U5
P27708	Q15796
P04637	Q7Z6E9
O14640	O15105
P16220	Q9NPA2
P78552	Q8IU54
P30050	P62424
O00459	P36542
P01241	P26368
Q9UKG1	Q9Y243
P98171	Q9HBH0
O15144	Q9Y6W5
P07900	P50502
O94875	P32969
P35579	Q07889
P62979	Q07820
P23511	Q07955
O43147	Q12873
P0CG48	P41220
P06213	P08620
574411	P08183
P01241	P09960
P01569	P38484
Q13651	Q9GZX6
P11229	Q9UK08
O95294	P01112
Q9H492	Q9HAU5
P38646	Q9Y4K3
P63096	Q8NFM4
P60953	Q9BZ29
Q15436	Q5JRA6
O75582	Q99941
O43156	Q9Y4R8
P18074	Q13889
O60610	O75554
P00505	Q9H1Y0
Q15428	Q15459
O60241	Q9Y3M8
A0JLT2	Q93074
Q8TEE9	Q99750
P05408	P16519
Q04721	Q9Y6R0
P67870	Q9BVJ6
P52198	Q92608
P08631	Q9UI08
P07948	P40189
P10827	Q92831
Q13068	Q8NEA9
P54646	P98177
P00734	P02675
P62266	P62841
O95163	P42772
P08134	Q07890
P40763	Q8TAE8
P54253	Q6V0I7
P24394	P29353
P16333	Q9NZM4
O14543	Q14186
P35626	Q6IEZ7
P84095	Q9P227
O14544	P40763
O00459	O60262
Q9HAU5	Q9ULX3
P01889	P12532
Q13153	Q14161
Q01094	Q96GD4
Q9BVJ6	Q9C0J8
P04839	Q15080
P62244	P62857
P63104	Q8ND90
P26038	Q14242
P17301	P20908
P09619	Q9NQ66
Q14164	Q92769
P19338	P22087
O15013	P12980
P15924	Q02156
Q16539	Q9Y6Q9
O75494	Q07955
P40227	Q9Y2T4
O14640	Q2TBC4
O75578	P05106
406890	P52926
O00175	P32302
P35226	P60484
P61073	Q02447
O00755	Q92765
P12004	Q14191
Q07812	Q99814
O76021	Q9NV56
P12931	Q04759
Q09028	Q99459
P52597	Q09161
P17480	Q9H2F5
O14775	P42338
Q15834	Q6B8I1
P21246	P23467
P78386	Q6IBS0
Q86V81	Q9H1B4
Q6P2C8	Q9BWU1
Q15208	Q9BPZ7
O95741	P02766
O75955	Q9BX66
P36873	Q13522
P50150	Q8TCU6
Q9UIG0	Q9Y5J5
Q13976	Q8TEY5
P05112	P19235
P27635	P46777
O75400	O75478
Q13315	Q8IZL8
Q02833	Q8WWW0
O60885	O75400
Q4V326	Q96IK5
O94817	Q9BYX4
P39019	P62854
Q6UXN9	Q9NP77
P61964	Q96DI7
P17931	Q29983
P22455	Q99961
O43918	P00519
P51817	Q13224
P29508	P45983
P42566	Q9H201
P49841	Q8TEY5
P40763	Q16665
P33151	P35968
P19387	Q9H3P2
P22612	Q13522
P42224	Q07325
Q04323	Q04771
P23443	P23588
P19174	P62993
P04049	Q13237
P04637	Q8WYH8
P24723	P63261
P28482	P36894
P09234	P98175
P23588	Q92832
P17947	Q6SJ96
P82932	Q5UIP0
O14757	P68431
P14784	P29597
O75521	Q9H1D9
P0C0S8	Q9UKV0
P42701	Q8WXH5
P08670	P13805
O75023	P31994
O95837	P29371
P25942	Q13114
Q99728	Q9NPI1
P51955	Q96K30
P52564	P62834
O14627	Q9NQB0
P09769	Q92608
Q53EZ4	Q99816
P01589	P51692
P49366	Q6ZVK8
O75159	Q99650
O96017	P38398
P82921	Q8IY92
A6NMZ7	P13612
O15355	Q9Y4K3
Q96SB8	Q9UM73
P54646	Q9H9S4
Q96KQ7	Q9P2R6
O60684	P09467
Q9HC24	Q9Y262
P26641	Q9HCK5
O15105	O95625
Q92797	Q9Y2Q3
P0CG48	Q96S82
P19838	Q13547
O95182	O95298
P52735	Q5F1R6
P36406	Q96LR5
P40306	Q04206
A8MTJ3	P59534
P24863	Q13547
P04183	Q15652
Q13557	Q9P212
O15535	Q9NWS9
Q86TJ2	Q8NEM7
P12830	P68400
P22392	Q13283
P05000	Q8IU57
P63279	Q9NSC2
P29597	Q9HBE5
O60934	O96017
P03372	Q9UBL3
P07333	P15692
Q96L33	Q9Y3M8
P05783	Q07889
O43187	P49768
O00264	O60739
O14641	Q969G9
Q13315	Q5VTR2
Q96EZ8	Q9H9F9
P84243	Q96BD5
P23527	Q92769
O00254	P12544
P15173	P62324
O15305	O60684
O75410	Q13315
P12931	Q9Y3L3
Q13546	Q5VWQ8
O95433	P56945
Q99459	Q9UHD8
P22455	P52798
P13232	P14316
Q07955	Q9BUJ2
Q96D09	Q9NRI5
O75093	P35052
406947	Q9NYJ8
P51668	Q9UBF6
O43306	Q13557
P05013	P24394
O43597	Q6UY14
Q15291	Q86VZ2
P20073	Q5T3J3
P62312	Q9Y4Y9
O95619	Q9Y4A5
P38936	P61201
Q06546	Q14005
P62424	Q9UNX3
P55212	Q92934
O75346	P15121
P53539	P53778
P15153	Q7L576
P05452	Q9Y2W1
P45985	Q02779
P07948	P56945
P25100	P29992
P02775	Q09019
P01112	P81274
P25098	P49682
P18146	Q8N6M6
O00220	Q13158
Q99665	Q9ULV8
Q8TDR0	Q9NTJ3
O00159	O14908
P13164	P20023
P08151	P35222
O95180	Q05586
O75569	Q9P2H0
P19419	P20226
O15117	P50552
O00716	P01106
P35626	Q8NG83
P41240	Q8TEW0
P48058	Q9UQM7
P47712	P63261
P01008	P12544
P49716	Q8N335
Q15714	Q9NVI1
P01730	P01912
P06241	Q96RL7
P0CG47	Q13415
O95870	Q99942
Q14197	Q7L3T8
P04899	P30559
P05771	P50151
Q7Z5L9	Q9NYY8
P22607	P27986
O00571	P63104
P07196	Q96SN8
P01112	P27986
P51149	Q15904
Q14181	Q9Y6H6
P62753	Q92597
Q9H3D4	Q9UMD9
O14920	P30048
P61421	Q15475
Q9NZ52	Q9Y3C5
O00459	P31785
P16144	P54253
P16885	P48736
O60739	P16152
P14778	Q9NWZ3
P01562	Q14627
P38405	Q15620
O15047	P62807
Q13568	Q14790
Q8N163	Q9Y2Q3
P31751	P46527
O60925	Q93063
O60784	P0CG48
P61952	Q16539
Q99717	Q9NXD2
Q15759	Q9H257
P28482	Q8TEY5
P07910	Q9UKM9
P56706	Q96HF1
O00571	P60709
P33778	Q9UKV0
P20774	P46108
O14508	Q14626
A0JLT2	Q14498
Q96MA1	Q9GZT8
Q04724	Q07817
P36873	Q70SY1
Q9BW27	Q9UKX7
P62241	Q99558
P41220	Q9P244
Q93098	Q9Y5W5
P46977	P61803
P05783	P15924
P62314	Q9UHI6
P13501	P17676
Q07020	Q99558
P06756	Q16363
Q05516	Q15102
Q15393	Q9UGY1
O95863	P04637
Q86UW9	Q9BQY4
P49247	Q9GZT8
P48357	Q8IZI9
P01135	Q13424
Q8NAV1	Q96SB4
P06241	P16333
A5YKK6	Q9NZN8
P05114	P16403
P31749	P41279
P45984	Q12933
Q13233	Q9Y2X8
O14641	Q14134
Q15428	Q9BQ61
P61981	Q14525
P17302	P48730
P01566	Q99062
Q07955	Q15365
P42262	Q9UQM7
P62945	Q07020
P32121	Q8NGI9
P51693	Q13765
P19438	Q05655
P45983	Q96T37
P01857	P08779
P00492	P23508
P42772	Q9P2H0
O95157	P62993
P57678	Q9UBC1
P61604	Q9UBN6
P06401	Q9BT22
P61978	Q86V81
P51692	Q15303
O14880	P00742
Q00325	Q9HCK5
Q08881	Q9UKW4
Q8N1N4	Q9Y5S2
Q8IZJ0	Q9HC73
O15056	P31947
P31943	Q15427
O15511	P59998
O95140	Q7Z434
P05388	P62987
P11021	Q01201
P41235	Q92786
O15160	P53803
P14780	P19875
P20042	P55884
O00506	P63104
P0C5Y9	P23527
P20073	Q09013
P01242	P40189
O00755	Q9H1J7
P62979	Q12933
P13501	P62993
O00444	Q5JR59
P52948	Q7RTX8
Q9NWS9	Q9NX65
P15336	Q8WYK2
P67870	Q16236
P01889	P62158
P08913	Q13424
P35626	Q8NGE0
Q8TDM6	Q9BSF8
Q05519	Q92620
P00533	P49023
P08708	P62979
P19012	Q9GZT8
407010	P30042
Q96PY6	Q9NPD3
P09466	P51965
P08603	Q03591
Q15653	Q9Y6K9
Q9HCK5	Q9UJS0
Q13761	Q9NQB0
P16870	Q5T3J3
P62760	Q86UW9
P07288	Q16777
P01133	Q9UJM3
P60981	P63261
Q12772	Q9UHC9
P55036	P60900
P49915	Q14164
O95067	P38936
P17066	Q99459
O95400	P07237
P52630	P67775
P23443	Q05513
P01584	P51878
P01889	Q8WUM4
P63215	Q08828
O43929	Q14566
O43347	P33240
Q6UWE0	Q9UQ53
P22557	Q08AD1
P22607	P55075
P30450	Q8N743
P07900	Q16665
P85298	Q07890
O43521	P31749
P18146	Q9NS00
P12931	Q14194
P05107	Q92569
P27986	P46108
O75626	Q9HBM1
P62979	Q14596
P78552	Q9NYY1
Q9H171	Q9Y572
O15105	P35222
P01876	P02751
Q15038	Q16718
O14493	Q96B33
Q13362	Q13522
P25205	Q16659
Q14197	Q9BYD6
P38405	Q9NZP0
P16591	P21860
O75934	Q15428
O60573	P63104
P67870	Q9Y4Z0
Q8NFH3	Q96EE3
P33992	P55201
O75365	Q9NVH1
P04141	P24394
P09651	Q05519
P12931	P27986
P63000	Q8TCU6
P01889	P15170
O95613	Q9NRI5
P08887	Q8IZI9
O94762	P53350
Q00005	Q9NWZ3
O60258	P00533
O75915	Q9H0F7
Q9H9S0	Q9UJU5
P29597	P78552
O14641	P31749
P62424	P62917
P62993	Q92949
P08631	Q05397
P62158	Q96RR4
P61254	Q6R327
P04908	P06899
O43791	P31150
P49716	Q9Y6K1
P07237	Q96HE7
P04141	Q08334
Q01094	Q15021
P09619	Q15599
P22090	P62979
P41240	P49023
P01106	P08195
Q8TEU7	Q96QZ7
O14896	Q13568
A8MT69	Q9HB96
O60563	O60583
P23443	P30154
P46379	Q8IZH2
Q9H0E9	Q9NPF5
Q6UW78	Q9Y5J5
P30307	P62258
P22694	Q14957
O14543	P35568
P22455	Q8WYR1
P30307	P51817
Q15075	Q9Y265
P35221	P60709
Q07157	Q9Y2J2
P62993	Q15262
O94906	P10398
P62136	Q14957
P01024	P20702
P41235	Q12772
O14920	Q9BVA1
Q01081	Q05519
P21246	Q14974
Q8IWL1	Q9Y6Y9
P02775	Q9NWF9
P42858	Q13588
O00459	P01111
Q07890	Q13797
P04626	P09769
P31751	Q9UQK1
O00744	Q9H237
P62979	Q9HC16
O75676	Q02930
P13569	Q07157
P25787	Q14164
Q8NFM7	Q9Y4K3
O60503	Q9UQM7
O14933	Q9BZR9
P01571	P01589
Q96KM6	Q9H2K2
P0CG48	P62993
P62158	Q6ZSY5
406956	Q13315
P28074	Q99436
Q14683	Q9Y6J8
P49747	Q05397
Q9NQX7	Q9UBF6
O75343	P33402
P23467	P46459
O14512	Q01113
O95166	Q8N1C3
P06454	P12004
O60504	Q5T5P2
P31025	P50053
P01236	P17676
O00141	P49411
P53680	Q16695
A8MT69	Q8N2Z9
P28482	Q9P2W3
P0CG48	Q9Y6R4
P01588	Q99814
P62266	P62851
O00161	Q12846
Q8N474	Q9ULW2
Q14164	Q969Y2
Q07955	Q8IX12
P25100	P50148
Q02750	Q9H4A3
P01112	P53778
Q92558	Q9UQB8
P17612	P53778
O15055	Q9BPZ3
P48454	Q13936
Q04206	Q05639
Q16082	Q16644
P13569	Q14669
Q13616	Q9H469
P15498	Q06124
P60660	Q32MK0
P40692	Q13573
P27361	Q15262
O60383	Q96IZ7
O43143	P31946
P84095	P85298
P14543	P98095
P40189	Q8WXH5
P56705	Q9H237
P14210	P21802
Q49AN0	Q9UGI9
P63104	Q9UKM9
P21333	Q9BZW7
Q13330	Q15717
Q96AE7	Q9HCE7
P53350	Q9NYY3
P55157	Q9Y697
P78332	Q13315
P35268	P40429
Q8N3U4	Q9NTI5
O15198	Q03181
P24752	P30480
P11940	Q99700
O00159	Q99759
P29466	P54252
406952	P10145
P25054	P42677
P50053	Q96JB5
P46776	P62906
P19438	P35579
P63279	Q9BUZ4
P0CG47	P16104
P05107	P32942
P01116	Q15418
P01571	P19838
P04637	Q14151
A6NHL2	Q96RT7
P61224	Q9P2F8
Q13643	Q96RN5
P12004	Q16254
P08670	Q04206
P60520	Q9C0C9
P63000	Q5T5U3
O75376	P48443
Q8WVB3	Q9HCC8
O75578	P12814
P27037	Q04771
P10398	P24723
P10721	Q9GZP0
P35609	P38432
P30153	P53778
P02458	P21781
P06493	P98082
P10275	Q9Y4C1
P53350	Q71F23
406988	P37275
O00159	O76071
P17301	P18564
P08246	P17676
Q6ZU52	Q8IYF3
O60934	Q13472
P61254	Q07020
P10415	Q12982
Q8N2W9	Q9UKY1
Q01082	Q9UKE5
P42336	P63218
P32881	P42701
O75116	P61587
P09884	Q14683
P51452	Q15759
P09936	P46527
P16520	P21554
P04150	P51692
P30154	Q15172
O43313	O96017
P04637	Q9NYY3
Q05516	Q13794
P20333	Q14644
P17301	P48736
P37198	Q9H8Y8
P61981	Q9UI47
Q13573	Q14008
145781	Q9P298
O75529	O94864
P46937	Q15334
P01106	Q15102
P51817	Q06710
P41159	Q9HC73
P51513	Q8TAQ2
O95343	Q08117
P61586	P62834
A6NI73	P31994
Q6MZQ0	Q6R327
O75385	Q01094
P17612	Q8TCW9
P01857	P07288
Q05513	Q9GZQ8
Q5VVX9	Q6AZZ1
P08134	Q7Z5H3
P55916	P63104
O43491	P31946
P61586	Q13393
Q96GE4	Q9BRX5
O00422	O00571
O95837	P25100
P14635	Q99640
P06241	P06865
P62987	Q9HC16
P10275	Q13547
O75478	Q92830
P62244	P62263
P05412	Q92793
P11362	P46934
O60603	P62979
O14807	Q8WWW0
O14964	P51149
Q16795	Q9NX14
P38405	Q8NGP3
O43674	O75438
P18031	Q9H1D0
P00533	P23458
O15264	P15408
Q86YC2	Q99708
Q7L5N1	Q9NY59
O14905	O75581
P06241	P31273
P57088	Q14164
P16520	P28482
P35626	Q8NGF1
Q12840	Q13526
P28698	Q13952
