#tail	head	KSP index
Q99704	P00519	169
P27986	P01112	170
P01112	P01100	170
P27986	P01111	171
P01111	P01100	171
P27986	O15530	172
P27986	P40763	173
P40763	Q07666	173
P27986	P63104	174
P63104	P00519	174
P27986	P61981	175
P61981	P00519	175
P27986	P38398	176
P27986	P50570	177
P50570	P00519	177
P27986	Q9UBS5	178
P27986	P16871	179
P16871	Q04206	179
P27986	P49841	180
P49841	P35222	180
P27986	P21333	181
P21333	P00519	181
P27986	Q14315	182
P27986	Q9ULH1	183
P27986	P61978	184
P61978	Q07666	184
P27986	Q14790	185
P27986	P19793	186
P19793	P42229	186
P27986	P37173	187
P37173	P35222	187
P27986	P46531	188
P46531	Q86Y01	188
P27986	O00459	189
P27986	Q06124	190
Q06124	P42229	190
P27986	Q9Y243	191
Q9Y243	P16220	191
P27986	P16471	192
P16471	Q92793	192
P27986	P15509	193
P15509	O14920	193
P27986	Q13087	194
P27986	Q9Y4K3	195
Q9Y4K3	Q04206	195
P27986	P0CG47	196
P0CG47	P25963	196
P27986	P29350	197
P29350	Q07666	197
P27986	P03372	198
P03372	P42229	198
P27986	Q92918	199
P27986	Q05193	200
P27986	P31749	201
P31749	P35222	201
P27986	O15056	202
P27986	P42336	203
P27986	P14778	204
P14778	Q04206	204
P27986	Q05513	205
Q05513	Q04206	205
P27986	P31751	206
P31751	P35222	206
P27986	O15360	207
P27986	Q9H5I1	208
P27986	P30260	209
P27986	Q14008	210
P27986	Q8WX92	211
P27986	P49916	212
P49916	P00519	212
P27986	Q9Y2H0	213
P27986	Q8IZD9	214
P27986	O43281	215
P27986	O14490	216
P27986	Q9NRJ4	217
Q9NRJ4	P00519	217
P27986	Q9H1R2	218
P27986	Q9BYB0	219
P27986	Q92988	220
P27986	O43918	221
P27986	Q9P1A6	222
P27986	Q13023	223
P27986	Q15036	224
P27986	P15498	225
P27986	P30086	226
P30086	O14920	226
P27986	O15085	227
P27986	Q9Y6Q6	228
Q9Y6Q6	Q04206	228
P27986	P20810	229
P27986	O95886	230
P27986	O43493	231
P27986	P29074	232
P27986	Q13905	233
P27986	Q9Y5X2	234
P27986	Q9BWW9	235
P27986	O60721	236
P27986	Q9ULD4	237
P27986	Q96RL7	238
P00519	P35222	239
P00519	P42229	240
P00519	P51692	241
P00519	P05412	242
P19174	Q9NQ76	243
P19174	P62993	244
P19174	P12931	245
P12931	P00519	245
P19174	Q07890	246
P19174	P43403	247
P19174	P10721	248
P19174	Q99704	249
P19174	P22681	250
P19174	P21333	251
P19174	Q14315	252
P19174	Q9ULH1	253
P19174	P52333	254
P52333	Q07666	254
P19174	Q13588	255
Q13588	Q07666	255
P19174	P17252	256
P17252	P35222	256
P19174	P05771	257
P05771	O14920	257
P19174	O60674	258
P19174	Q13087	259
P19174	Q92918	260
P19174	P62158	261
P62158	Q04206	261
P19174	Q05193	262
P19174	P31749	263
P19174	O15360	264
P19174	Q9H5I1	265
P19174	Q96LZ3	266
Q96LZ3	Q13469	266
P19174	P16298	267
P16298	Q13469	267
P19174	P63098	268
P63098	Q13469	268
P19174	Q08209	269
Q08209	P00519	269
P19174	P48454	270
P48454	Q13469	270
P19174	Q14008	271
P19174	Q8WX92	272
P19174	P49916	273
P19174	O43281	274
P19174	O14490	275
P19174	Q9H1R2	276
P19174	Q9BYB0	277
P19174	Q92988	278
P19174	O43918	279
P19174	Q15036	280
P19174	P15498	281
P19174	O15085	282
P19174	O00254	283
P19174	P20810	284
P19174	O95886	285
P19174	Q8TB24	286
P19174	O43493	287
