#tail	head	KSP index
P62158	Q9Y6K9	201
P62158	Q00653	202
P62158	Q04206	203
P62158	O14920	204
P62158	P19838	205
P62158	Q04864	206
P12236	P19838	207
P34931	Q9Y6K9	208
P34931	Q00653	209
P34931	O14920	210
P34931	P25963	211
P34931	P19838	212
P34931	Q15653	213
P34931	Q04864	214
Q9Y6Q6	Q13114	215
Q13114	Q9Y6K9	215
P35579	P19838	216
Q12933	Q9Y6K9	217
Q12933	O14920	218
Q12933	P25963	219
Q12933	Q92905	220
Q12933	P21580	221
Q9Y297	P25963	222
Q9Y297	P19838	223
Q9Y297	Q15653	224
Q9UKB1	P19838	225
Q9UKB1	Q15653	226
Q15628	O14920	227
Q15628	P42224	228
Q15628	P25963	229
Q9UHD2	Q04206	230
Q9UHD2	O14920	231
Q9UHD2	P25963	232
Q9UHD2	Q04864	233
Q00839	Q9Y6K9	234
Q00839	Q00653	235
Q00839	O14920	236
Q00839	Q15653	237
Q13077	Q00653	238
Q13077	O14920	239
Q13077	P21580	240
Q9Y6Q6	O00463	241
O00463	Q9Y6K9	241
Q9Y6Q6	Q9NYJ8	242
Q9NYJ8	Q13547	242
Q9NYJ8	Q9Y6K9	243
Q9NYJ8	Q92769	244
Q9NYJ8	O14920	245
Q9NYJ8	P25963	246
Q9NYJ8	P19838	247
Q9NYJ8	Q15653	248
P23396	Q00653	249
P23396	Q04206	250
P23396	O14920	251
Q9Y6Q6	P12314	252
P12314	P42224	252
P78527	Q9Y6K9	253
P78527	Q00653	254
P78527	Q09472	255
P78527	P19838	256
Q9Y6Q6	Q06187	257
Q06187	P78347	257
Q9Y6Q6	Q12933	258
Q9Y6Q6	Q13077	259
P28908	Q13114	260
P28908	Q12933	261
P28908	Q13077	262
Q16531	O75530	263
Q9Y4K3	P33993	264
Q9Y4K3	P52434	265
P20333	Q9UER7	266
Q9UER7	Q92769	266
Q06187	Q9Y6K9	267
Q06187	O14920	268
P20333	P43405	269
P43405	P42224	269
Q9Y6Q6	Q14192	270
Q14192	P33993	270
P12931	P10275	271
P10275	P06400	271
P10275	Q13547	272
P10275	Q92793	273
P10275	Q9Y6X2	274
P10275	Q969G3	275
P10275	Q92922	276
P10275	Q04864	277
P10275	P49116	278
Q9Y6Q6	P22681	279
P22681	P16333	279
P16333	Q9H9Y6	279
P27986	P62993	280
P62993	Q9H9Y6	280
P27986	P00519	281
P00519	P06400	281
P27986	Q07666	282
Q07666	Q92793	282
P27986	P00533	283
P00533	P42224	283
P27986	O15530	284
O15530	O14920	284
P27986	P40763	285
P40763	Q13547	285
P27986	P36897	286
P36897	P29590	286
P27986	P63104	287
P63104	Q9Y6K9	287
P27986	P38398	288
P38398	Q09472	288
P27986	P26373	289
P26373	Q00653	289
P27986	P16871	290
P16871	Q04206	290
P27986	P49841	291
P49841	P19838	291
P27986	P21333	292
P27986	Q14790	293
Q14790	Q9Y6K9	293
P27986	P46531	294
P46531	Q09472	294
P27986	Q9Y243	295
Q9Y243	Q9Y6K9	295
P27986	P42229	296
P42229	Q92793	296
P27986	P16471	297
P16471	Q92793	297
P27986	P15509	298
P15509	O14920	298
P27986	Q9Y4K3	299
P27986	P0CG47	300
P0CG47	Q9Y6K9	300
P27986	P03372	301
P03372	Q13547	301
P27986	Q92918	302
Q92918	O14920	302
P27986	P31749	303
P31749	Q9Y6K9	303
P27986	P14778	304
P14778	Q04206	304
P27986	Q05513	305
Q05513	Q04206	305
P27986	P31751	306
P31751	Q9Y6K9	306
P27986	O15360	307
O15360	O14920	307
P27986	P30086	308
P30086	O14920	308
P27986	Q06187	309
P27986	Q6ZUJ8	310
Q6ZUJ8	Q04864	310
P27986	Q9Y6Q6	311
P62993	Q92922	312
P62993	Q8TAQ2	313
P00519	Q09472	314
P12931	P27986	315
P12931	P62993	316
P12931	P00519	317
P12931	Q07666	318
P12931	P00533	319
P12931	P10721	320
P10721	P42224	320
P12931	P40763	321
P12931	P46527	322
P46527	P33993	322
P12931	P35222	323
P35222	Q13547	323
P12931	P26373	324
P12931	O15111	325
O15111	Q01201	325
P12931	P42229	326
P12931	P16471	327
P12931	P40189	328
P40189	P42224	328
P12931	P28340	329
P28340	P06400	329
P12931	Q9Y4K3	330
P12931	P0CG48	331
P12931	P07900	332
P07900	Q9Y6K9	332
P12931	Q92918	333
P12931	Q13114	334
P12931	P42226	335
P42226	Q04206	335
P12931	P18031	336
P18031	P25963	336
P12931	P08047	337
P08047	Q13547	337
P12931	P31749	338
P12931	Q13077	339
P12931	O15360	340
P12931	Q9Y6Q6	341
P12931	P15941	342
P15941	Q9Y6K9	342
P43405	P06241	343
P06241	P20749	343
Q9Y6Q6	P07948	344
P07948	P27986	344
P07948	Q07666	345
P07948	P00533	346
P07948	P10721	347
P07948	P27361	348
P27361	P19793	348
P07948	P46527	349
P07948	Q99759	350
Q99759	Q9Y6K9	350
P07948	P14784	351
P14784	P42224	351
P07948	P40189	352
P07948	P11802	353
P11802	P06400	353
P07948	P12314	354
P07948	Q06187	355
P07948	Q9Y6Q6	356
Q04206	O15524	357
O15524	Q04206	357
O15524	P42224	358
Q96EY1	P19438	359
Q96EY1	Q13233	360
Q13233	Q04206	360
Q96EY1	Q99759	361
Q96EY1	O15111	362
Q96EY1	O60674	363
O60674	P42224	363
Q96EY1	P20333	364
P19438	P63244	365
P63244	O75530	365
P63244	Q9Y6K9	366
P63244	P42224	367
P43405	P04626	368
P04626	P42224	368
P04406	Q01105	369
Q01105	Q9Y6K9	369
Q04206	P04637	370
P04637	Q92793	370
P04637	Q09472	371
P04637	O14920	372
P04637	P42224	373
Q9H9Y6	Q15653	374
P19438	P62805	375
P62805	Q13547	375
P62805	P33992	376
P19838	Q9Y230	377
Q9Y230	Q13547	377
Q9Y230	P19838	378
P19438	Q9Y265	379
Q9Y265	Q01201	379
Q9Y265	P19838	380
P27361	Q04206	381
P27361	P42224	382
P27361	P19838	383
P40763	Q04206	384
P40763	P42224	385
P40763	P78347	386
P46527	Q92905	387
Q12933	P54253	388
P54253	Q13049	388
Q04206	Q15306	389
Q15306	P19838	389
Q15306	Q04864	390
O43318	Q16543	391
Q16543	Q9Y6K9	391
Q16543	O14920	392
Q13547	P06400	393
Q13547	O75530	394
Q13547	Q92769	395
Q13547	Q04206	396
Q13547	P42224	397
Q13547	P25963	398
Q13547	P19838	399
P35222	Q92793	400
P35222	Q09472	401
P35222	O14920	402
P35222	P19838	403
Q9Y4K3	Q01196	404
Q01196	Q92793	404
Q01196	Q09472	405
Q04206	P18146	406
P18146	Q09472	406
Q04206	P24385	407
P24385	P06400	407
P24385	Q13547	408
P19438	P62993	409
P19438	Q96EY1	410
P19438	P35580	411
P19438	P62829	412
P19438	P62987	413
P62987	P25963	413
P19438	Q07021	414
P19438	P04350	415
P19438	P07437	416
P19438	Q92616	417
P19438	Q15750	418
P19438	Q13233	419
P19438	P27824	420
P27824	Q9Y6K9	420
P19438	Q14790	421
P19438	P23458	422
P23458	P42224	422
P19438	O15111	423
P19438	O60674	424
P19438	P63261	425
P19438	P40939	426
P40939	Q00653	426
P19438	Q00610	427
P19438	P58107	428
P19438	Q9Y4K3	429
P19438	Q13748	430
P19438	P63165	431
P63165	Q9Y6K9	431
P19438	P62979	432
P62979	P25963	432
P19438	P0CG48	433
P19438	P05141	434
P19438	Q13546	435
Q13546	Q9Y6K9	435
P19438	P07900	436
P19438	P27708	437
P19438	Q9BUF5	438
Q9BUF5	Q00653	438
P19438	P38646	439
P19438	P17066	440
P19438	O95816	441
P19438	P31689	442
P19438	P11142	443
P19438	P20333	444
P19438	P42677	445
P19438	P62249	446
P19438	P11021	447
P19438	Q3ZCQ8	448
P19438	Q9BVA1	449
P19438	P62158	450
P19438	P12236	451
P19438	P34931	452
P19438	Q9NY59	453
Q9NY59	O75530	453
P19438	P35579	454
P19438	Q12933	455
P19438	Q9Y297	456
P19438	Q9UKB1	457
P19438	Q15628	458
P19438	Q9UHD2	459
P19438	P01375	460
P01375	O14920	460
P19438	P23396	461
P19438	P33778	462
P33778	Q00653	462
P19438	P78527	463
P19438	Q13490	464
P19438	P60660	465
P60660	Q9Y6K9	465
P19438	P19105	466
P19105	Q9Y6K9	466
P19438	P17858	467
P17858	Q01201	467
P19438	Q13158	468
Q13158	P42224	468
P19438	Q05655	469
Q05655	P42224	469
P19438	P54136	470
P54136	Q9Y6K9	470
P19438	P55209	471
P55209	Q92793	471
P19438	Q9UM54	472
P38398	P42224	473
P43405	P27986	474
P43405	P00533	475
P43405	P27361	476
P43405	P19438	477
P43405	P14784	478
P43405	Q9Y4K3	479
P43405	P0CG47	480
P43405	P20333	481
P43405	P31749	482
P43405	P12314	483
P43405	Q06187	484
P43405	Q6ZUJ8	485
P43405	Q8WV28	486
Q8WV28	Q04864	486
Q14974	P52292	487
P52292	Q01201	487
P52292	Q15653	488
P78527	Q14566	489
Q14566	P33992	489
Q14566	P33993	490
P22681	P01106	491
P01106	P33993	491
P01106	Q9Y6K9	492
P01106	Q04206	493
P01106	Q92922	494
P04406	P06493	495
P06493	P06400	495
P06493	P19793	496
O75530	Q13547	497
O75530	Q92769	498
Q9Y6Q6	Q9UQC2	499
Q9UQC2	P27986	499
Q9UQC2	P62993	500
Q9UQC2	P12931	501
Q9UQC2	P00533	502
Q9UQC2	P27361	503
Q9UQC2	P31946	504
P31946	O14920	504
Q9UQC2	P28482	505
P28482	Q04206	505
Q9UQC2	P31749	506
Q9UQC2	Q9Y6Q6	507
P19838	Q01094	508
Q01094	P06400	508
Q01094	Q13547	509
Q01094	Q04206	510
Q01094	P19838	511
P35580	P62993	512
P35580	P19438	513
P35580	Q13233	514
P35580	Q14164	515
Q14164	Q9Y6K9	515
P35580	Q99759	516
P35580	O15111	517
P35580	P20333	518
P35580	O43353	519
O43353	Q9Y6K9	519
Q9Y4K3	P55072	520
P55072	P25963	520
P55072	Q15653	521
Q04206	P22301	522
P22301	Q13547	522
P22301	Q04206	523
O43318	O95163	524
O95163	O14920	524
O95163	P25963	525
Q9UHD2	P62913	526
P62913	Q9Y6K9	526
P62913	Q00653	527
P62913	P29590	528
P20333	P63173	529
P63173	P20333	529
P62829	P62993	530
P62829	P19438	531
P62829	Q00005	532
Q00005	P42224	532
P62829	Q99558	533
Q99558	Q01201	533
P62829	Q99759	534
P62829	Q13546	535
