#tail	head	KSP index
P12931	O43281	141
P12931	P23760	142
P23760	P00519	142
P12931	O14490	143
P12931	P31273	144
P31273	P00519	144
P12931	Q9NRJ4	145
P12931	P43699	146
P43699	P00519	146
P12931	Q15027	147
Q15027	P00519	147
P12931	Q9UL51	148
Q9UL51	P00519	148
P12931	Q9NZV5	149
Q9NZV5	P00519	149
P12931	Q9H1R2	150
P12931	Q9BYB0	151
P12931	Q92988	152
P12931	O43918	153
P12931	Q9P1A6	154
P12931	O43900	155
O43900	P00519	155
P12931	Q13023	156
P12931	Q15036	157
P12931	P35326	158
P35326	P00519	158
P12931	O00254	159
O00254	P00519	159
P12931	Q9Y6Q6	160
P12931	P20810	161
P12931	P78345	162
P78345	P00519	162
P12931	O95886	163
P12931	Q8TB24	164
Q8TB24	P00519	164
P12931	O60493	165
O60493	P00519	165
P12931	Q13905	166
P12931	Q9BWW9	167
P12931	P78329	168
P78329	P00519	168
P12931	P15586	169
P15586	P00519	169
P12931	Q96NS5	170
Q96NS5	P00519	170
P12931	P15941	171
P15941	P00519	171
P12931	O95157	172
O95157	P00519	172
P22681	P46108	173
P46108	P00519	173
P22681	P06241	174
P06241	P00519	174
P22681	P08631	175
P08631	P00519	175
Q9Y6Q6	P07948	176
P07948	P27986	176
P07948	P19174	177
P07948	P00533	178
P07948	Q99704	179
P07948	P27361	180
P27361	P15336	180
P07948	P50570	181
P07948	Q13444	182
P07948	Q99759	183
Q99759	Q9Y6K9	183
P07948	Q9Y6Q6	184
P22681	Q15303	185
Q15303	P00519	185
Q9Y6Q6	Q9UQC2	186
Q9UQC2	P43403	186
P43403	P00519	186
Q04206	Q96EY1	187
Q96EY1	Q9Y6K9	187
Q96EY1	O14920	188
Q9Y6Q6	P42680	189
P42680	P04626	189
P04626	P00519	189
P22681	Q8IZP0	190
Q8IZP0	P00519	190
Q04206	P04637	191
P04637	P00519	191
P04637	O14920	192
P27361	P05412	193
P27361	O75030	194
Q04206	Q15306	195
Q15306	P17947	195
O43318	Q16543	196
Q16543	Q9Y6K9	196
Q16543	O14920	197
Q04206	Q13547	198
Q13547	P25963	198
P35222	O14920	199
Q01196	Q14192	200
Q04206	P18146	201
P18146	O95644	201
P63104	Q9Y6K9	202
P63104	O95644	203
Q9Y6Q6	P29350	204
P29350	P19438	204
P19438	Q9Y6K9	204
P19438	O14920	205
P38398	P05412	206
P22681	P01106	207
P01106	Q9Y6K9	207
Q9UQC2	P27986	208
Q9UQC2	P12931	209
Q9UQC2	P00533	210
Q9UQC2	P27361	211
Q9UQC2	P46109	212
P46109	P00519	212
Q9UQC2	P31946	213
P31946	P00519	213
Q9UQC2	P28482	214
P28482	P15336	214
Q9UQC2	P31749	215
Q9UQC2	Q08209	216
Q08209	P00519	216
Q9UQC2	Q9Y6Q6	217
P19838	P35580	218
P35580	Q9Y6K9	218
P35580	O14920	219
Q9Y4K3	P55072	220
P55072	P25963	220
O43318	O95163	221
O95163	O14920	221
O95163	P25963	222
Q12933	P62829	223
P62829	Q9Y6K9	223
P62829	P25963	224
P19838	Q07021	225
Q07021	O14920	225
Q14192	Q15796	226
Q15796	Q14192	226
Q15796	P05412	227
Q14192	Q13485	228
Q13485	P15336	228
Q13485	Q14192	229
Q13485	P05412	230
Q15750	P04350	231
P04350	Q9Y6K9	231
P04350	O14920	232
Q15750	P07437	233
P07437	Q9Y6K9	233
P07437	O14920	234
P07437	P25963	235
P22681	P27986	236
P22681	P19174	237
P22681	P12931	238
P22681	Q07890	239
P22681	P21860	240
P22681	P43403	241
P22681	P00533	242
P22681	P35222	243
P22681	P63104	244
P22681	P15509	245
P22681	P26992	246
P26992	P00519	246
P22681	P46109	247
P22681	Q9Y4K3	248
P22681	P31946	249
P22681	P27348	250
P27348	P25963	250
P22681	P0CG47	251
P22681	Q9Y5K6	252
Q9Y5K6	P00519	252
P22681	P15498	253
P22681	Q9Y6Q6	254
Q13077	P01857	255
P01857	Q9Y6K9	255
Q9Y4K3	P61077	256
P61077	P25963	256
Q15750	P27361	257
Q15750	O15264	258
O15264	P15336	258
Q15750	P08238	259
P08238	Q9Y6K9	259
Q15750	P45983	260
P45983	P15336	260
Q15750	O43318	261
Q15750	Q13748	262
Q13748	Q9Y6K9	262
Q15750	P0CG48	263
Q15750	P28482	264
Q15750	P07900	265
Q15750	P53779	266
P53779	P15336	266
Q15750	P38646	267
P38646	Q9Y6K9	267
Q15750	Q15759	268
Q15759	P15336	268
Q15750	P17066	269
P17066	Q9Y6K9	269
Q15750	P11142	270
P11142	Q9Y6K9	270
Q15750	Q16539	271
Q16539	P15336	271
Q15750	P45984	272
P45984	P15336	272
Q15750	P53778	273
P53778	P15336	273
Q15750	P11021	274
P11021	Q9Y6K9	274
Q15750	Q9BVA1	275
Q9BVA1	O14920	275
Q15750	P62158	276
P62158	Q9Y6K9	276
Q15750	P34931	277
P34931	Q9Y6K9	277
Q15750	Q15653	278
Q15653	P25963	278
Q15750	Q9NYJ8	279
Q15750	Q9Y6Q6	280
Q04206	Q01201	281
Q01201	P25963	281
Q01201	P51532	282
Q9Y6K9	O14920	283
Q9Y6K9	P25963	284
Q12933	Q13233	285
Q13233	O14920	285
Q13233	P25963	286
Q04206	Q00653	287
Q00653	P25963	287
O43318	Q99558	288
Q99558	Q9Y6K9	288
Q99558	O14920	289
O15264	P05412	290
O15264	O95644	291
Q14192	P26006	292
P26006	Q14192	292
Q14192	P05556	293
P05556	Q14192	293
Q14192	Q13683	294
Q13683	Q14192	294
P08238	O14920	295
Q9NYJ8	P62258	296
P62258	P00519	296
P19838	P08670	297
P08670	Q9Y6K9	297
P21333	Q9Y6K9	298
P21333	O14920	299
Q13114	Q14164	300
Q14164	Q9Y6K9	300
Q14164	O14920	301
Q14164	P25963	302
Q9Y4K3	Q13501	303
Q13501	Q9Y6K9	303
