#node1	node2
P16520	Q00975
P56537	Q9UH03
Q14686	Q9UPY3
Q15831	Q9Y3A3
P03956	P16035
P24928	P52597
Q8TDI0	Q96QB1
P28562	P61024
O00238	Q9UF11
P16402	Q86U86
Q86UD3	Q9Y2X8
O60244	Q9H2G2
P19105	P53355
Q05513	Q96IZ0
O00305	P63151
P56945	Q05209
P62304	P62316
Q68CJ9	Q92793
P18564	P23229
P15153	P46734
P10276	P29375
O95398	Q08462
Q07890	Q13972
Q9UKM9	Q9UQ90
P36871	Q13153
O14893	P84103
P37173	Q9HAU4
P19838	Q9BZ23
P63096	P63215
P60709	Q07020
P42224	Q15628
P49841	Q13233
O75385	Q16254
P20700	P30480
P01106	Q7Z6J4
Q13315	Q5VTL8
P14866	P55795
P60763	P98170
P42858	Q15642
P78537	Q6QNY1
O76071	Q9Y5Y2
O60840	P30154
P28347	P36402
P07900	P09769
O60315	Q7L5N1
P11137	P13861
P19174	P27986
P02458	P06756
Q9H9F9	Q9ULG1
P16871	P26441
P16035	P23511
P06729	Q96B97
Q01130	Q92993
P53350	Q9Y5V3
Q86U06	Q9BWF3
P27448	Q04917
P01106	Q14186
P51671	P51686
O43353	Q9ULZ3
Q5T6C5	Q99750
Q13115	Q16659
P05387	Q9P2G9
P04183	Q12834
Q8IU54	Q9UHF4
Q09028	Q9UJX2
P54619	Q16877
P13861	Q03135
P27986	Q15078
O00311	Q9UBU7
P40763	Q9UGJ0
Q13315	Q92766
Q02363	Q99081
O15264	P13498
P16471	Q15303
P37173	P49716
P53778	P62879
P20936	Q15375
P05783	Q6WCQ1
P15498	P61224
P52735	P58107
P02786	P61769
P62993	Q32MK0
28442	Q99856
P78395	Q13617
A6NMS3	P38405
P09012	Q99459
P16144	P55210
P12034	Q07890
O00220	P25445
P55211	Q6UXS9
O43561	Q9BZW8
O43182	Q9H4E5
P33176	Q9Y6K9
O96008	Q9NS69
P19838	P43243
P22607	Q92915
P61313	P83731
P60763	Q9UQB8
Q13315	Q9NXX6
P15735	Q9UQK1
Q9C086	Q9Y5K5
O95816	P0CG48
P25100	P50148
Q13315	Q9UHL9
P12236	Q9NTM9
Q96I15	Q99081
P61619	Q15714
P46379	Q15047
O43390	Q13151
P13631	Q96JE9
P23508	Q9Y295
O60506	P18206
P14784	P60568
P84090	Q99962
P04150	P09086
P16220	Q96NJ5
P35968	P46108
P09619	P98077
P60568	Q13261
Q13619	Q9H967
P22392	P28222
P24385	Q9Y3I1
O43426	P16333
O00329	P09619
Q13275	Q8TBE7
Q14191	Q92519
P02794	P61073
P47914	P62750
P17612	Q09472
P19838	P45983
P78560	Q5UIP0
O95299	Q9Y6M9
Q14CB8	Q8IXI1
O60508	P26599
Q8IUC4	Q9H1Y0
P00519	P28340
Q8TAD8	Q9UJ78
P31749	Q8NEB9
P61247	Q9HCK5
P98170	Q6GPH4
Q02928	Q07869
