#node1	node2
P17081	Q9BZ29
P46063	P52292
P02671	P48634
P05231	P26951
O43909	Q9HAU0
O95484	P56856
P35222	Q9Y2T1
P53803	Q8N7H5
Q92974	Q9P2M7
P13224	P14770
P58401	Q8N2Q7
P07108	P49841
406884	P08727
P63218	Q01668
Q9H2K2	Q9NWT6
Q96GM8	Q9BRX9
Q05516	Q96Q04
P01106	Q16576
P40938	Q9Y5J5
P38405	Q08828
P07384	Q15078
Q7L2E3	Q9UL18
Q06124	Q99706
406987	P30305
O15111	P84022
P62829	Q02543
P46734	Q9NYJ8
P48047	Q8IY92
P00533	Q9UJM3
Q99759	Q9NUG6
P00533	P01133
P52630	P63244
O00459	O14610
P63096	Q14416
P08069	P98077
P46940	Q99759
Q6ZW49	Q8NEZ4
P02776	P32248
O95990	Q9Y4E8
406906	P51959
P23396	P62244
P40145	Q9HAV0
P48444	Q13573
P27487	Q8N158
O43615	Q8IY92
P12980	P30281
P01568	Q14653
Q12873	Q13227
P01106	P20807
P15927	P49736
Q7LG56	Q92878
P18146	P27695
P18206	Q14157
O15151	P63104
P24158	P49913
P24723	Q5SW24
P22694	Q9Y478
O00401	P16333
P29474	P31749
P22004	Q13873
P02458	P08758
P17676	Q10586
P32121	Q8NH76
Q05086	Q9NR33
P12004	Q9UET6
O43677	O75438
P00747	P09486
P15056	P46940
Q7Z7A3	Q9BTM9
P10636	Q96RG2
P52742	P61224
Q9H160	Q9HAU4
Q03468	Q13315
O14530	P33240
O15162	P00519
P32121	P47890
O15085	Q03113
P41236	Q16821
P14778	Q5H8C1
Q92990	Q9UNZ2
O14492	P62993
P04049	P31749
O14641	Q9Y4D1
O60285	Q93008
P40123	P62258
P61981	Q9Y2W1
Q9NPD3	Q9UHL9
P01236	P42702
A5PKW4	Q96S21
P07333	Q9NR46
P18146	P21926
P01569	P40238
Q01970	Q13467
P31749	Q12824
P51003	Q01081
P50150	Q9NQ66
O95433	Q9UJV9
P21333	P49286
P10912	P23458
P09382	Q16633
O95644	Q05215
O15111	Q13489
P35913	P63211
P17931	P30049
Q05086	Q92731
Q9BQ67	Q9Y478
P61981	Q86WB0
P31946	Q99759
P06753	P21796
P58107	Q6WCQ1
P0CG48	Q8TAT6
P13473	P51149
P01871	Q9P209
P08648	P24043
Q2TBC4	Q8TAA9
Q86SQ7	Q92574
P61981	Q8IYB3
P16144	P22105
Q9NWQ8	Q9UER7
O95503	P78364
Q15834	Q8N302
P14921	P23497
Q6UWZ7	Q99728
P29466	Q9NWB7
P83731	Q8IXH7
O95400	Q14683
Q13573	Q9NPJ6
P63215	Q92806
P09769	Q92608
P32004	Q96S59
P10412	Q00005
O15239	Q9P0J0
P22455	P42336
P21796	Q15388
P62807	Q9BY41
Q04206	Q96EY1
P35609	Q08043
O75095	P54259
P49662	Q9NTJ3
O43242	Q9BRP4
Q14807	Q8NG27
O94979	Q15436
P04626	P15692
O14775	P08172
Q16777	Q16778
P68431	Q9UKN8
P06239	P42768
O00206	Q99519
P15153	Q14CB8
P20340	Q96CN9
O95185	P43146
P38432	Q9NRM2
P24385	P62877
O95484	Q8NI35
Q6UY11	Q6UY14
P32246	Q15835
P18146	Q9NQA5
P49914	Q9Y3Q8
P62834	Q13905
Q92922	Q9UBP5
P62258	Q14974
P17081	Q14CB8
Q15147	Q9H461
O95816	Q9NX70
P51665	Q14164
P68133	Q9Y4A5
P14174	P40337
P05423	Q15759
P04183	Q14209
P11021	Q9NYJ8
P22736	Q12873
P36873	Q02641
P06241	Q13415
P42336	Q9UQC2
Q5VTR2	Q99460
Q5VSL9	Q9Y6E0
P04406	Q14919
P38936	Q9BT78
Q5VSY0	Q9P0V3
Q05516	Q9NPJ4
P27695	P39748
O95865	Q9UBS4
O75582	P04150
Q14103	Q9Y6M1
O14561	O96000
P43629	Q06546
Q96G23	Q99608
P32519	Q13469
P04792	Q8IW41
P15153	Q5T5U3
P12034	P35968
O43741	Q16526
Q9P2H0	Q9Y6I3
P62829	Q9HCK5
P49810	Q9UMX0
Q01844	Q70IA6
P00519	P54274
P35637	Q8IYB3
P63104	Q15139
Q16643	Q9Y6K9
P61978	Q96IZ5
Q8N114	Q92905
Q8TD84	Q8TDG2
Q8IZP0	Q9Y6W5
P22694	Q16720
Q13464	Q15796
P25398	P62266
P41595	Q01668
P09466	P84022
P18077	P18124
P49716	P63165
P36507	Q13164
P52434	Q6PD62
P49642	Q93008
406987	P08254
O43927	P51685
P06702	Q13315
P29966	Q02156
P33240	Q9H063
P17676	P28482
P04085	P08069
Q9BQ83	Q9UJS0
P42766	P62891
Q6P4R8	Q8NBZ0
Q01844	Q92934
P01106	Q9UK53
P42771	Q01094
P22415	Q15545
Q7L0Q8	Q86UR1
O60231	Q13435
P17302	P23297
P25054	Q99418
P30876	Q9NWA0
P21333	Q13683
P01236	Q8N6P7
Q14738	Q8WXS5
Q06787	Q5JVS0
P05362	P20701
Q9NQW7	Q9NRI5
P13500	P32302
P36894	Q15759
P09681	Q8TDV5
O15381	Q14194
O00231	Q06455
P05129	Q86XP0
P22732	P31749
A0JLT2	P51610
P52564	P62834
Q07890	Q5JSL3
P08514	P25391
O00294	P62993
P01588	Q5VWK5
Q12834	Q9UBN7
Q13315	Q15154
P16333	P55157
P05412	P53778
Q9BQA1	Q9UHR5
Q9HB96	Q9NPI8
P04637	P51959
Q70Z53	Q9NX46
P49406	Q14197
A6NM45	Q07157
O95398	P53779
P60866	P62701
P19235	P52333
P45983	Q13233
P42704	Q9HC98
P61326	P62633
P16157	Q13009
P25098	P51681
P07954	P40926
Q99558	Q9Y230
P53367	P61204
P08887	P40189
P01111	Q9Y397
Q5JR59	Q8N720
O95639	Q05048
P35626	Q96RD3
O95166	P47870
Q13557	Q8TEY5
P15559	P25490
P51668	Q9P0P0
P10914	Q9BTT4
Q09472	Q12906
O00587	Q99466
P62280	P63220
Q92731	Q9GZR2
P62910	P98095
P22694	Q15746
P06748	P10914
P61962	Q9H2X6
A0JLT2	Q9BQ39
P30154	Q02641
P53004	Q05513
O95816	Q8N163
P51531	Q9NQC7
Q00839	Q15843
Q99996	Q9UKE5
O43147	O75525
P07333	Q9HAU4
P36896	Q13485
Q5SRE5	Q96HA1
P07550	P13473
P43405	Q9NZC2
O60733	P29992
Q12879	Q13255
O75832	P43686
O14662	O43752
Q05513	Q9NR12
O75376	P12757
P40429	P62910
P02768	P04259
P26639	Q15843
P63211	Q14831
Q9H6E5	Q9P2I0
A1A4S6	P08134
P12980	Q15700
P02656	P41235
O15111	Q00610
Q15021	Q8NEM0
O75396	Q14164
P19012	Q8TBB1
O00212	O75914
P49815	P53350
P09237	P60022
P10242	Q9UBE8
Q86TJ2	Q9H0E3
P01243	P29401
P04637	Q9BUP3
P78362	Q01130
P62913	P63173
O14610	O95622
Q8IY92	Q9UL42
Q08945	Q86Y13
O75446	Q9HCU9
P31943	P52272
O14508	P14784
Q13535	Q92804
P32243	P83731
P01563	Q969J5
O15530	Q9H307
P46776	P61513
P49593	Q13131
P35626	Q8NGA5
P32121	P51681
O95837	P22888
P18206	P62308
P00519	Q13087
P54253	Q92794
P26885	Q9Y6D6
P14923	Q7Z6J6
O43524	Q93009
P35225	Q12905
P40337	Q8TBZ2
Q7L590	Q9UJX2
Q8NDZ2	Q9UBS4
Q13616	Q9H4M3
O43889	Q09472
O00459	P16520
Q15797	Q9NRA8
Q15102	Q5T3J3
P63279	Q7Z3J3
O94762	P24928
P52198	Q9P227
P13637	P54253
P54619	Q9UGJ0
P30305	Q8WZA2
O15379	P23527
O60359	Q9UQM7
O15235	P58062
P63151	Q9NY47
P78317	Q8IX04
Q9UNA4	Q9Y3C5
P38570	Q96EP1
P02647	P07711
P32881	Q14653
O15205	P04637
P54132	P62380
O15111	Q13748
P15172	Q13547
Q86XR7	Q8IUC6
P38405	Q8NGS9
P05556	P08514
P22681	P35222
Q09472	Q9UQM7
P16118	Q9UGJ0
O75030	P56693
P11142	Q12933
P19012	Q9GZT8
P25398	P46782
P49674	Q16526
P22612	Q02641
P19544	Q15007
O15379	Q92786
P63104	Q9UMS6
P27361	P63096
O96020	Q9UJX3
O00303	O75822
P17612	Q9Y691
P38936	Q96L91
P11171	P24534
P18827	Q9UQP3
P49023	Q12800
Q92569	Q99490
P41221	Q04206
O15520	P09619
P61981	Q13523
Q12778	Q13557
Q16520	Q16649
O60506	Q00839
Q13467	Q9Y6F9
Q15847	Q9UK32
P51668	Q8IUQ4
P29597	Q08334
P01889	P52907
P10073	Q99684
Q9HB96	Q9UBZ9
P20333	Q96EY1
O96019	Q6STE5
Q08289	Q16537
Q12968	Q13557
Q13501	Q9H492
O60674	P16471
P50150	Q01970
O14625	Q6V1X1
P01241	Q13347
P05556	P21815
P04626	P51451
P84022	Q09472
P68104	Q16539
O60383	P62310
P09341	P51686
P11308	Q01543
P26368	Q8IX12
P08134	Q96QB1
P06241	Q9NRJ4
P43243	Q9NRI5
P68036	Q16659
P08648	Q16363
P17947	P30740
O94761	P09874
P50591	Q13546
O15350	Q01094
P16234	Q92529
O96000	Q9P0J0
O43809	P29372
P35498	P62873
P05113	P38484
O15360	Q9NPD8
P20823	Q9HB31
P15692	P27540
P01106	P49795
O75251	P51970
Q99717	Q9BT81
P48736	P50151
O60925	P59665
O75608	P07355
P32121	Q8NGS8
O00308	Q01844
P09661	Q9BWJ5
P01574	P26951
O14543	Q15759
O14745	P13569
O00255	P27694
O60684	Q53H96
P42262	Q13315
P56645	Q9UKB1
P62993	Q9BQ89
P08069	Q99961
P62256	Q9Y613
Q12933	Q8WYR1
P78330	P84090
P26196	Q8IZD4
Q04724	Q9UJU2
P62993	Q92959
O75369	P26006
P01574	Q969J5
A6NMZ7	P13612
P40126	P56693
O95257	P37231
P08887	Q13007
P61026	P61966
P43686	Q5VTR2
406957	Q9NRR4
Q70Z53	Q86VF5
P09874	P78527
P23508	Q9Y295
Q5T3J3	Q9Y3T9
O95467	P16473
O95471	Q07157
P41250	P63104
P28340	Q13573
P10912	P15248
O43318	P34931
P42677	Q13233
P01225	P16473
Q6UWE0	Q9Y2I6
P27348	Q9NQU5
P35222	P51532
P02751	P18084
P46776	P62829
O43353	Q9Y239
O95433	Q8NI27
P54259	Q8WUM4
O95201	P19544
Q12873	Q8NC44
P58107	Q04695
P02765	P55157
Q5VTD9	Q99700
Q99623	Q9UBB4
P41182	Q9Y618
O15379	Q71UI9
O15123	P67870
O94916	P29350
P00734	P02671
P02458	P09486
O14508	P17181
Q7Z6G3	Q9BY27
P60953	P98174
P49703	Q15796
Q12933	Q9UHD2
O43914	Q07444
O75165	Q9H1K0
P61981	Q07955
O15264	P01112
Q6P1J9	Q8IX03
O15264	P19878
P46781	P62847
P55884	Q99613
Q8N5V2	Q9BPY3
P23560	Q16288
O00626	P51686
P16220	P52747
P40225	Q13261
P01286	Q12884
Q07021	Q14197
O75925	P10276
O94817	Q08188
P10276	P13631
P08581	Q9Y6I3
O43586	P46779
P31749	Q16543
A6NMZ7	P18827
P62993	Q9Y281
P51686	P63096
P05000	P19235
O75643	Q13315
Q9NRF9	Q9NRG0
P51817	P54289
P00533	P23229
P63261	Q8TF72
P24941	Q13309
O14530	O95163
P09874	P0C0S5
O15198	P36894
P19388	Q9HCS7
A0JLT2	Q13838
P39023	Q9H8Y8
O14639	Q12772
P04899	Q13255
P54278	Q9Y2M0
O00327	P35398
O14640	Q01974
Q9NRR5	Q9UHD9
O95870	Q9UKJ0
P08670	Q8NC51
P32969	P63173
P25205	Q01094
O43678	P51970
O00459	P62070
Q07889	Q8IZP0
P08100	P62873
O94921	P36897
O75821	P41567
P10912	Q9GZX6
O00231	Q9UKY1
P40145	P84996
P05106	P12110
P12956	Q86X76
O75369	P08648
P07384	P35609
P62873	Q15147
Q8N1F7	Q9Y2Q3
P23763	P32856
P33076	Q15306
406921	P29375
O00459	P52735
O15197	Q15768
P20618	P49662
P53779	Q16539
P11387	P12956
O15392	Q14209
O43493	P62993
P12814	Q9UGI8
Q01130	Q5JVS0
Q9Y3D3	Q9Y478
P25787	Q14164
P00734	P41235
O00329	P50150
O94806	O95989
P32121	Q8NGC7
P38405	Q9GZK7
O60260	P37840
O00571	Q6WCQ1
P10145	P45452
P35372	P50151
O15379	P68400
P27708	Q04206
O15371	P23508
P62330	Q92922
Q15287	Q8TEQ6
P29459	P48551
P01241	Q8IU57
P01241	P40238
P51617	Q06187
O95084	P52797
P42695	Q13535
P09493	P60709
Q9H6E5	Q9UKF6
P07237	P78545
P08581	Q96J02
Q9BQA1	Q9H9G7
P28482	Q99717
P08107	P50502
Q16620	Q96FE5
P61224	Q7Z5R6
P55061	Q9H3D4
O15551	O75970
Q86Y01	Q96J02
O14798	P50591
P62993	Q12906
Q92922	Q92925
O75909	Q9NP66
P15927	P43351
P55884	Q7L2H7
O00303	P41091
P29350	Q96LC7
P01241	Q14626
P16104	Q96RL1
P27694	Q13228
O00327	P51449
P18146	Q6UX53
Q8NDV7	Q9HCK5
P13671	P16333
P01116	Q8IV61
Q13007	Q6UXL0
P98164	Q01968
O60831	P51681
Q13309	Q16589
Q13315	Q9NZT2
Q00005	Q9HCC0
Q08334	Q9GZX6
O75533	Q9HAW0
P26373	Q13573
P11171	Q9H173
O75365	Q9H3U1
P01106	Q8TAD2
O95602	Q13315
O75530	P19438
P55157	Q9Y2J2
O00303	O14602
O15479	P39019
Q01094	Q14201
O75970	Q9Y5I7
O94885	P31947
O75380	Q12809
P35228	Q8TD86
Q9H2G2	Q9UJV9
O60684	P00367
P30153	P32121
Q8N1I0	Q92730
P60709	Q9Y2J2
P49841	P67775
Q16629	Q9UBU9
P01241	P07741
P00403	P0CG47
Q16236	Q6P1K2
P40933	Q6UXL0
P02751	P40337
P01571	P19838
P62745	Q92608
P49238	Q8NHW4
Q92574	Q9UGI9
P19883	Q9H7E9
P16220	Q8IVL1
P13232	P52333
P62330	Q9Y3P9
P41182	Q9NR96
Q01844	Q8N6R1
Q2TAZ0	Q99615
Q12983	Q16548
O00254	P06241
P19174	P21333
Q14671	Q15797
P06730	P29590
P06241	P16671
26765	Q92831
O75643	P40337
O43293	P19105
Q12789	Q9UKN8
P45985	Q13233
O94972	P51116
O00141	P52272
P05386	P84098
P16284	Q08050
P55157	Q99259
P08708	P62851
P84103	Q13151
O43353	P35580
O60404	P38405
Q8IZJ0	Q9HBE5
P21802	Q8WYR1
P36578	Q9C026
P18505	P54257
O14920	P10809
P13612	P25940
P06493	Q04724
Q15435	Q16659
P15336	Q6UUV9
P18146	Q00577
P02647	Q9Y6X4
145781	P62424
P63215	Q14831
P32248	Q9Y258
P00533	Q9H267
P11387	P61978
P19838	P22301
O00422	Q16082
Q08495	Q9UNN8
P61964	Q9HCK8
O95503	Q14781
O94916	P15121
P05387	P62424
P04141	P14784
O75800	Q9Y4K3
P17612	Q92806
P24522	Q07869
P01308	P06213
P63208	Q00839
406901	Q6DJT9
P50876	Q13404
Q7Z4K8	Q9Y6K8
P07910	P26599
O00626	P19320
A6ND36	P84022
P41597	P55773
P14649	P63261
Q12923	Q92851
P17040	P57086
P15408	P20809
Q8IXH7	Q99816
P41279	Q00610
O00571	Q99558
P26992	P29459
P62745	Q92851
O60258	P11362
Q96NA2	Q9BVA1
P82933	Q9BQ04
P35638	Q96HE7
O15151	P00519
Q13114	Q8IUC6
O75807	P18848
P35240	Q13177
P32246	P49407
P42224	Q9UL17
P63211	Q15759
P53779	P63000
P56524	Q7L7L0
Q08209	Q12834
P01116	Q04864
P08311	P25116
P13612	Q07890
Q92731	Q9H944
Q16531	Q8TEB1
Q13009	Q16620
O15457	P00519
O43167	Q99750
P32121	Q8NGG2
Q53GL0	Q93009
P25189	P56693
Q8IYM9	Q93009
P05019	P17936
Q96BA8	Q9NR55
P27448	P62979
O15047	Q99877
Q14197	Q9UJZ1
P05106	Q9HBI0
P32121	Q96R28
P23229	P24043
P40818	Q13107
P55157	Q08209
P23396	P62851
Q00005	Q9HAV7
P40763	P51813
P28324	Q02363
P08254	P35625
P19338	Q04206
Q13114	Q13490
P18084	Q8IZC6
P10606	Q8IXH7
P18621	P46779
P06241	Q13432
Q15714	Q9NWB1
Q5JY77	Q9UHF0
O75888	Q9Y275
P55196	Q9BX66
Q12772	Q9Y6R1
P01569	Q14626
P31749	Q9H7J1
O00501	Q8N7P3
O75716	P67870
Q15654	Q99469
O14978	P57086
P30559	Q06432
P00533	P36507
P21281	P60709
Q13573	Q9Y6D5
Q15038	Q86YR5
Q01130	Q96SB4
P35637	Q15366
O75815	P29692
Q14790	Q9Y6K9
Q8WUI4	Q96QV6
Q01449	Q9P2M7
P31269	P40424
Q96DH6	Q96DU9
A5YKK6	Q9HC52
P18440	P41227
P17544	P17676
P01225	P21728
P51991	Q13573
O43353	Q9BVA1
P05162	P05556
P06400	Q00577
Q8WWL7	Q9UJX2
P49427	Q9UBQ5
Q00005	Q5VY09
P05423	Q9H1D9
Q8IZH2	Q9NRV9
Q07912	Q53EL9
P62745	Q9H3F6
O15360	P51532
P01236	P38484
P07947	P16144
O14654	Q05655
P60953	Q5T5U3
P36873	P63208
Q13418	Q99797
P52735	Q8WZ42
A6NHL2	Q9BSJ2
P32121	Q6IFN5
P63000	Q13009
O75293	Q04206
P05109	Q15653
P12931	P35326
Q13501	Q9Y6K9
P06241	Q14643
P18146	Q9Y5R6
P35250	Q9Y5J5
P28562	Q13309
P09874	Q16665
Q00839	Q99697
P53778	Q9P2W3
Q15642	Q9Y4D1
Q86UA6	Q9Y6K9
O14980	Q13158
P61981	Q14155
P67870	Q96NT0
Q8IVL1	Q8WYH8
P49841	Q71U36
P54105	Q9Y333
P35638	Q9BTE3
Q8WWL7	Q9UJX4
P61201	Q13616
Q9H171	Q9NRG4
Q13315	Q9NZ56
O60506	P01889
P35609	Q96EB1
P12107	P26010
P01106	Q92947
Q13118	Q9HBL0
Q96HA8	Q99750
P23458	Q99650
O75150	Q6P1J9
P30279	P46527
O75586	Q9NX70
P10809	P61604
Q05655	Q9BX67
P63173	Q02543
P25787	Q9H8Y8
Q15024	Q9NPD3
P25105	P29597
P16471	P29459
O60907	P25054
Q00005	Q3MHD2
Q92845	Q9UQE7
O94864	Q16594
P52565	Q16611
Q8WYR1	Q9HBW0
O95347	Q13573
P58876	Q13547
P33076	P61018
O14735	P20333
P62701	Q9UL18
P30968	P50281
P37108	P62330
Q13315	Q99729
O00144	P56705
Q10588	Q13976
Q14469	Q9Y4Z2
O00238	Q96D21
O75420	Q16773
Q05516	Q9NS56
O15297	Q04206
Q16254	Q99741
P02768	Q9UNY5
P36888	P40763
P15248	Q6UXL0
P26012	Q17RW2
Q8NEM7	Q92830
P08912	P63092
P30153	P57058
Q14315	Q9Y4P8
P50454	P62993
P40337	P41252
Q9BWH2	Q9H1I8
O75943	P12004
P04049	P29597
P43308	Q86WV6
P13500	P51677
Q15796	Q92793
P52948	Q8WUM0
P12111	Q05397
P38919	Q09161
O95218	Q02040
P40337	Q9ULC4
P62241	Q00653
P51617	Q9Y616
P58107	Q9P2S5
O60258	P08138
P15884	Q02363
Q14566	Q53TS8
P01106	Q9UJX2
O15264	P36894
Q12968	Q13555
P09601	P53004
P14921	Q9UER7
O00144	Q9UBV4
O95400	Q8IX12
P32121	Q6IF36
406891	P05231
Q13485	Q14956
O14610	O60266
Q16760	Q9UKX3
P63096	Q9H228
P62244	Q99558
Q02045	Q86YV6
P46782	Q01201
407039	O95477
P19012	Q9P1Z2
P11142	P35225
P01242	Q99665
Q13315	Q9UBS0
P22314	Q9Y6X2
P28749	Q14188
P38405	Q9H340
O14640	P15153
O60610	P07737
P17301	Q08043
P04899	P14598
O14610	P27361
P45973	Q9UIS9
P29323	Q2TAZ0
P38405	Q9H209
Q7Z434	Q92985
P36888	P42336
P12931	Q9UKX5
P61981	Q96N67
P48736	Q14289
Q96A37	Q96LR5
P08670	Q8IYB7
P04637	Q8IW41
A6NMZ7	P06756
Q13748	Q9Y4K3
P08123	Q05397
O15344	Q96LR5
Q92796	Q9BQ90
P35968	Q96PU5
P30480	Q14566
P11487	Q12951
P17252	P23458
P00533	Q96B97
P27348	Q15139
O43684	Q9Y4K3
P63092	Q68DD2
O95999	P0CG47
P01137	Q06828
P15880	Q13368
P49257	Q8NI22
O00755	Q92765
P14784	P40225
P01106	Q9BPX5
P04156	P07237
P03372	P56705
P28715	Q01844
P40337	P47985
P05997	P16144
Q99459	Q9BXW9
P31943	Q00005
Q13418	Q14790
P11802	P42771
Q14152	Q96I15
Q96KQ7	Q99612
P63279	Q9UKL3
P15531	P54274
P24941	Q14CX7
P21796	P99999
O15372	P41567
P25942	Q12933
P29590	Q92793
P61981	Q86VM9
Q14526	Q92858
O15117	Q92974
P52565	Q13153
P40238	Q8WWM7
O15198	Q9NRR5
P27482	Q13554
P30040	Q96HE7
P48544	P59768
P31995	Q16539
Q9UBB4	Q9Y5V3
O15379	Q9NYJ8
O95405	P12644
Q15554	Q9NUX5
O60383	Q99547
P00748	P05067
P01588	P38484
P10721	Q9UQC2
P07900	Q15185
O14905	Q9H461
Q9WJR5	Q9Y230
P26038	P60709
O75815	P06753
O95249	Q13835
Q13330	Q9NVP1
Q05513	Q9NPB6
P54619	Q9C0K7
P01571	Q99062
P05771	Q86XP0
P45984	Q12967
P41240	Q12913
P35638	Q99941
O75351	Q13315
P09914	P42224
