#node1	node2
O95163	P46379
P10275	Q5THR3
O95400	Q12986
O75586	P57721
P78563	Q9H8S9
P22681	P26951
P16885	Q16288
P03915	Q9P0J0
P0C0S5	Q7Z2G1
O15198	Q9UMX0
P63215	Q9HBW0
P28482	Q9NZK7
Q14457	Q9Y371
O43924	P62834
P04637	P55774
P55957	Q9NR28
Q8WVC0	Q9GZS3
O15504	P25054
P42768	Q07960
O00238	O15198
P05013	P23458
Q96DB2	Q99880
P61073	Q13724
P52565	Q16611
Q06609	Q9Y5L4
Q99755	Q9ULU8
P08311	P55210
Q5T3J3	Q8WVZ9
O75528	Q12962
P20333	P51571
P46781	Q15714
P06576	Q16637
P48740	Q92890
Q16539	Q96DM3
P24522	Q75N90
Q6P158	Q9NY93
P49917	Q9H9Q4
P03372	Q13547
O15355	P67809
P49915	Q99459
O95813	P09544
P62136	Q92934
Q12888	Q92547
P33240	Q99689
406948	P10415
P23528	P68032
P19474	Q9HCK5
P78527	Q00653
P00533	P04406
O00233	P35998
O95619	Q9NPF5
O43502	O43543
Q09472	Q9NZF1
P08138	Q92569
P35269	Q99689
P12956	P15498
P63279	Q8WVZ7
P28749	P63167
Q12834	Q4G163
Q9H173	Q9UHI6
Q86V88	Q9BSW7
P20042	P49770
P15153	Q96QB1
O75914	Q15746
P28340	P60520
P45984	Q9P2H0
O14730	P62158
P63173	Q9HCK5
P15880	P25398
P05231	P14784
Q53EZ4	Q9UK41
P06899	Q15291
P40337	Q99700
O60238	Q01844
P23508	Q9Y6E0
P29460	P78552
Q68CP9	Q969G3
Q9UBE8	Q9UJU2
P11802	P30281
Q9BRQ0	Q9UPT9
Q15427	Q15637
P06241	P13805
O75448	Q9BTT4
P84022	Q9UJ37
P38936	Q8TAQ2
P52926	Q16548
P60709	P68032
P78362	Q14498
Q92609	Q9UBQ0
P54619	Q16822
P42338	Q12933
Q99650	Q9P0W0
Q5QNW6	Q9P0M6
P25440	P68133
Q53QZ3	Q8IXI1
P62917	Q9H8M7
P60520	P63104
P04150	Q92922
Q6PEY2	Q9Y6G9
P35609	P55884
P56750	P78369
O60739	P63279
O95996	Q92997
O00213	P04156
O60729	Q8IXJ6
100126334	P24941
P36897	Q9NWN3
P01566	Q13261
Q10570	Q6UN15
Q71UI9	Q969S8
P19793	P42575
P51686	P78556
P15153	Q9BYG5
P05771	Q9NQ66
O60359	Q14738
P05387	Q13233
O43924	P61586
O95201	Q12933
Q09028	Q9UJX2
P09493	P19429
P09651	P39748
P62805	Q9Y230
O60840	P08754
Q14296	Q93062
Q13315	Q86XL3
P00519	Q99259
O43426	Q99963
P30480	Q9H9B4
Q92985	Q99731
P62917	Q9UKV8
O43541	Q9Y3F4
P54132	Q13111
P42772	Q00534
P16473	Q03113
P00533	P42224
