#node1	node2
B1A4H9	P15260
O95072	Q15172
P43405	Q15418
O15085	P61587
P09525	P17405
O14965	P30305
O60563	Q03111
Q16659	Q96IZ6
O60303	O60343
O75084	O75197
Q16539	Q99683
P05015	P10912
O95433	P51816
P06213	P12034
O60907	P62805
Q07869	Q86V24
P04637	P55199
P11362	Q9NQ66
O15054	P67870
P41236	Q8IWU2
P68431	Q16514
Q8TBE0	Q9BQ66
O14543	Q9UBF6
P30480	P43307
P63261	Q05655
P52756	Q13151
Q9NPG1	Q9Y6F9
P30874	P63096
P15311	Q8IZE3
P09038	Q07890
P67809	Q08211
P56645	Q5TA89
P23528	P63261
P67870	Q13112
P51991	Q15366
O75400	Q9UHD9
O60238	Q9H492
P04628	Q14469
Q13105	Q9Y2L1
P12980	Q5EE01
Q96CG3	Q9Y3M8
Q92993	Q96L91
O00308	Q15796
Q14457	Q14687
P01242	P01589
P25788	Q00987
Q15834	Q16512
P10276	P12755
O75044	P63104
Q8N122	Q8TB45
Q13748	Q96RT8
P27361	Q9UQC2
P09486	P26358
P09543	Q9Y4K3
P06748	Q9UKF6
Q14790	Q9HAV5
Q13530	Q9H173
P09525	P16104
O43914	P26717
Q16543	Q6P1N0
P61077	Q12899
P14317	P50570
Q14161	Q15052
O60508	P38159
P62829	Q00005
P46531	Q92997
Q00987	Q9H2X6
P21964	Q9H0D6
P43250	P51681
O00483	P03915
P62333	Q15834
P06213	P21781
P62330	P63000
O14924	P26010
P46778	Q9P1W9
Q00597	Q9NPI8
P09429	Q15109
P08908	P61952
P23258	Q99996
P51681	Q15583
A6NIT4	P31785
P08700	P19235
P15391	P20023
O95163	Q93008
P05783	P62714
O75159	Q8N6P7
P14649	P63267
P31689	Q13233
P46108	Q9C0E4
P07900	P68400
P27540	P35869
P62195	Q99460
P22694	Q05397
Q13315	Q92560
P22626	Q01081
Q13158	Q92851
P35626	Q8NG97
P61586	Q13177
P12931	Q9H3S7
Q13368	Q67FW5
P01116	P09619
O95257	P11473
P35609	Q8WZ42
P18206	Q7L014
Q14511	Q9UM11
Q08334	Q8N6P7
Q15669	Q5T3J3
P22681	P45983
Q13347	Q99613
P08754	P17612
A5D8V6	Q53EZ4
P07910	P09651
O43809	Q9ULV5
P01106	Q9NTI5
P35225	Q15717
P78552	Q9UHD0
O76094	Q99459
Q13526	Q99708
O15047	Q6UXN9
Q13541	Q96B36
P18146	Q96G03
Q92466	Q9HAW4
P37173	Q9NP97
P49768	Q96BI3
Q14CB8	Q7L0Q8
O43399	Q16890
P56559	Q9NRR5
P30153	P62714
P22694	Q01814
P00519	Q9BZM3
P22694	Q08289
Q93009	Q9UBT7
P08700	Q07812
P07332	P20936
O95136	P08754
P32302	Q15835
Q15303	Q9BTT6
Q13535	Q9BWW4
P56705	Q5T4F7
P63092	Q86XP0
O14625	P51679
P19532	P55072
P00747	P08697
P07737	Q7Z5R6
P35544	P46782
P61019	Q16659
Q96JB5	Q9Y3C8
Q03468	Q15843
P24863	P49336
Q8N7P3	Q8NI35
A6NDL8	P38405
P12931	Q9NRY4
