#tail	head	edge_flux
P10275	Q969G3	7.04665e-07
P10275	Q99497	7.04665e-07
P10275	Q5THR3	7.04665e-07
P10275	Q92831	7.04665e-07
P10275	P05412	7.04665e-07
P10275	Q01196	7.04665e-07
P10275	Q9P2W1	7.04665e-07
P10275	Q9Y6X2	7.04665e-07
P10275	Q96PM5	7.04665e-07
P10275	P11182	7.04665e-07
P10275	Q08117	7.04665e-07
P10275	Q9Y618	7.04665e-07
P10275	P11142	7.04665e-07
P10275	Q03135	7.04665e-07
P10275	P84022	7.04665e-07
P10275	P50613	7.04665e-07
P10275	Q15637	7.04665e-07
P10275	Q9UNE7	7.04665e-07
P10275	Q14192	7.04665e-07
P10275	P60484	7.04665e-07
P10275	P14859	7.04665e-07
P10275	P21127	7.04665e-07
P10275	P00533	7.04665e-07
P10275	Q15233	7.04665e-07
P10275	Q16543	7.04665e-07
P10275	P04406	7.04665e-07
P10275	P51946	7.04665e-07
P10275	P18074	7.04665e-07
P10275	P11387	7.04665e-07
P10275	P38398	7.04665e-07
P10275	P17844	7.04665e-07
P10275	Q92922	7.04665e-07
P10275	Q8IZL8	7.04665e-07
P10275	Q06830	7.04665e-07
P10275	P12235	7.04665e-07
P10275	P10606	7.04665e-07
P10275	P55345	7.04665e-07
P10275	Q9UER7	7.04665e-07
P10275	P27986	7.04665e-07
P10275	P12956	7.04665e-07
P10275	O75376	7.04665e-07
P10275	P35222	7.04665e-07
P10275	P09874	7.04665e-07
P10275	P40189	7.04665e-07
P10275	P41161	7.04665e-07
P10275	P62826	7.04665e-07
P10275	O14595	7.04665e-07
P10275	Q15788	7.04665e-07
P10275	Q96EB6	7.04665e-07
P10275	Q8NF64	7.04665e-07
P10275	Q9NYW8	7.04665e-07
P10275	Q8N2W9	7.04665e-07
P10275	P08047	7.04665e-07
P10275	P32780	7.04665e-07
P10275	O95238	7.04665e-07
P10275	Q00987	7.04665e-07
P10275	Q15652	7.04665e-07
P10275	P20711	7.04665e-07
P10275	P14921	7.04665e-07
P10275	P11308	7.04665e-07
P10275	Q15797	7.04665e-07
P10275	O43504	7.04665e-07
P10275	Q13547	7.04665e-07
P10275	P04792	7.04665e-07
P10275	P63279	7.04665e-07
P10275	P15884	7.04665e-07
P10275	P50750	7.04665e-07
P10275	Q96L73	7.04665e-07
P10275	Q96ST3	7.04665e-07
P10275	P40763	7.04665e-07
P10275	Q8IXH7	7.04665e-07
P10275	Q02790	7.04665e-07
P10275	Q13772	7.04665e-07
P10275	O60711	7.04665e-07
P10275	Q9NQU5	7.04665e-07
P10275	Q9Y6Q9	7.04665e-07
P10275	Q9UBK9	7.04665e-07
P10275	P19447	7.04665e-07
P10275	Q04864	7.04665e-07
P10275	P27540	7.04665e-07
P10275	P43364	7.04665e-07
P10275	Q9Y4B4	7.04665e-07
P10275	Q6AZZ1	7.04665e-07
P10275	Q05086	7.04665e-07
P10275	P35269	7.04665e-07
P10275	P49841	7.04665e-07
P10275	P24385	7.04665e-07
P10275	P11021	7.04665e-07
P10275	Q92759	7.04665e-07
P10275	Q16666	7.04665e-07
P10275	Q16665	7.04665e-07
P02778	P13611	7.04527e-07
P04406	O43504	7.04458e-07
P04406	Q06830	7.04458e-07
Q9UNH7	Q9GZM8	7.04435e-07
Q9UNH7	P38432	7.04435e-07
Q9UNH7	Q9NRI5	7.04435e-07
Q9UNH7	Q8TDR0	7.04435e-07
O43663	Q15834	7.04243e-07
O43663	P35900	7.04243e-07
Q15631	Q99598	7.04216e-07
Q8TAI7	P83876	7.04215e-07
Q5T0N5	Q92995	7.04106e-07
Q5T0N5	O43147	7.04106e-07
Q7Z699	P62136	7.04023e-07
P18850	Q68CJ9	7.03878e-07
P20700	P63104	7.03712e-07
P31943	Q00005	7.03704e-07
Q9UNS2	Q99627	7.03667e-07
P02763	P05121	7.03635e-07
Q9NZL4	Q5T3J3	7.03541e-07
Q14697	O15264	7.03210e-07
Q00535	P51805	7.03163e-07
Q00535	Q9UIW2	7.03163e-07
Q00535	O75051	7.03163e-07
Q9H9Y6	Q9Y2S0	7.03129e-07
Q9H9Y6	P53803	7.03129e-07
Q9H9Y6	Q9UIG0	7.03129e-07
Q9H9Y6	Q15572	7.03129e-07
Q9H9Y6	P52434	7.03129e-07
Q9H9Y6	100008587	7.03129e-07
Q9H9Y6	100008589	7.03129e-07
Q9H9Y6	100008588	7.03129e-07
Q9H9Y6	Q9NYV6	7.03129e-07
Q9H9Y6	Q9P1U0	7.03129e-07
Q9H9Y6	O60264	7.03129e-07
Q9H9Y6	P17480	7.03129e-07
Q9H9Y6	O00159	7.03129e-07
Q9H9Y6	Q9GZS1	7.03129e-07
Q9H9Y6	Q53T94	7.03129e-07
Q9H9Y6	O15160	7.03129e-07
Q9H8S9	Q15834	7.03065e-07
Q01959	Q13424	7.02972e-07
O43679	P61968	7.02902e-07
O43679	Q9NVW2	7.02902e-07
P52597	Q9NWB1	7.02886e-07
Q2M3G4	P31947	7.02865e-07
