#tail	head	edge_flux
Q99750	Q96C28	3.10989e-07
Q99750	Q9H5Z6	3.10989e-07
P27694	Q9H8T0	3.10937e-07
P27694	Q86U06	3.10937e-07
P27694	Q9BTY7	3.10937e-07
P27694	Q9H1I8	3.10937e-07
P27694	Q13228	3.10937e-07
P27694	P16870	3.10937e-07
Q9UQM7	Q8TD86	3.10932e-07
Q9UQM7	P27482	3.10932e-07
Q9UQM7	Q9NZT1	3.10932e-07
Q07955	Q08170	3.10916e-07
Q07955	Q8TBB1	3.10916e-07
Q07955	Q13151	3.10916e-07
Q07955	P26368	3.10916e-07
Q07955	O95232	3.10916e-07
P00491	P30480	3.10897e-07
Q01534	P68104	3.10884e-07
P31943	Q13573	3.10741e-07
P31943	Q99459	3.10741e-07
Q5QJE6	Q92731	3.10734e-07
Q5QJE6	P37231	3.10734e-07
O95859	Q00604	3.10704e-07
Q96DI7	Q13619	3.10665e-07
Q96DI7	Q99459	3.10665e-07
Q96DI7	Q13573	3.10665e-07
O75843	Q15276	3.10574e-07
O95551	Q16659	3.10530e-07
Q6P2E9	Q8IU60	3.10527e-07
P10600	P37023	3.10473e-07
P49639	O95967	3.10413e-07
P49639	P28799	3.10413e-07
P49639	Q99750	3.10413e-07
P49639	Q9UKJ5	3.10413e-07
P49639	O60711	3.10413e-07
P49639	O75865	3.10413e-07
P49639	O15162	3.10413e-07
P49639	Q15654	3.10413e-07
P49639	Q9BQ66	3.10413e-07
O94983	P52952	3.10404e-07
Q8WXE1	Q7LG56	3.10362e-07
O95602	Q9Y2S0	3.10348e-07
O95602	P52434	3.10348e-07
O95602	Q9H9Y6	3.10348e-07
O95602	Q9GZS1	3.10348e-07
O95602	O15160	3.10348e-07
Q9Y3E7	O95630	3.10261e-07
Q15648	Q14994	3.10257e-07
Q969U6	Q13619	3.10242e-07
Q969U6	Q92574	3.10242e-07
Q8IYB8	Q14197	3.10214e-07
P58876	Q96KK5	3.10206e-07
P58876	Q93077	3.10206e-07
P58876	P20671	3.10206e-07
P58876	P0C0S8	3.10206e-07
P58876	Q99878	3.10206e-07
P58876	Q96QV6	3.10206e-07
P58876	Q9P0M6	3.10206e-07
P58876	Q8IUE6	3.10206e-07
P58876	Q16777	3.10206e-07
P58876	Q7L7L0	3.10206e-07
P58876	Q9BTM1	3.10206e-07
P58876	P04908	3.10206e-07
P58876	P16104	3.10206e-07
P58876	Q6FI13	3.10206e-07
P58876	P0C5Z0	3.10206e-07
P58876	O75367	3.10206e-07
P58876	Q71UI9	3.10206e-07
P58876	P0C5Y9	3.10206e-07
P63151	Q92597	3.10194e-07
P63151	O95990	3.10194e-07
P63151	P04637	3.10194e-07
P84243	Q09028	3.10181e-07
P84243	P54198	3.10181e-07
P84243	Q86WJ1	3.10181e-07
P84243	P18146	3.10181e-07
O43427	P67870	3.10179e-07
O43427	Q14512	3.10179e-07
Q9NRN5	Q15047	3.10177e-07
Q9NRN5	P17540	3.10177e-07
Q9NRN5	Q99689	3.10177e-07
O43292	Q9NZ81	3.10162e-07
O43292	Q16478	3.10162e-07
O43292	P60228	3.10162e-07
O43292	Q13526	3.10162e-07
Q92620	Q15287	3.10104e-07
O94788	Q9Y2X8	3.10063e-07
Q13033	Q9Y228	3.10047e-07
Q13033	Q9Y6E0	3.10047e-07
Q9H5Z6	O94972	3.10039e-07
Q9H5Z6	Q99750	3.10039e-07
P48058	Q9UQM7	3.10010e-07
P48058	P05129	3.10010e-07
Q14566	P18146	3.09981e-07
Q13636	Q01968	3.09917e-07
Q9Y6M1	Q14197	3.09904e-07
Q9Y6M1	O15264	3.09904e-07
Q96RR1	Q9H8T0	3.09885e-07
Q8N726	P49459	3.09862e-07
Q15223	Q9NQS3	3.09815e-07
Q15223	Q96NY8	3.09815e-07
Q15223	P12931	3.09815e-07
Q15223	P55196	3.09815e-07
P38919	Q09161	3.09814e-07
P38919	Q99459	3.09814e-07
P38919	Q13573	3.09814e-07
O60551	P67870	3.09808e-07
O60551	Q05513	3.09808e-07
O60551	P04183	3.09808e-07
O60551	P09525	3.09808e-07
O60551	Q16637	3.09808e-07
O60551	P20073	3.09808e-07
Q96NB3	Q6P2Q9	3.09788e-07
Q96NB3	Q13435	3.09788e-07
Q96NB3	Q15365	3.09788e-07
Q96NB3	Q13573	3.09788e-07
Q96NB3	O60306	3.09788e-07
Q96NB3	Q13356	3.09788e-07
Q96NB3	Q13123	3.09788e-07
O15525	O14867	3.09747e-07
O15525	P05412	3.09747e-07
O15525	Q9NR55	3.09747e-07
O15525	O60675	3.09747e-07
O15525	P17544	3.09747e-07
O15525	Q9BYV9	3.09747e-07
Q8NFZ8	O14576	3.09727e-07
Q8NFZ8	P49674	3.09727e-07
P61326	Q96Q15	3.09716e-07
Q86VW0	Q99417	3.09715e-07
Q86VW0	O76061	3.09715e-07
Q86VW0	P20366	3.09715e-07
P78362	Q96SB4	3.09674e-07
P78362	Q01130	3.09674e-07
Q9Y6M9	P18146	3.09657e-07
P68104	P04278	3.09559e-07
P68104	P20073	3.09559e-07
P68104	Q9NR28	3.09559e-07
P68104	Q16891	3.09559e-07
P68104	O14788	3.09559e-07
P68104	Q16829	3.09559e-07
P68104	Q16637	3.09559e-07
P68104	Q99558	3.09559e-07
P68104	P38936	3.09559e-07
P68104	Q9Y6H6	3.09559e-07
P68104	P24522	3.09559e-07
P68104	P37840	3.09559e-07
P68104	O14713	3.09559e-07
P68104	Q6IN84	3.09559e-07
P68104	Q16612	3.09559e-07
P68104	P04183	3.09559e-07
P68104	Q16513	3.09559e-07
P68104	P49841	3.09559e-07
P68104	P01116	3.09559e-07
P68104	P42575	3.09559e-07
Q10570	P48634	3.09550e-07
O94762	P53350	3.09467e-07
O94762	P16220	3.09467e-07
Q9NR33	Q07864	3.09448e-07
Q9NR33	P56282	3.09448e-07
Q04726	Q92597	3.09443e-07
Q99819	P08138	3.09437e-07
Q15291	Q14686	3.09425e-07
Q15291	Q13619	3.09425e-07
Q15291	P61964	3.09425e-07
Q15291	Q16531	3.09425e-07
Q5VT52	Q9NZC7	3.09397e-07
Q12789	O00267	3.09390e-07
Q12789	Q9UKN8	3.09390e-07
Q12789	Q8WUA4	3.09390e-07
Q12789	Q9Y5Q9	3.09390e-07
Q12789	Q9Y5Q8	3.09390e-07
P54257	Q14055	3.09387e-07
P54257	O15258	3.09387e-07
P54257	O60502	3.09387e-07
P54257	P50238	3.09387e-07
P54257	Q9H0I3	3.09387e-07
P57086	P27361	3.09313e-07
P57086	P45983	3.09313e-07
O75956	Q9NZJ5	3.09291e-07
O75934	Q92731	3.09252e-07
Q8TB52	P25054	3.09236e-07
Q06455	Q9UPN9	3.09178e-07
O95071	Q8IY92	3.09057e-07
Q9GZU7	P02686	3.09004e-07
Q9GZU7	P35269	3.09004e-07
Q9GZU7	Q86U70	3.09004e-07
O60563	Q09472	3.08937e-07
Q8IWX8	Q8IX12	3.08897e-07
Q8IWX8	O75400	3.08897e-07
Q8IWX8	O43290	3.08897e-07
Q8IWX8	Q9NWB6	3.08897e-07
Q8IWX8	Q8WUA2	3.08897e-07
Q8IWX8	P31942	3.08897e-07
Q8IWX8	Q01081	3.08897e-07
Q8IWX8	Q86U06	3.08897e-07
Q8IWX8	Q9Y580	3.08897e-07
Q8IWX8	P08621	3.08897e-07
Q8IWX8	Q15287	3.08897e-07
Q8IWX8	Q8NAV1	3.08897e-07
Q8IWX8	Q14498	3.08897e-07
Q8IWX8	Q8TAD8	3.08897e-07
Q8IWX8	P63244	3.08897e-07
Q8IWX8	Q8N302	3.08897e-07
Q8IWX8	Q15427	3.08897e-07
Q8IWX8	Q96N46	3.08897e-07
Q12996	Q9H0L4	3.08896e-07
Q8N1F8	Q7Z2V1	3.08888e-07
Q8N1F8	Q8NHQ1	3.08888e-07
P07992	Q96S82	3.08885e-07
O60566	P51587	3.08844e-07
O60566	O95229	3.08844e-07
O60566	P63010	3.08844e-07
O60566	O76070	3.08844e-07
O60566	O43264	3.08844e-07
Q96IX5	Q8IY92	3.08831e-07
P55000	Q00987	3.08825e-07
Q08116	Q9BVJ6	3.08809e-07
Q08116	Q12852	3.08809e-07
Q8IXH7	Q13573	3.08803e-07
P62424	Q9UKV8	3.08754e-07
P62424	Q9UL18	3.08754e-07
P62424	Q92900	3.08754e-07
Q9H6X5	Q16543	3.08744e-07
Q5HYK9	Q16543	3.08744e-07
Q9H0L4	Q9UMX0	3.08696e-07
Q96GQ7	Q96I34	3.08694e-07
Q86Y13	Q9H0E2	3.08657e-07
Q8IZ13	Q9ULV5	3.08644e-07
Q8IZ13	O75530	3.08644e-07
Q8IZ13	Q14703	3.08644e-07
Q8IZ13	P26641	3.08644e-07
Q8IZ13	Q9P2H0	3.08644e-07
P42285	Q99624	3.08570e-07
P42285	Q9NZW5	3.08570e-07
P42285	O00471	3.08570e-07
P42285	Q15287	3.08570e-07
P40937	P51681	3.08557e-07
P40937	P40938	3.08557e-07
P40937	Q5UIP0	3.08557e-07
P40937	Q9HCU8	3.08557e-07
P40937	Q9UJX2	3.08557e-07
Q12873	Q13363	3.08555e-07
Q12873	P22736	3.08555e-07
Q12873	Q99714	3.08555e-07
Q12873	P13805	3.08555e-07
Q12873	P41220	3.08555e-07
Q12873	Q13155	3.08555e-07
Q12873	P15090	3.08555e-07
Q12873	P55055	3.08555e-07
Q12873	P24522	3.08555e-07
Q12873	Q15714	3.08555e-07
Q12873	O00444	3.08555e-07
Q12873	P49841	3.08555e-07
Q12873	P06132	3.08555e-07
Q93084	P30457	3.08515e-07
Q15554	Q13416	3.08486e-07
Q15554	Q13415	3.08486e-07
